SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85     1    3S2 3P1 6H1         (3)6(19.0)    83005.0 
    86     1    3S2 3P1 6H1         (1)5( 5.0)    83005.0 
    87     1    3S2 3P1 6H1         (1)6( 6.0)    83005.0 
    88     1    3S2 3P1 6H1         (1)4( 4.0)    83005.0 
    89     1    3S2 3P1 6H1         (3)5(16.0)    83005.0 
    90     1    3S2 3P1 6F1         (3)4(13.0)    83030.5 
    91     1    3S2 3P1 6F1         (1)4( 4.0)    83048.1 
    92     1    3S2 3P1 6F1         (3)2( 7.0)    83056.3 
    93     1    3S2 3P1 6F1         (1)2( 2.0)    83066.3 
    94     1    3S2 3P1 8S1         (3)1( 4.0)    83157.1 
    95     1    3S2 3P1 8S1         (1)1( 1.0)    83238.2 
    96     1    3S2 3P1 6D1         (1)3( 3.0)    83268.1 
    97     1    3S2 3P1 6D1         (1)1( 1.0)    83271.7 
    98     1    3S2 3P1 8P1         (1)1( 1.0)    83497.6 
    99     1    3S2 3P1 8P1         (3)2( 7.0)    83545.5 
   100     1    3S2 3P1 7D1         (1)2( 2.0)    83550.3 
   101  9999    3S1 3P3             (1)1( 1.0)    83563.6 
   102     1    3S2 3P1 7D1         (3)3(10.0)    83564.2 
   103     1    3S2 3P1 8P1         (3)1( 4.0)    83574.4 
   104     1    3S2 3P1 8P1         (3)0( 1.0)    83608.2 
   105     1    3S2 3P1 8P1         (1)2( 2.0)    83657.4 
   106     1    3S2 3P1 7D1         (3)2( 7.0)    83705.4 
   107     1    3S2 3P1 7D1         (3)1( 4.0)    83711.0 
   108     1    3S2 3P1 8P1         (1)0( 0.0)    83793.0 
   109     1    3S2 3P1 7F1         (1)3( 3.0)    83801.9 
   110     1    3S2 3P1 7F1         (3)3(10.0)    83805.0 
   111     1    3S2 3P1 7G1         (3)3(10.0)    83809.1 
   112     1    3S2 3P1 7G1         (1)3( 3.0)    83809.1 
