         455
   0.0000000000000000     
   14  1.737E+00  1.539E+08  5.148E-05  6.654E-01  4.800E-07  1.287E-06  1.208E-05  1.003E-05  8.167E-08  9.288E-06  1.635E-05  1.058E-04  6.758E-05  6.466E-05  6.103E-04  3.640E-06  7.914E-07  3.898E-11  2.965E-04  1.069E-05  4.833E-04  8.892E-04  1.418E-02  3.053E-01  1.244E-02  1.101E-04  1.544E-10  8.095E-08  1.516E+00  3.256E+10
   15  1.744E+00  1.573E+08  6.525E-05  6.361E-01  3.616E-07  1.179E-06  9.390E-06  8.305E-06  7.643E-08  6.956E-06  1.493E-05  8.072E-05  4.892E-05  4.853E-05  4.537E-04  2.475E-06  5.627E-07  2.664E-11  2.150E-04  7.784E-06  3.666E-04  9.435E-04  1.548E-02  3.329E-01  1.315E-02  8.056E-05  1.376E-10  7.100E-08  1.418E+00  3.334E+10
   16  1.752E+00  1.606E+08  1.064E-04  5.532E-01  2.336E-07  9.863E-07  5.610E-06  5.766E-06  7.128E-08  3.373E-06  1.118E-05  3.970E-05  2.247E-05  2.411E-05  2.191E-04  9.279E-07  2.460E-07  1.135E-11  9.791E-05  4.275E-06  2.069E-04  1.134E-03  1.910E-02  4.104E-01  1.534E-02  3.776E-05  1.169E-10  5.615E-08  1.333E+00  3.413E+10
   17  1.760E+00  1.635E+08  1.988E-04  3.429E-01  1.417E-07  6.468E-07  2.653E-06  2.718E-06  4.677E-08  6.232E-07  3.070E-06  5.794E-06  3.673E-06  4.067E-06  3.470E-05  7.666E-08  2.916E-08  1.932E-12  1.320E-05  4.418E-06  1.252E-04  1.661E-03  2.820E-02  6.061E-01  2.071E-02  5.517E-06  8.393E-11  2.659E-08  1.344E+00  3.488E+10
   18  1.767E+00  1.660E+08  1.985E-05  2.169E-05  5.988E-09  2.098E-09  6.950E-08  6.055E-08  4.801E-11  2.747E-06  2.989E-06  5.161E-03  1.698E-02  8.358E-03  1.780E-02  3.762E-08  6.218E-07  5.232E-08  8.608E-04  8.916E-04  5.870E-02  1.107E-02  7.637E-03  8.622E-01  1.027E-02  2.798E-05  5.977E-12  1.920E-11  1.411E+00  3.557E+10
   19  1.775E+00  1.683E+08  6.127E-06  6.398E-05  1.197E-07  7.428E-09  7.608E-07  3.261E-07  8.330E-11  2.306E-05  3.197E-05  4.669E-02  9.734E-02  3.026E-02  4.181E-02  5.615E-08  1.161E-06  8.066E-08  1.505E-03  1.027E-03  6.425E-02  9.799E-03  4.893E-03  6.949E-01  7.353E-03  4.073E-05  2.897E-12  3.586E-11  1.449E+00  3.621E+10
   20  1.782E+00  1.706E+08  3.682E-06  8.995E-05  3.514E-07  1.141E-08  1.946E-06  6.705E-07  1.302E-10  5.195E-05  7.680E-05  1.089E-01  1.885E-01  4.867E-02  5.628E-02  6.250E-08  1.373E-06  9.038E-08  1.619E-03  9.475E-04  5.918E-02  8.184E-03  3.835E-03  5.181E-01  5.559E-03  4.529E-05  2.402E-12  6.151E-11  1.465E+00  3.683E+10
   21  1.790E+00  1.728E+08  2.610E-06  1.017E-04  6.928E-07  1.533E-08  3.627E-06  1.066E-06  1.901E-10  8.688E-05  1.319E-04  1.857E-01  2.770E-01  6.165E-02  6.176E-02  5.956E-08  1.462E-06  9.625E-08  1.492E-03  8.005E-04  5.100E-02  6.505E-03  3.074E-03  3.466E-01  4.020E-03  4.267E-05  2.378E-12  9.968E-11  1.487E+00  3.742E+10
   22  1.798E+00  1.750E+08  2.043E-06  1.022E-04  1.106E-06  1.927E-08  5.785E-06  1.457E-06  2.531E-10  1.227E-04  1.882E-04  2.656E-01  3.450E-01  6.687E-02  5.865E-02  5.074E-08  1.516E-06  1.022E-07  1.249E-03  6.415E-04  4.279E-02  4.995E-03  2.510E-03  2.085E-01  2.781E-03  3.512E-05  2.810E-12  1.465E-10  1.516E+00  3.798E+10
   23  1.805E+00  1.770E+08  1.731E-06  9.655E-05  1.540E-06  2.324E-08  8.416E-06  1.789E-06  3.091E-10  1.536E-04  2.362E-04  3.352E-01  3.825E-01  6.515E-02  5.050E-02  4.081E-08  1.637E-06  1.112E-07  1.022E-03  5.144E-04  3.676E-02  3.861E-03  2.115E-03  1.199E-01  1.917E-03  2.645E-05  3.793E-12  1.924E-10  1.552E+00  3.851E+10
   24  1.813E+00  1.790E+08  1.538E-06  8.892E-05  1.982E-06  2.722E-08  1.177E-05  2.062E-06  3.582E-10  1.793E-04  2.755E-04  3.937E-01  3.968E-01  5.971E-02  4.113E-02  3.252E-08  1.865E-06  1.237E-07  8.604E-04  4.208E-04  3.285E-02  3.027E-03  1.820E-03  6.778E-02  1.328E-03  1.899E-05  5.603E-12  2.344E-10  1.593E+00  3.901E+10
   25  1.820E+00  1.809E+08  1.413E-06  8.177E-05  2.435E-06  3.135E-08  1.590E-05  2.270E-06  3.972E-10  1.989E-04  3.047E-04  4.384E-01  3.968E-01  5.364E-02  3.337E-02  2.696E-08  2.204E-06  1.387E-07  7.730E-04  3.592E-04  3.061E-02  2.460E-03  1.611E-03  4.035E-02  9.603E-04  1.380E-05  8.288E-12  2.680E-10  1.634E+00  3.949E+10
   26  1.828E+00  1.827E+08  1.345E-06  7.614E-05  2.800E-06  3.447E-08  1.994E-05  2.406E-06  4.236E-10  2.115E-04  3.230E-04  4.687E-01  3.915E-01  4.886E-02  2.818E-02  2.371E-08  2.566E-06  1.528E-07  7.401E-04  3.228E-04  2.946E-02  2.111E-03  1.470E-03  2.722E-02  7.523E-04  1.074E-05  1.123E-11  2.907E-10  1.671E+00  3.994E+10
   27  1.836E+00  1.845E+08  1.312E-06  7.218E-05  3.062E-06  3.648E-08  2.313E-05  2.478E-06  4.369E-10  2.182E-04  3.321E-04  4.868E-01  3.865E-01  4.587E-02  2.523E-02  2.197E-08  2.834E-06  1.626E-07  7.313E-04  3.021E-04  2.888E-02  1.911E-03  1.387E-03  2.106E-02  6.423E-04  9.123E-06  1.375E-11  3.024E-10  1.699E+00  4.038E+10
