 Fe I levels                                                            
  n    E(n)(cm-1)   g    label
   43    6       6202.120   9.060E+04   1.100E-01
   43    7       6379.580   0.000E+00   9.000E-02
   43    8       6525.830   0.000E+00   7.000E-02
   43    9       6637.460   0.000E+00   5.000E-02
   43   10       6712.730   0.000E+00   3.000E-02
   43   11       9028.910   0.000E+00   9.000E-02
   43   12       9532.130   0.000E+00   7.000E-02
   43   13       9917.470   0.000E+00   5.000E-02
   43   14      18176.600   0.000E+00   7.000E-02
   43   15      18780.140   0.000E+00   5.000E-02
   43   16      19514.560   4.900E-02   3.000E-02
   43   17      21396.900   0.000E+00   5.000E-02
   43   18      28577.170   0.000E+00   1.100E-01
   43   19      33179.270   0.000E+00   1.300E-01
   43   20      27020.480   0.000E+00   3.000E-02
   43   21      28658.770   0.000E+00   9.000E-02
   43   22      30351.320   0.000E+00   1.100E-01
   43   23      31854.450   0.000E+00   7.000E-02
   43   24      32979.990   0.000E+00   9.000E-02
   43   25      27310.520   0.000E+00   5.000E-02
   43   26      29148.110   0.000E+00   3.000E-02
   43   27      30641.850   0.000E+00   1.000E-02
   43   28      41482.660   0.000E+00   9.000E-02
   43   29      45929.100   0.000E+00   7.000E-02
   43   30      49682.800   0.000E+00   5.000E-02
   43   31      74849.180   0.000E+00   1.100E-01
   43   32      95000.770   0.000E+00   9.000E-02
   43   33     124637.150   0.000E+00   7.000E-02
   43   34     249151.020   0.000E+00   1.300E-01
   43   35     485649.070   0.000E+00   5.000E-02
   43   36    1814750.290   0.000E+00   1.100E-01
   43   37          0.000   0.000E+00   3.000E-02
   43   38          0.000   0.000E+00   9.000E-02
   43   39          0.000   0.000E+00   1.000E-02
   43   40          0.000   0.000E+00   7.000E-02
   43   41     468537.690   0.000E+00   5.000E-02
   43   42     953016.300   0.000E+00   3.000E-02
   44    1       4217.370   1.840E+04   5.931E-03
   44    2       4292.670   3.350E+03   1.305E-03
   44    3       4346.420   0.000E+00   4.500E-01
   44    4       4381.480   0.000E+00   2.700E-01
   44    5       4398.820   0.000E+00   9.000E-02
   44    6       5958.340   5.150E+02   9.900E-01
   44    7       6121.940   2.120E+01   8.100E-01
   44    8       6256.490   0.000E+00   6.300E-01
   44    9       6359.030   0.000E+00   4.500E-01
   44   10       6428.080   0.000E+00   2.700E-01
   44   11       8521.370   0.000E+00   8.100E-01
   44   12       8968.200   0.000E+00   6.300E-01
   44   13       9308.480   0.000E+00   4.500E-01
   44   14      16230.450   0.000E+00   6.300E-01
   44   15      16709.970   0.000E+00   4.500E-01
   44   16      17288.910   0.000E+00   2.700E-01
   44   17      18750.290   0.000E+00   4.500E-01
   44   18      24044.390   0.000E+00   9.900E-01
   44   19      27221.200   0.000E+00   1.170E+00
   44   20      22932.770   0.000E+00   2.700E-01
   44   21      24102.140   0.000E+00   8.100E-01
   44   22      25288.110   0.000E+00   9.900E-01
   44   23      26323.020   0.000E+00   6.300E-01
   44   24      27086.920   0.000E+00   8.100E-01
   44   25      23141.350   0.000E+00   4.500E-01
   44   26      24447.300   0.000E+00   2.700E-01
   44   27      25489.480   0.000E+00   9.000E-02
   44   28      32569.860   0.000E+00   8.100E-01
   44   29      35249.170   0.000E+00   6.300E-01
   44   30      37418.900   0.000E+00   4.500E-01
   44   31      50107.810   0.000E+00   9.900E-01
   44   32      58400.980   0.000E+00   8.100E-01
   44   33      68399.170   0.000E+00   6.300E-01
   44   34      94247.150   0.000E+00   1.170E+00
   44   35     115528.540   0.000E+00   4.500E-01
   44   36     139902.990   0.000E+00   9.900E-01
   44   37     166522.620   0.000E+00   2.700E-01
   44   38     192693.450   0.000E+00   8.100E-01
   44   39     214307.150   0.000E+00   9.000E-02
   44   40     226718.810   0.000E+00   6.300E-01
   44   41     114533.500   0.000E+00   4.500E-01
   44   42     130786.140   0.000E+00   2.700E-01
   44   43     151589.340   0.000E+00   9.000E-02
   45    1       4135.500   1.060E+03   7.355E-04
   45    2       4207.880   5.900E+03   2.058E-03
   45    3       4259.510   2.540E+03   1.031E-03
   45    4       4293.180   0.000E+00   3.300E-01
   45    5       4309.820   0.000E+00   1.100E-01
   45    6       5796.230   0.000E+00   1.210E+00
   45    7       5950.930   3.290E+02   9.900E-01
   45    8       6077.990   0.000E+00   7.700E-01
   45    9       6174.710   0.000E+00   5.500E-01
   45   10       6239.800   0.000E+00   3.300E-01
   45   11       8193.620   0.000E+00   9.900E-01
   45   12       8605.910   0.000E+00   7.700E-01
   45   13       8918.770   0.000E+00   5.500E-01
   45   14      15081.440   2.620E+02   7.700E-01
   45   15      15494.610   1.060E+02   5.500E-01
   45   16      15991.130   0.000E+00   3.300E-01
   45   17      17233.470   0.000E+00   5.500E-01
   45   18      21605.820   0.000E+00   1.210E+00
   45   19      24137.010   0.000E+00   1.430E+00
   45   20      20704.010   0.000E+00   3.300E-01
   45   21      21652.430   0.000E+00   9.900E-01
   45   22      22604.820   0.000E+00   1.210E+00
   45   23      23428.170   0.000E+00   7.700E-01
   45   24      24031.370   0.000E+00   9.900E-01
   45   25      20873.870   0.000E+00   5.500E-01
   45   26      21930.590   0.000E+00   3.300E-01
   45   27      22765.580   0.000E+00   1.100E-01
   45   28      28250.730   0.000E+00   9.900E-01
   45   29      30244.790   0.000E+00   7.700E-01
   45   30      31828.330   0.000E+00   5.500E-01
   45   31      40566.210   0.000E+00   1.210E+00
   45   32      45835.630   0.000E+00   9.900E-01
   45   33      51775.510   0.000E+00   7.700E-01
   45   34      65340.300   0.000E+00   1.430E+00
   45   35      74906.590   0.000E+00   5.500E-01
   45   36      84445.910   0.000E+00   1.210E+00
   45   37      93464.230   0.000E+00   3.300E-01
   45   38     101176.890   0.000E+00   9.900E-01
   45   39     106834.300   0.000E+00   1.100E-01
   45   40     109831.690   0.000E+00   7.700E-01
   45   41      74487.010   0.000E+00   5.500E-01
   45   42      81036.230   0.000E+00   3.300E-01
   45   43      88567.210   0.000E+00   1.100E-01
   45   44     213033.840   0.000E+00   9.900E-01
   46    1       4080.480   0.000E+00   8.100E-01
   46    2       4150.930   7.230E+02   6.300E-01
   46    3       4201.160   5.870E+02   4.500E-01
   46    4       4233.920   8.780E+02   2.700E-01
   46    5       4250.100   0.000E+00   9.000E-02
   46    6       5688.720   0.000E+00   9.900E-01
   46    7       5837.660   0.000E+00   8.100E-01
   46    8       5959.880   0.000E+00   6.300E-01
   46    9       6052.850   0.000E+00   4.500E-01
   46   10       6115.380   0.000E+00   2.700E-01
   46   11       7980.420   0.000E+00   8.100E-01
   46   12       8371.020   0.000E+00   6.300E-01
   46   13       8666.750   0.000E+00   4.500E-01
   46   14      14374.590   0.000E+00   6.300E-01
   46   15      14749.460   0.000E+00   4.500E-01
   46   16      15198.680   0.000E+00   2.700E-01
   46   17      16316.640   0.000E+00   4.500E-01
   46   18      20183.940   0.000E+00   9.900E-01
   46   19      22376.030   0.000E+00   1.170E+00
   46   20      19394.750   0.000E+00   2.700E-01
   46   21      20224.610   0.000E+00   8.100E-01
   46   22      21053.130   0.000E+00   9.900E-01
   46   23      21765.550   0.000E+00   6.300E-01
   46   24      22285.220   0.000E+00   8.100E-01
   46   25      19543.730   0.000E+00   4.500E-01
   46   26      20467.090   0.000E+00   2.700E-01
   46   27      21192.510   0.000E+00   9.000E-02
   46   28      25867.970   0.000E+00   8.100E-01
   46   29      27529.950   0.000E+00   6.300E-01
   46   30      28835.840   0.000E+00   4.500E-01
   46   31      35827.420   0.000E+00   9.900E-01
   46   32      39876.210   0.000E+00   8.100E-01
   46   33      44297.440   0.000E+00   6.300E-01
   46   34      53864.770   0.000E+00   1.170E+00
   46   35      60202.960   0.000E+00   4.500E-01
   46   36      66214.550   0.000E+00   9.900E-01
   46   37      71634.260   0.000E+00   2.700E-01
   46   38      76079.180   0.000E+00   8.100E-01
   46   39      79234.220   0.000E+00   9.000E-02
   46   40      80871.080   0.000E+00   6.300E-01
   46   41      59931.630   0.000E+00   4.500E-01
   46   42      64099.770   0.000E+00   2.700E-01
   46   43      68722.000   0.000E+00   9.000E-02
   46   44     125713.270   0.000E+00   8.100E-01
   46   45     306699.540   0.000E+00   9.900E-01
   47    1       4204.570   0.000E+00   6.300E-01
   47    2       4279.410   0.000E+00   4.900E-01
   47    3       4332.820   0.000E+00   3.500E-01
   47    4       4367.670   0.000E+00   2.100E-01
   47    5       4384.890   0.000E+00   7.000E-02
   47    6       5932.830   0.000E+00   7.700E-01
   47    7       6095.000   0.000E+00   6.300E-01
   47    8       6228.360   0.000E+00   4.900E-01
   47    9       6329.970   0.000E+00   3.500E-01
   47   10       6398.390   0.000E+00   2.100E-01
   47   11       8469.270   0.000E+00   6.300E-01
   47   12       8910.510   0.000E+00   4.900E-01
   47   13       9246.350   0.000E+00   3.500E-01
   47   14      16042.500   0.000E+00   4.900E-01
   47   15      16510.810   0.000E+00   3.500E-01
   47   16      17075.790   0.000E+00   2.100E-01
   47   17      18499.890   0.000E+00   3.500E-01
   47   18      23634.180   0.000E+00   7.700E-01
   47   19      26696.610   0.000E+00   9.100E-01
   47   20      22559.310   0.000E+00   2.100E-01
   47   21      23689.960   0.000E+00   6.300E-01
   47   22      24834.760   0.000E+00   7.700E-01
   47   23      25832.160   0.000E+00   4.900E-01
   47   24      26567.440   0.000E+00   6.300E-01
   47   25      22761.120   2.800E-02   3.500E-01
   47   26      24023.340   2.000E-02   2.100E-01
   47   27      25028.950   0.000E+00   7.000E-02
   47   28      31821.700   0.000E+00   6.300E-01
   47   29      34374.500   0.000E+00   4.900E-01
   47   30      36434.740   0.000E+00   3.500E-01
   47   31      48358.610   0.000E+00   7.700E-01
   47   32      56038.510   0.000E+00   6.300E-01
   47   33      65180.850   0.000E+00   4.900E-01
   47   34      88243.570   0.000E+00   9.100E-01
   47   35     106635.500   0.000E+00   3.500E-01
   47   36     127069.970   0.000E+00   7.700E-01
   47   37     148653.350   0.000E+00   2.100E-01
   47   38     169162.950   0.000E+00   6.300E-01
   47   39     185595.210   0.000E+00   7.000E-02
   47   40     194832.270   0.000E+00   4.900E-01
   47   41     105787.190   0.000E+00   3.500E-01
   47   42     119503.720   0.000E+00   2.100E-01
   47   43     136637.410   0.000E+00   7.000E-02
   47   44    1385290.980   0.000E+00   6.300E-01
   47   45          0.000   0.000E+00   7.700E-01
   47   46          0.000   0.000E+00   6.300E-01
   48    1       4146.130   0.000E+00   4.500E-01
   48    2       4218.890   0.000E+00   3.500E-01
   48    3       4270.790   0.000E+00   2.500E-01
   48    4       4304.640   0.000E+00   1.500E-01
   48    5       4321.380   0.000E+00   5.000E-02
   48    6       5817.140   0.000E+00   5.500E-01
   48    7       5972.970   0.000E+00   4.500E-01
   48    8       6100.990   0.000E+00   3.500E-01
   48    9       6198.450   0.000E+00   2.500E-01
   48   10       6264.040   0.000E+00   1.500E-01
   48   11       8235.470   0.000E+00   4.500E-01
   48   12       8652.090   0.000E+00   3.500E-01
   48   13       8968.380   0.000E+00   2.500E-01
   48   14      15223.840   0.000E+00   3.500E-01
   48   15      15644.950   0.000E+00   2.500E-01
   48   16      16151.320   0.000E+00   1.500E-01
   48   17      17419.660   0.000E+00   2.500E-01
   48   18      21899.280   0.000E+00   5.500E-01
   48   19      24503.830   0.000E+00   6.500E-01
   48   20      20973.330   0.000E+00   1.500E-01
   48   21      21947.170   0.000E+00   4.500E-01
   48   22      22926.240   0.000E+00   5.500E-01
   48   23      23773.620   0.000E+00   3.500E-01
   48   24      24394.970   0.000E+00   4.500E-01
   48   25      21147.650   0.000E+00   2.500E-01
   48   26      22233.000   0.000E+00   1.500E-01
   48   27      23091.630   1.700E-02   5.000E-02
   48   28      28754.550   0.000E+00   4.500E-01
   48   29      30822.980   0.000E+00   3.500E-01
   48   30      32469.290   0.000E+00   2.500E-01
   48   31      41613.190   0.000E+00   5.500E-01
   48   32      47176.780   0.000E+00   4.500E-01
   48   33      53493.300   0.000E+00   3.500E-01
   48   34      68100.080   0.000E+00   6.500E-01
   48   35      78556.200   0.000E+00   2.500E-01
   48   36      89113.220   0.000E+00   5.500E-01
   48   37      99215.600   0.000E+00   1.500E-01
   48   38     107951.020   0.000E+00   4.500E-01
   48   39     114415.560   0.000E+00   5.000E-02
   48   40     117860.320   0.000E+00   3.500E-01
   48   41      78094.860   0.000E+00   2.500E-01
   48   42      85324.670   0.000E+00   1.500E-01
   48   43      93715.090   0.000E+00   5.000E-02
   48   44     245466.840   0.000E+00   4.500E-01
   48   45          0.000   0.000E+00   5.500E-01
   48   46          0.000   0.000E+00   4.500E-01
   48   47     298329.360   0.000E+00   3.500E-01
   49    1       4108.670   0.000E+00   6.300E-01
   49    2       4180.100   0.000E+00   4.900E-01
   49    3       4231.050   0.000E+00   3.500E-01
   49    4       4264.270   0.000E+00   2.100E-01
   49    5       4280.690   0.000E+00   7.000E-02
   49    6       5743.650   0.000E+00   7.700E-01
   49    7       5895.520   0.000E+00   6.300E-01
   49    8       6020.200   0.000E+00   4.900E-01
   49    9       6115.080   0.000E+00   3.500E-01
   49   10       6178.910   0.000E+00   2.100E-01
   49   11       8088.950   0.000E+00   6.300E-01
   49   12       8490.510   0.000E+00   4.900E-01
   49   13       8794.900   0.000E+00   3.500E-01
   49   14      14730.590   0.000E+00   4.900E-01
   49   15      15124.500   0.000E+00   3.500E-01
   49   16      15597.230   0.000E+00   2.100E-01
   49   17      16776.860   0.000E+00   3.500E-01
   49   18      20892.910   0.000E+00   7.700E-01
   49   19      23250.700   0.000E+00   9.100E-01
   49   20      20048.470   0.000E+00   2.100E-01
   49   21      20936.500   0.000E+00   6.300E-01
   49   22      21825.650   0.000E+00   7.700E-01
   49   23      22592.260   0.000E+00   4.900E-01
   49   24      23152.670   0.000E+00   6.300E-01
   49   25      20207.700   0.000E+00   3.500E-01
   49   26      21196.460   0.000E+00   2.100E-01
   49   27      21975.490   3.100E-02   7.000E-02
   49   28      27044.120   0.000E+00   6.300E-01
   49   29      28865.990   0.000E+00   4.900E-01
   49   30      30305.010   0.000E+00   3.500E-01
   49   31      38123.780   0.000E+00   7.700E-01
   49   32      42741.650   0.000E+00   6.300E-01
   49   33      47861.910   0.000E+00   4.900E-01
   49   34      59228.440   0.000E+00   9.100E-01
   49   35      66982.600   0.000E+00   3.500E-01
   49   36      74509.040   0.000E+00   7.700E-01
   49   37      81442.710   0.000E+00   2.100E-01
   49   38      87237.430   0.000E+00   6.300E-01
   49   39      91411.190   0.000E+00   7.000E-02
   49   40      93596.760   0.000E+00   4.900E-01
   49   41      66646.890   0.000E+00   3.500E-01
   49   42      71841.920   0.000E+00   2.100E-01
   49   43      77699.170   0.000E+00   7.000E-02
   49   44     159403.700   0.000E+00   6.300E-01
   49   45     633195.930   0.000E+00   7.700E-01
   49   46          0.000   0.000E+00   6.300E-01
   49   47     180131.170   0.000E+00   4.900E-01
   49   48     454646.720   0.000E+00   3.500E-01
   50    1       4109.170   0.000E+00   4.500E-01
   50    2       4180.620   0.000E+00   3.500E-01
   50    3       4231.590   0.000E+00   2.500E-01
   50    4       4264.820   0.000E+00   1.500E-01
   50    5       4281.240   0.000E+00   5.000E-02
   50    6       5744.640   0.000E+00   5.500E-01
   50    7       5896.560   0.000E+00   4.500E-01
   50    8       6021.290   0.000E+00   3.500E-01
   50    9       6116.200   0.000E+00   2.500E-01
   50   10       6180.060   0.000E+00   1.500E-01
   50   11       8090.910   0.000E+00   4.500E-01
   50   12       8492.680   0.000E+00   3.500E-01
   50   13       8797.220   0.000E+00   2.500E-01
   50   14      14737.100   0.000E+00   3.500E-01
   50   15      15131.370   0.000E+00   2.500E-01
   50   16      15604.540   0.000E+00   1.500E-01
   50   17      16785.310   0.000E+00   2.500E-01
   50   18      20906.020   0.000E+00   5.500E-01
   50   19      23266.940   0.000E+00   6.500E-01
   50   20      20060.540   0.000E+00   1.500E-01
   50   21      20949.660   0.000E+00   4.500E-01
   50   22      21839.960   0.000E+00   5.500E-01
   50   23      22607.590   0.000E+00   3.500E-01
   50   24      23168.760   0.000E+00   4.500E-01
   50   25      20219.960   0.000E+00   2.500E-01
   50   26      21209.950   0.000E+00   1.500E-01
   50   27      21989.990   0.000E+00   5.000E-02
   50   28      27066.090   0.000E+00   4.500E-01
   50   29      28891.020   0.000E+00   3.500E-01
   50   30      30332.600   0.000E+00   2.500E-01
   50   31      38167.440   0.000E+00   5.500E-01
   50   32      42796.550   0.000E+00   4.500E-01
   50   33      47930.760   0.000E+00   3.500E-01
   50   34      59333.910   0.000E+00   6.500E-01
   50   35      67117.520   0.000E+00   2.500E-01
   50   36      74676.020   0.000E+00   5.500E-01
   50   37      81642.250   0.000E+00   1.500E-01
   50   38      87466.410   0.000E+00   4.500E-01
   50   39      91662.640   0.000E+00   5.000E-02
   50   40      93860.400   0.000E+00   3.500E-01
   50   41      66780.460   0.000E+00   2.500E-01
   50   42      71997.140   0.000E+00   1.500E-01
   50   43      77880.770   0.000E+00   5.000E-02
   50   44     160169.910   0.000E+00   4.500E-01
   50   45     645461.120   0.000E+00   5.500E-01
   50   46          0.000   0.000E+00   4.500E-01
   50   47     181110.210   0.000E+00   3.500E-01
   50   48     460935.700   0.000E+00   2.500E-01
   50   49          0.000   0.000E+00   3.500E-01
   51    1       4036.810   0.000E+00   8.100E-01
   51    2       4105.740   0.000E+00   6.300E-01
   51    3       4154.880   1.600E-02   4.500E-01
   51    4       4186.920   0.000E+00   2.700E-01
   51    5       4202.740   0.000E+00   9.000E-02
   51    6       5604.190   0.000E+00   9.900E-01
   51    7       5748.680   0.000E+00   8.100E-01
   51    8       5867.170   0.000E+00   6.300E-01
   51    9       5957.250   0.000E+00   4.500E-01
   51   10       6017.810   0.000E+00   2.700E-01
   51   11       7815.060   0.000E+00   8.100E-01
   51   12       8189.270   0.000E+00   6.300E-01
   51   13       8472.070   0.000E+00   4.500E-01
   51   14      13846.870   0.000E+00   6.300E-01
   51   15      14194.380   0.000E+00   4.500E-01
   51   16      14609.950   0.000E+00   2.700E-01
   51   17      15640.040   0.000E+00   4.500E-01
   51   18      19158.680   0.000E+00   9.900E-01
   51   19      21122.890   0.000E+00   1.170E+00
   51   20      18446.220   0.000E+00   2.700E-01
   51   21      19195.320   0.000E+00   8.100E-01
   51   22      19940.100   0.000E+00   9.900E-01
   51   23      20578.040   0.000E+00   6.300E-01
   51   24      21041.950   0.000E+00   8.100E-01
   51   25      18580.930   0.000E+00   4.500E-01
   51   26      19413.620   0.000E+00   2.700E-01
   51   27      20065.090   0.000E+00   9.000E-02
   51   28      24207.710   0.000E+00   8.100E-01
   51   29      25657.220   0.000E+00   6.300E-01
   51   30      26787.830   0.000E+00   4.500E-01
   51   31      32719.410   0.000E+00   9.900E-01
   51   32      36063.420   0.000E+00   8.100E-01
   51   33      39641.660   0.000E+00   6.300E-01
   51   34      47133.510   0.000E+00   1.170E+00
   51   35      51916.230   0.000E+00   4.500E-01
   51   36      56326.160   0.000E+00   9.900E-01
   51   37      60200.640   0.000E+00   2.700E-01
   51   38      63309.090   0.000E+00   8.100E-01
   51   39      65478.750   0.000E+00   9.000E-02
   51   40      66592.620   0.000E+00   6.300E-01
   51   41      51714.330   0.000E+00   4.500E-01
   51   42      54788.520   0.000E+00   2.700E-01
   51   43      58130.410   0.000E+00   9.000E-02
   51   44      94286.880   0.000E+00   8.100E-01
   51   45     169152.070   0.000E+00   9.900E-01
   51   46     377170.620   0.000E+00   8.100E-01
   51   47     101173.000   0.000E+00   6.300E-01
   51   48     153091.060   0.000E+00   4.500E-01
   51   49     230810.950   0.000E+00   6.300E-01
   51   50     229223.210   0.000E+00   4.500E-01
   52    1       3985.390   0.000E+00   2.700E-01
   52    2       4052.570   0.000E+00   2.100E-01
   52    3       4100.440   0.000E+00   1.500E-01
   52    4       4131.640   0.000E+00   9.000E-02
   52    5       4147.050   0.000E+00   3.000E-02
   52    6       5505.600   0.000E+00   3.300E-01
   52    7       5644.980   0.000E+00   2.700E-01
   52    8       5759.190   0.000E+00   2.100E-01
   52    9       5845.960   0.000E+00   1.500E-01
   52   10       5904.270   0.000E+00   9.000E-02
   52   11       7624.650   0.000E+00   2.700E-01
   52   12       7980.420   0.000E+00   2.100E-01
   52   13       8248.750   0.000E+00   1.500E-01
   52   14      13260.120   0.000E+00   2.100E-01
   52   15      13578.460   0.000E+00   1.500E-01
   52   16      13958.280   2.000E-02   9.000E-02
   52   17      14895.570   0.000E+00   1.500E-01
   52   18      18053.390   0.000E+00   3.300E-01
   52   19      19787.250   0.000E+00   3.900E-01
   52   20      17419.400   0.000E+00   9.000E-02
   52   21      18085.920   0.000E+00   2.700E-01
   52   22      18745.620   0.000E+00   3.300E-01
   52   23      19308.340   0.000E+00   2.100E-01
   52   24      19716.200   0.000E+00   2.700E-01
   52   25      17539.480   0.000E+00   1.500E-01
   52   26      18279.580   0.000E+00   9.000E-02
   52   27      18856.040   0.000E+00   3.000E-02
   52   28      22469.510   0.000E+00   2.700E-01
   52   29      23712.980   0.000E+00   2.100E-01
   52   30      24675.520   0.000E+00   1.500E-01
   52   31      29622.170   0.000E+00   3.300E-01
   52   32      32336.790   0.000E+00   2.700E-01
   52   33      35184.520   0.000E+00   2.100E-01
   52   34      40963.580   0.000E+00   3.900E-01
   52   35      44528.750   0.000E+00   1.500E-01
   52   36      47734.200   0.000E+00   3.300E-01
   52   37      50487.920   0.000E+00   9.000E-02
   52   38      52656.190   0.000E+00   2.700E-01
   52   39      54148.510   0.000E+00   3.000E-02
   52   40      54908.010   0.000E+00   2.100E-01
   52   41      44380.140   0.000E+00   1.500E-01
   52   42      46625.260   0.000E+00   9.000E-02
   52   43      49023.690   0.000E+00   3.000E-02
   52   44      72455.730   0.000E+00   2.700E-01
   52   45     109800.340   0.000E+00   3.300E-01
   52   46     171030.220   0.000E+00   2.700E-01
   52   47      76454.590   0.000E+00   2.100E-01
   52   48     102799.650   0.000E+00   1.500E-01
   52   49     132834.760   0.000E+00   2.100E-01
   52   50     132307.330   0.000E+00   1.500E-01
   52   51     312930.280   0.000E+00   2.700E-01
   53    1       4069.230   0.000E+00   9.000E-02
   53    2       4139.290   0.000E+00   7.000E-02
   53    3       4189.240   0.000E+00   5.000E-02
   53    4       4221.800   0.000E+00   3.000E-02
   53    5       4237.900   0.000E+00   1.000E-02
   53    6       5666.880   0.000E+00   1.100E-01
   53    7       5814.660   0.000E+00   9.000E-02
   53    8       5935.910   0.000E+00   7.000E-02
   53    9       6028.130   0.000E+00   5.000E-02
   53   10       6090.150   0.000E+00   3.000E-02
   53   11       7937.500   6.400E-02   9.000E-02
   53   12       8323.800   4.100E-02   7.000E-02
   53   13       8616.150   0.000E+00   5.000E-02
   53   14      14235.930   0.000E+00   7.000E-02
   53   15      14603.500   0.000E+00   5.000E-02
   53   16      15043.750   0.000E+00   3.000E-02
   53   17      16138.210   0.000E+00   5.000E-02
   53   18      19911.600   0.000E+00   1.100E-01
   53   19      22041.820   0.000E+00   1.300E-01
   53   20      19143.170   0.000E+00   3.000E-02
   53   21      19951.190   0.000E+00   9.000E-02
   53   22      20757.010   0.000E+00   1.100E-01
   53   23      21449.200   0.000E+00   7.000E-02
   53   24      21953.690   0.000E+00   9.000E-02
   53   25      19288.290   0.000E+00   5.000E-02
   53   26      20187.120   0.000E+00   3.000E-02
   53   27      20892.490   0.000E+00   1.000E-02
   53   28      25422.350   0.000E+00   9.000E-02
   53   29      27025.790   0.000E+00   7.000E-02
   53   30      28283.190   0.000E+00   5.000E-02
   53   31      34978.240   0.000E+00   1.100E-01
   53   32      38827.070   0.000E+00   9.000E-02
   53   33      43006.520   0.000E+00   7.000E-02
   53   34      51967.950   0.000E+00   1.300E-01
   53   35      57843.260   0.000E+00   5.000E-02
   53   36      63371.200   0.000E+00   1.100E-01
   53   37      68318.050   0.000E+00   3.000E-02
   53   38      72349.370   0.000E+00   9.000E-02
   53   39      75196.850   0.000E+00   1.000E-02
   53   40      76669.600   0.000E+00   7.000E-02
   53   41      57592.740   0.000E+00   5.000E-02
   53   42      61431.480   0.000E+00   3.000E-02
   53   43      65664.190   0.000E+00   1.000E-02
   53   44     115844.920   0.000E+00   9.000E-02
   53   45     253926.980   0.000E+00   1.100E-01
   53   46    1475753.370   0.000E+00   9.000E-02
   53   47     126416.500   0.000E+00   7.000E-02
   53   48     219377.140   0.000E+00   5.000E-02
   53   49     423935.390   0.000E+00   7.000E-02
   53   50     418609.710   0.000E+00   5.000E-02
   53   51          0.000   0.000E+00   9.000E-02
   53   52          0.000   0.000E+00   3.000E-02
   54    1       3861.000   9.690E+06   2.399E+00
   54    2       3924.020   1.080E+06   2.804E-01
   54    3       3968.880   0.000E+00   4.500E-01
   54    4       3998.100   0.000E+00   2.700E-01
   54    5       4012.530   0.000E+00   9.000E-02
   54    6       5271.000   1.270E+06   7.992E-01
   54    7       5398.630   2.580E+05   1.751E-01
   54    8       5502.990   2.200E+04   2.478E-02
   54    9       5582.160   0.000E+00   4.500E-01
   54   10       5635.300   0.000E+00   2.700E-01
   54   11       7181.980   1.510E+03   2.404E-03
   54   12       7496.790   0.000E+00   6.300E-01
   54   13       7733.100   0.000E+00   4.500E-01
   54   14      11976.350   1.700E+05   6.300E-01
   54   15      12235.430   0.000E+00   4.500E-01
   54   16      12542.970   0.000E+00   2.700E-01
   54   17      13294.710   0.000E+00   4.500E-01
   54   18      15754.210   0.000E+00   9.900E-01
   54   19      17058.610   0.000E+00   1.170E+00
   54   20      15269.250   0.000E+00   2.700E-01
   54   21      15778.980   0.000E+00   8.100E-01
   54   22      16278.790   0.000E+00   9.900E-01
   54   23      16701.490   0.000E+00   6.300E-01
   54   24      17005.780   0.000E+00   8.100E-01
   54   25      15361.440   0.000E+00   4.500E-01
   54   26      15926.190   0.000E+00   2.700E-01
   54   27      16362.000   0.000E+00   9.000E-02
   54   28      19015.540   0.000E+00   8.100E-01
   54   29      19898.590   0.000E+00   6.300E-01
   54   30      20571.980   0.000E+00   4.500E-01
   54   31      23899.250   0.000E+00   9.900E-01
   54   32      25635.540   0.000E+00   8.100E-01
   54   33      27393.200   0.000E+00   6.300E-01
   54   34      30773.250   0.000E+00   1.170E+00
   54   35      32742.630   0.000E+00   4.500E-01
   54   36      34443.370   0.000E+00   9.900E-01
   54   37      35854.450   0.000E+00   2.700E-01
   54   38      36934.520   0.000E+00   8.100E-01
   54   39      37662.580   0.000E+00   9.000E-02
   54   40      38028.450   0.000E+00   6.300E-01
   54   41      32662.210   0.000E+00   4.500E-01
   54   42      33862.240   0.000E+00   2.700E-01
   54   43      35109.750   0.000E+00   9.000E-02
   54   44      45692.670   0.000E+00   8.100E-01
   54   45      58169.090   0.000E+00   9.900E-01
   54   46      71783.700   0.000E+00   8.100E-01
   54   47      47251.210   0.000E+00   6.300E-01
   54   48      56143.570   0.000E+00   4.500E-01
   54   49      64053.420   0.000E+00   6.300E-01
   54   50      63930.530   0.000E+00   4.500E-01
   54   51      88657.040   0.000E+00   8.100E-01
   54   52     123703.890   0.000E+00   2.700E-01
   54   53      75453.930   0.000E+00   9.000E-02
   55    1       3825.530   2.830E+06   9.834E-01
   55    2       3887.380   5.290E+06   1.932E+00
   55    3       3931.410   1.990E+06   7.543E-01
   55    4       3960.070   0.000E+00   3.900E-01
   55    5       3974.230   0.000E+00   1.300E-01
   55    6       5205.100   0.000E+00   1.430E+00
   55    7       5329.520   1.150E+06   1.081E+00
   55    8       5431.200   4.270E+05   4.246E-01
   55    9       5508.310   5.010E+04   5.207E-02
   55   10       5560.040   0.000E+00   3.900E-01
   55   11       7060.190   0.000E+00   1.170E+00
   55   12       7364.180   0.000E+00   9.100E-01
   55   13       7592.080   0.000E+00   6.500E-01
   55   14      11641.470   4.300E+04   9.100E-01
   55   15      11886.120   1.450E+05   6.500E-01
   55   16      12176.140   0.000E+00   3.900E-01
   55   17      12883.310   2.000E+03   6.500E-01
