SEQ='SI'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86978558.0   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    80     2    3S2 3P1 4D1         (1)1( 1.0)   233456.5 
    81     3    3S1 3P2 4S1         (5)1( 1.0)   233836.1 
    82     4    3S1 3P2 4S1         (5)1( 2.0)   234111.0 
    83     2    3S2 3P1 5S1         (1)1( 1.0)   234376.2 
    84     5    3S1 3P2 4S1         (5)1( 3.0)   234515.5 
    85     1    3S2 3P1 4F1         (1)3( 3.0)   239028.3 
    86     1    3S2 3P1 4F1         (3)3( 2.0)   239490.7 
    87     1    3S2 3P1 4F1         (3)3( 3.0)   239521.6 
    88     1    3S2 3P1 4F1         (3)3( 4.0)   239610.5 
    89     2    3S2 3P1 4F1         (3)4( 3.0)   240564.6 
    90     2    3S2 3P1 4F1         (3)4( 4.0)   240759.0 
    91     2    3S2 3P1 4F1         (3)4( 5.0)   241054.7 
    92  9999    3S1 3P2 3D1         (3)4( 3.0)   241237.2 
    93  9999    3S1 3P2 3D1         (3)4( 4.0)   241258.6 
    94  9999    3S1 3P2 3D1         (3)4( 5.0)   241285.3 
    95     1    3S2 3P1 5P1         (1)1( 1.0)   241738.1 
    96     2    3S2 3P1 4F1         (3)2( 3.0)   241980.9 
    97     2    3S2 3P1 4F1         (3)2( 2.0)   242178.4 
    98     2    3S2 3P1 4F1         (3)2( 1.0)   242360.4 
    99     1    3S2 3P1 5P1         (3)2( 1.0)   242547.6 
   100     1    3S2 3P1 5P1         (3)2( 2.0)   242713.5 
   101     2    3S2 3P1 4F1         (1)4( 4.0)   242922.4 
   102     1    3S2 3P1 5P1         (3)1( 0.0)   243116.4 
   103     2    3S2 3P1 5P1         (3)2( 3.0)   243242.5 
   104     2    3S2 3P1 5P1         (3)1( 1.0)   243307.9 
   105     2    3S2 3P1 4F1         (1)2( 2.0)   243364.9 
   106     2    3S2 3P1 5P1         (3)1( 2.0)   243625.0 
   107     2    3S2 3P1 5P1         (3)0( 1.0)   244440.7 
   108     3    3S1 3P2 4S1         (3)1( 0.0)   244972.8 
   109  9999    3S1 3P2 3D1         (3)2( 1.0)   244977.1 
   110  9999    3S1 3P2 3D1         (3)2( 2.0)   245012.2 
   111  9999    3S1 3P2 3D1         (3)2( 3.0)   245058.9 
   112     4    3S1 3P2 4S1         (3)1( 1.0)   245201.0 
   113     2    3S2 3P1 5P1         (1)2( 2.0)   245312.0 
   114     5    3S1 3P2 4S1         (3)1( 2.0)   245644.5 
   115     2    3S2 3P1 5P1         (1)0( 0.0)   248280.1 
   116  9999    3S1 3P2 3D1         (1)4( 4.0)   249636.0 
   117  9999    3S1 3P2 3D1         (1)3( 3.0)   250685.9 
   118     1    3S2 3P1 5D1         (1)2( 2.0)   256628.1 
   119     1    3S2 3P1 5D1         (3)2( 2.0)   257022.9 
   120     1    3S2 3P1 5D1         (3)2( 1.0)   257134.7 
   121     1    3S2 3P1 5D1         (3)3( 3.0)   257139.0 
   122     2    3S2 3P1 5D1         (3)3( 2.0)   257531.3 
