SEQ='SI'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 114331065.6   NPRNTI= 5   NPRNTF=21
   --------------------
   INDP         CODE                 S L   WI        WNP
    72  9999    3P3 3D1             (5)2(12.0)   455072.3 
    73     1    3S2 3P1 5S1         (1)1( 1.0)   456413.6 
    74     2    3S1 3P2 4P1         (5)1( 7.0)   458791.8 
    75     2    3S1 3P2 4P1         (5)0( 2.0)   459472.2 
    76     3    3S1 3P2 4S1         (1)2( 2.0)   459620.0 
    77  9999    3S2 3D2             (3)3(10.0)   460735.5 
    78     2    3S1 3P2 4P1         (3)2( 7.0)   464778.1 
    79     1    3S2 3P1 5P1         (1)1( 1.0)   470789.0 
    80     2    3S1 3P2 4P1         (3)1( 4.0)   471266.1 
    81     1    3S2 3P1 5P1         (3)2( 7.0)   472564.9 
    82     1    3S2 3P1 5P1         (3)1( 4.0)   473383.2 
    83     1    3S2 3P1 5P1         (3)0( 1.0)   474879.9 
    84  9999    3S2 3D2             (3)1( 4.0)   476116.6 
    85     1    3S2 3P1 5P1         (1)2( 2.0)   476324.7 
    86  9999    3S2 3D2             (1)4( 4.0)   478267.2 
    87  9999    3P3 3D1             (1)2( 2.0)   478556.9 
    88  9999    3S2 3D2             (1)2( 2.0)   478601.3 
    89     1    3S2 3P1 5P1         (1)0( 0.0)   481130.1 
    90     4    3S1 3P2 4S1         (3)0( 1.0)   482547.9 
    91     3    3S1 3P2 4P1         (3)2( 7.0)   491359.8 
    92     3    3S1 3P2 4P1         (3)3(10.0)   491781.7 
    93     3    3S1 3P2 4P1         (1)2( 2.0)   493103.0 
    94     4    3S1 3P2 4S1         (1)0( 0.0)   494312.5 
    95  9999    3P3 3D1             (1)1( 1.0)   494509.6 
    96  9999    3P3 3D1             (3)1( 4.0)   495922.7 
    97  9999    3P3 3D1             (3)2( 7.0)   496041.8 
    98     3    3S1 3P2 4P1         (1)3( 3.0)   496816.4 
    99  9999    3P3 3D1             (3)0( 1.0)   497536.5 
   100     1    3S2 3P1 5D1         (1)2( 2.0)   497765.4 
   101     5    3S1 3P2 4S1         (3)1( 4.0)   498059.9 
   102     1    3S2 3P1 5D1         (3)2( 7.0)   498393.1 
   103     1    3S2 3P1 5D1         (3)3(10.0)   499323.1 
