Total line luminosity    6.403E+35
    C  I         9824.09   1.673E+35   1.230E+02
    O  III       5008.23   1.242E+35   9.128E+01
    Ne III     155545.07   6.534E+34   4.803E+01
    Ne V         3426.86   5.515E+34   4.054E+01
    O  III       4960.29   4.312E+34   3.170E+01
    Ne V       143210.36   3.420E+34   2.514E+01
    Ne II      128140.00   3.003E+34   2.207E+01
    Ne V         3346.78   2.027E+34   1.490E+01
    Ne IV        2421.48   1.554E+34   1.142E+01
    O  VI        1034.00   1.123E+34   8.255E+00
    O  IV      258800.00   1.043E+34   7.667E+00
    C  IV        1550.00   9.485E+33   6.973E+00
    O  IV        1400.00   8.906E+33   6.547E+00
    O  V         1216.00   8.496E+33   6.246E+00
    Ne V       243174.52   5.703E+33   4.192E+00
    Si II      348100.00   4.728E+33   3.476E+00
    O  III       1664.00   2.301E+33   1.692E+00
    C  III       1909.00   2.179E+33   1.602E+00
    Ne III     360360.10   2.108E+33   1.550E+00
    O  III     518134.34   1.717E+33   1.262E+00
    S  IV      105077.33   1.629E+33   1.198E+00
    Ar II       69850.00   1.360E+33   1.000E+00
    Ne IV        1599.74   1.310E+33   9.627E-01
    O  III       4364.45   1.047E+33   7.699E-01
    C  I         8730.99   1.047E+33   7.698E-01
    S  III     186992.46   8.887E+32   6.533E-01
    Ne V         1574.70   7.840E+32   5.763E-01
    S  III       9529.76   7.837E+32   5.761E-01
    Al II        2670.00   5.353E+32   3.935E-01
    Fe II      259813.73   4.747E+32   3.489E-01
    Mg I         4572.00   4.680E+32   3.441E-01
    S  III     334936.50   4.483E+32   3.295E-01
    O  II        3734.34   4.047E+32   2.975E-01
    Fe III     229192.40   3.901E+32   2.868E-01
    Al III       1858.00   3.284E+32   2.414E-01
    C  III        977.00   3.023E+32   2.222E-01
    Fe II      179315.42   2.948E+32   2.167E-01
    Ne III       3869.85   2.847E+32   2.093E-01
    Ne V         2974.00   2.810E+32   2.066E-01
    O  III       2321.67   2.466E+32   1.813E-01
    C  I         4622.67   2.466E+32   1.813E-01
    Ar III      89913.84   2.215E+32   1.628E-01
    O  III     883391.59   2.111E+32   1.552E-01
    C  II     1580000.00   1.991E+32   1.464E-01
    Fe II       53388.60   1.713E+32   1.259E-01
    O  V          629.70   1.679E+32   1.234E-01
    S  III       9067.64   1.379E+32   1.014E-01
    S  IV        1406.03   1.310E+32   9.629E-02
    Fe II      353397.67   1.102E+32   8.100E-02
    Fe II       12566.92   1.063E+32   7.816E-02
    Fe II       16435.65   1.026E+32   7.540E-02
    S  IV        1416.90   9.859E+31   7.248E-02
    Al II        1671.00   9.422E+31   6.926E-02
    Ne III       3968.58   8.801E+31   6.470E-02
    Fe III     330273.30   8.194E+31   6.023E-02
    Ca IV       32068.49   7.753E+31   5.699E-02
    Fe II      245121.96   7.381E+31   5.426E-02
    Fe VI        3094.99   7.020E+31   5.160E-02
    Ar VI       45292.20   6.746E+31   4.959E-02
    Fe VI        2567.63   6.533E+31   4.803E-02
    Fe VII       2835.77   6.393E+31   4.700E-02
    O  II        7336.09   6.275E+31   4.613E-02
    Fe VI        3095.80   6.054E+31   4.451E-02
    Ar IV        4712.69   5.806E+31   4.268E-02
    Ar V        79140.79   5.365E+31   3.944E-02
    Fe VII       3095.80   5.325E+31   3.915E-02
    O  III       3266.00   5.286E+31   3.886E-02
    Si IV        1400.00   5.114E+31   3.760E-02
    Fe VI        2570.17   5.105E+31   3.753E-02
    Fe VI       29010.68   4.921E+31   3.618E-02
    O  II        2474.65   4.871E+31   3.581E-02
    Fe VI        3094.56   4.181E+31   3.074E-02
    Ar V         7007.65   3.980E+31   2.926E-02
    Fe VII      28055.71   3.709E+31   2.727E-02
    Fe VII       3094.56   3.445E+31   2.532E-02
    Fe II       48879.57   3.409E+31   2.506E-02
    C  II        2326.00   3.359E+31   2.469E-02
    Ar III       7137.75   3.123E+31   2.296E-02
    O  III       3762.00   3.083E+31   2.267E-02
    O  IV        3027.00   2.851E+31   2.096E-02
    Fe VI       15432.32   2.840E+31   2.088E-02
    Fe II       13205.67   2.796E+31   2.056E-02
    Fe VI       28644.94   2.779E+31   2.043E-02
    Fe VII       3094.99   2.736E+31   2.012E-02
    Fe VI        2835.77   2.729E+31   2.006E-02
    Fe VII      27443.44   2.629E+31   1.933E-02
    Fe II       15334.86   2.329E+31   1.712E-02
    Fe VI       32971.77   2.254E+31   1.657E-02
    Ar V       130679.57   2.161E+31   1.589E-02
    Fe VI        2829.39   2.150E+31   1.580E-02
    Fe II       18094.12   2.057E+31   1.512E-02
    Fe II       13718.29   1.999E+31   1.470E-02
    Fe V         2835.77   1.993E+31   1.465E-02
    Fe II      512869.89   1.966E+31   1.445E-02
    Si III       1892.00   1.927E+31   1.417E-02
    S  II        6730.88   1.871E+31   1.375E-02
    Ar V         6437.62   1.858E+31   1.366E-02
    S  IV        1404.82   1.781E+31   1.309E-02
    O  III       4932.59   1.763E+31   1.296E-02
    Fe II       12942.82   1.751E+31   1.288E-02
    Fe II       16768.93   1.700E+31   1.250E-02
    Fe V        33911.24   1.655E+31   1.216E-02
    Fe VII      33911.24   1.611E+31   1.184E-02
    Fe VI       33859.55   1.520E+31   1.117E-02
    Fe II       15994.87   1.454E+31   1.069E-02
    Fe VII       2823.53   1.452E+31   1.067E-02
    Ar IV        2868.99   1.438E+31   1.057E-02
    Fe V         2577.94   1.382E+31   1.016E-02
    Fe VII      15412.34   1.343E+31   9.870E-03
    Fe VI       15412.34   1.327E+31   9.758E-03
    Fe VII      15432.32   1.312E+31   9.648E-03
