Total line luminosity    6.403E+35
    S  IV        1423.85   1.307E+31   9.612E-03
    Fe V         1997.97   1.283E+31   9.430E-03
    S  III       6311.96   1.191E+31   8.757E-03
    Fe II       18000.34   1.158E+31   8.510E-03
    Fe VII      32971.77   1.152E+31   8.471E-03
    Fe III     516660.09   1.141E+31   8.391E-03
    Fe II       12787.88   1.066E+31   7.835E-03
    Fe II      357673.68   1.063E+31   7.814E-03
    Fe II       46065.17   1.012E+31   7.440E-03
    Fe II       13277.90   1.009E+31   7.416E-03
    Fe VI       33911.24   1.003E+31   7.373E-03
    Ar IV        4741.49   9.102E+30   6.691E-03
    Fe II       12485.55   8.922E+30   6.559E-03
    Fe V         3094.99   8.756E+30   6.437E-03
    S  II        6716.49   8.081E+30   5.940E-03
    Fe V         5795.99   7.834E+30   5.759E-03
    C  II        1334.00   7.757E+30   5.702E-03
    Ca V        41585.20   7.737E+30   5.688E-03
    Ar III     218314.71   7.693E+30   5.656E-03
    Ar III       7753.24   7.535E+30   5.539E-03
    Fe IV        2835.77   7.485E+30   5.502E-03
    Fe II       16637.83   7.118E+30   5.233E-03
    S  III       3721.43   6.741E+30   4.956E-03
    S  IV        1072.98   6.601E+30   4.852E-03
    Fe II       17971.20   6.563E+30   4.825E-03
    Fe II       12703.59   6.516E+30   4.790E-03
    Fe II       12476.79   6.242E+30   4.589E-03
    Ar IV        2854.48   6.104E+30   4.487E-03
    Si I        16454.52   5.973E+30   4.391E-03
    Fe V        15443.05   5.962E+30   4.383E-03
    Fe II       56725.45   5.476E+30   4.025E-03
    Fe V        27157.17   5.407E+30   3.975E-03
    Fe V        27134.32   5.251E+30   3.861E-03
    S  IV        1398.05   4.864E+30   3.576E-03
    Fe II       12977.86   4.630E+30   3.403E-03
    Fe II        8617.04   4.500E+30   3.308E-03
    Fe I       240360.17   4.210E+30   3.095E-03
    Fe IV        2829.39   4.197E+30   3.086E-03
    O  V         6488.00   4.102E+30   3.016E-03
    Fe VI        2577.94   3.895E+30   2.863E-03
    Fe II       40753.04   3.885E+30   2.856E-03
    Fe II       17111.44   3.836E+30   2.820E-03
    Fe VII      15443.05   3.740E+30   2.749E-03
    Ne V         3301.34   3.718E+30   2.733E-03
    Fe II       17449.52   3.529E+30   2.594E-03
    S  IV        1073.53   3.271E+30   2.405E-03
    S  II        4068.64   3.162E+30   2.324E-03
    Fe VII      28356.51   3.107E+30   2.284E-03
    Fe V         2017.88   3.037E+30   2.232E-03
    Fe V         2829.39   2.823E+30   2.075E-03
    Fe VI       27443.44   2.815E+30   2.069E-03
    Fe V        15063.08   2.746E+30   2.018E-03
    Fe V         9428.53   2.738E+30   2.013E-03
    Fe V        32193.51   2.701E+30   1.986E-03
    Fe II       12521.50   2.588E+30   1.903E-03
    S  V         1199.15   2.571E+30   1.890E-03
    S  V         1188.29   2.508E+30   1.844E-03
    Fe V         7925.09   2.462E+30   1.810E-03
    Fe II       44337.23   2.433E+30   1.788E-03
    Ar V         2692.02   2.269E+30   1.668E-03
    Fe II       50610.97   2.244E+30   1.649E-03
    Si II        2335.00   2.208E+30   1.623E-03
    Fe VII      32193.51   2.207E+30   1.622E-03
    Si I        16068.29   2.169E+30   1.595E-03
    Ar IV        7333.42   2.103E+30   1.546E-03
    Fe V         7266.99   2.019E+30   1.484E-03
    N  IV        1486.00   1.990E+30   1.463E-03
    S  IV        1062.67   1.797E+30   1.321E-03
    Mg I         4572.00   1.789E+30   1.315E-03
    Ca V         5310.59   1.697E+30   1.248E-03
    N  V         1238.00   1.687E+30   1.240E-03
    Ar IV        7239.39   1.684E+30   1.238E-03
    Fe II       40809.30   1.626E+30   1.195E-03
    Ar III       3110.07   1.624E+30   1.194E-03
    Ar IV        7264.74   1.609E+30   1.183E-03
    Fe II        8892.00   1.475E+30   1.084E-03
    Fe II      873590.76   1.437E+30   1.056E-03
    Fe V        27732.73   1.352E+30   9.938E-04
    Fe II      228961.97   1.280E+30   9.410E-04
    Ne V         1592.21   1.232E+30   9.058E-04
    S  III       8828.62   1.171E+30   8.611E-04
    Ne IV        4714.07   1.129E+30   8.297E-04
    Fe I        14429.79   1.090E+30   8.012E-04
    Fe V         8869.19   1.075E+30   7.903E-04
    S  II        4076.38   1.069E+30   7.856E-04
    Fe II        9052.04   1.063E+30   7.811E-04
    Fe V         5798.81   1.062E+30   7.806E-04
    Fe I       347046.64   1.015E+30   7.459E-04
    Fe V         7191.30   1.014E+30   7.456E-04
    Fe II        7637.61   9.470E+29   6.962E-04
    Fe III       5270.45   9.351E+29   6.874E-04
    S  II       10320.67   9.047E+29   6.651E-04
    Fe II        7155.05   8.873E+29   6.523E-04
    N  II        6559.79   8.780E+29   6.454E-04
    Fe IV        2567.63   8.732E+29   6.419E-04
    O  III       2332.12   8.643E+29   6.354E-04
    Fe II        9226.71   8.299E+29   6.101E-04
    Fe V         7192.90   8.238E+29   6.056E-04
    Ne VII        895.10   8.035E+29   5.907E-04
    S  II       10286.87   7.700E+29   5.661E-04
    Ar V         4626.82   7.378E+29   5.423E-04
    Fe III       4658.10   7.313E+29   5.376E-04
    Fe V         6224.64   7.159E+29   5.263E-04
    S  II       10336.48   7.097E+29   5.218E-04
    Fe III       4881.04   7.065E+29   5.194E-04
    Fe V        15412.34   6.970E+29   5.124E-04
    Fe V         4144.24   6.535E+29   4.804E-04
    Ar III       5193.26   6.441E+29   4.735E-04
    N  III     573300.00   6.412E+29   4.714E-04
    Fe V         7192.44   6.144E+29   4.516E-04
    Fe V         8024.13   5.740E+29   4.220E-04
    Fe II       46707.79   5.716E+29   4.202E-04
    Fe V         7557.43   5.664E+29   4.164E-04
    Fe VI       32193.51   5.570E+29   4.095E-04
    Fe V        30327.23   5.459E+29   4.013E-04
    Fe II        9267.65   5.340E+29   3.925E-04
    Fe V        30335.51   5.335E+29   3.922E-04
    Fe V        38082.32   5.333E+29   3.921E-04
    Fe V         7184.06   5.295E+29   3.893E-04
    Fe II        7687.01   5.258E+29   3.866E-04
    Fe V        29728.42   5.113E+29   3.759E-04
    Fe V         3095.80   5.075E+29   3.731E-04
    Ne III       1814.63   5.072E+29   3.729E-04
    Fe V         7265.35   4.943E+29   3.634E-04
    O  I       631679.02   4.739E+29   3.484E-04
    Ca V       114823.66   4.658E+29   3.424E-04
    Fe V         6826.55   4.606E+29   3.386E-04
    Fe V         8993.42   4.452E+29   3.273E-04
    Fe II        9033.58   4.141E+29   3.044E-04
    Fe III    1053463.93   3.941E+29   2.897E-04
    S  IV         750.23   3.545E+29   2.606E-04
    Si I       684547.46   3.492E+29   2.567E-04
    Ar IV        7172.46   3.354E+29   2.465E-04
    Fe VII      33859.55   3.347E+29   2.460E-04
    Fe II        7172.06   3.301E+29   2.427E-04
    Ca V         6088.05   3.299E+29   2.425E-04
    N  III       1750.00   3.196E+29   2.350E-04
    Fe V         1900.41   3.196E+29   2.350E-04
    S  IV         815.95   3.052E+29   2.244E-04
    Fe III       4701.58   3.020E+29   2.220E-04
    Fe V         5911.07   2.936E+29   2.158E-04
    S  II       10370.60   2.930E+29   2.154E-04
    Fe II        7452.42   2.783E+29   2.046E-04
    Fe V        15070.12   2.776E+29   2.041E-04
    Fe IV       28356.51   2.637E+29   1.939E-04
    Fe I        15351.40   2.561E+29   1.883E-04
    Fe V         5236.12   2.555E+29   1.878E-04
    Fe I        13552.49   2.532E+29   1.861E-04
    Fe II        7388.23   2.448E+29   1.800E-04
    S  IV         753.77   2.419E+29   1.778E-04
    Fe III       5011.31   2.320E+29   1.705E-04
    Fe II        9471.03   2.287E+29   1.682E-04
    Fe II      346510.17   2.183E+29   1.605E-04
    Fe V         5233.81   2.116E+29   1.555E-04
    Fe II        9399.14   1.947E+29   1.431E-04
    Fe II        7665.38   1.888E+29   1.388E-04
    S  IV         744.91   1.826E+29   1.343E-04
    Fe I       542954.81   1.762E+29   1.295E-04
    Fe I        13672.29   1.716E+29   1.262E-04
    Fe IV        6739.88   1.698E+29   1.248E-04
    Fe IV        2567.43   1.593E+29   1.171E-04
    S  IV         809.66   1.575E+29   1.158E-04
    Fe V         8962.46   1.512E+29   1.112E-04
    Ne III     108648.34   1.380E+29   1.015E-04
    Fe III       4733.95   1.370E+29   1.007E-04
    Fe II       18114.09   1.341E+29   9.858E-05
    Fe III       4754.73   1.334E+29   9.805E-05
    Fe V         4900.02   1.327E+29   9.754E-05
    S  IV         661.40   1.326E+29   9.750E-05
    Fe III       4987.26   1.304E+29   9.585E-05
    S  IV         748.40   1.246E+29   9.162E-05
    Fe V         7222.84   1.234E+29   9.069E-05
    Fe IV       28644.94   1.233E+29   9.065E-05
    Fe I        14982.33   1.222E+29   8.980E-05
    Fe II        5158.84   1.217E+29   8.950E-05
    Mg I         2852.00   1.135E+29   8.344E-05
    Fe I        14362.29   1.115E+29   8.197E-05
    Fe V        25991.50   1.073E+29   7.887E-05
    Fe I        13729.26   1.066E+29   7.837E-05
    Fe V         4206.64   1.036E+29   7.618E-05
    Fe III       4769.48   1.035E+29   7.606E-05
    Fe IV        4906.61   9.950E+28   7.315E-05
    N  IV         765.15   9.943E+28   7.310E-05
    Fe VI       15443.05   9.601E+28   7.058E-05
    Fe V         4647.23   8.779E+28   6.454E-05
    Fe IV        2577.94   8.776E+28   6.451E-05
    S  IV         661.46   8.713E+28   6.405E-05
    Si I      1296410.30   8.701E+28   6.396E-05
    Fe V         5756.54   8.687E+28   6.386E-05
    Fe I        14616.16   8.500E+28   6.248E-05
    Fe V         1892.63   8.371E+28   6.153E-05
    Fe III       5412.03   8.317E+28   6.114E-05
    Fe V        28644.94   8.221E+28   6.044E-05
    Fe I        13757.98   7.923E+28   5.825E-05
    Fe V         4869.06   7.832E+28   5.758E-05
    Fe IV       28055.71   7.715E+28   5.671E-05
    Fe II       17484.38   7.638E+28   5.615E-05
    Fe I        13206.80   7.619E+28   5.601E-05
    Ne V        90130.62   7.574E+28   5.568E-05
    Fe V        27443.44   7.161E+28   5.264E-05
    Fe V         4071.36   6.707E+28   4.930E-05
    Fe IV       27157.17   6.679E+28   4.910E-05
    Fe III       4930.59   6.674E+28   4.906E-05
    Fe III       4777.73   6.603E+28   4.854E-05
    Fe I        13417.98   6.414E+28   4.715E-05
    Ca V         2413.60   6.365E+28   4.679E-05
    S  II        1259.53   6.198E+28   4.557E-05
    Fe V         4888.68   6.008E+28   4.417E-05
    Fe IV        3094.99   5.968E+28   4.387E-05
    Fe IV        5233.81   5.837E+28   4.291E-05
    Fe V         7533.79   5.809E+28   4.271E-05
    Fe II        7733.23   5.798E+28   4.262E-05
    Fe II        5261.66   5.693E+28   4.185E-05
    Fe IV        6761.45   5.356E+28   3.937E-05
    Fe I        12936.43   5.335E+28   3.922E-05
    Fe III       4607.07   5.294E+28   3.892E-05
    Fe II        5527.39   5.261E+28   3.868E-05
    Fe I        14266.21   5.130E+28   3.771E-05
    Fe IV        4903.12   4.998E+28   3.674E-05
    Fe IV        4900.02   4.775E+28   3.510E-05
    Fe V         4198.28   4.725E+28   3.474E-05
    Fe II        5273.42   4.701E+28   3.456E-05
    Fe V        28055.71   4.593E+28   3.376E-05
    Fe V        21871.77   4.494E+28   3.304E-05
    S  IV         657.33   4.480E+28   3.294E-05
    Fe IV       27732.73   4.266E+28   3.136E-05
    Fe V         3871.43   4.103E+28   3.016E-05
    Fe V         3598.47   4.086E+28   3.004E-05
    S  II        1253.82   3.985E+28   2.930E-05
    N  III        990.00   3.869E+28   2.844E-05
    Fe III       5084.82   3.838E+28   2.821E-05
    Fe III       4667.06   3.798E+28   2.792E-05
    Fe III      22178.42   3.784E+28   2.782E-05
    Fe V         2567.63   3.760E+28   2.764E-05
    Ne III       3343.38   3.730E+28   2.742E-05
    S  III     119998.32   3.701E+28   2.721E-05
    Fe I       222909.34   3.695E+28   2.716E-05
    Fe I        19804.69   3.659E+28   2.690E-05
    Fe IV        4868.21   3.641E+28   2.677E-05
    Fe V        29101.89   3.637E+28   2.674E-05
    Mg I         5177.00   3.626E+28   2.665E-05
    Si I        10991.41   3.607E+28   2.652E-05
    Fe III      22420.65   3.605E+28   2.650E-05
    Fe II        4889.68   3.602E+28   2.648E-05
    Fe V         3192.62   3.589E+28   2.639E-05
    Fe IV        4144.24   3.556E+28   2.614E-05
    Fe II       18134.55   3.536E+28   2.599E-05
    Fe IV        6997.17   3.496E+28   2.570E-05
    Fe IV        4206.64   3.465E+28   2.547E-05
    Fe II        6896.23   3.308E+28   2.432E-05
    Fe IV        7222.84   3.274E+28   2.407E-05
    Fe IV        4208.92   3.215E+28   2.363E-05
    Fe IV        4868.00   3.206E+28   2.357E-05
    Fe VII      29010.68   3.169E+28   2.330E-05
    Fe VII      28644.94   3.142E+28   2.310E-05
    Fe II       22239.31   3.124E+28   2.297E-05
    Fe IV        4918.02   3.086E+28   2.269E-05
    Fe V         3859.54   3.042E+28   2.236E-05
    Fe IV        5033.64   2.978E+28   2.189E-05
    Fe V        12016.93   2.912E+28   2.140E-05
    Fe V         4498.95   2.839E+28   2.087E-05
    S  I       252402.29   2.824E+28   2.076E-05
    O  I      1454952.27   2.656E+28   1.952E-05
    Ar V         2786.82   2.611E+28   1.919E-05
    Fe V         3446.26   2.587E+28   1.902E-05
    Fe VII       2570.17   2.577E+28   1.894E-05
    Fe V         3725.23   2.557E+28   1.880E-05
    Fe II        4814.58   2.523E+28   1.854E-05
    Fe II        4416.31   2.521E+28   1.854E-05
    Fe III      23479.03   2.509E+28   1.844E-05
    Fe V         4208.92   2.463E+28   1.811E-05
    Fe IV        6792.55   2.447E+28   1.799E-05
    Fe III       3239.77   2.431E+28   1.787E-05
    Fe II        5333.70   2.418E+28   1.777E-05
    Fe V         4702.71   2.369E+28   1.741E-05
    Mg I         3834.00   2.312E+28   1.700E-05
    Fe V        21214.13   2.294E+28   1.686E-05
    Fe V         2108.05   2.275E+28   1.672E-05
    Fe IV        7184.06   2.239E+28   1.646E-05
    Fe V         4558.75   2.234E+28   1.642E-05
    Fe II        5376.51   2.233E+28   1.641E-05
    Fe V         5685.40   2.180E+28   1.603E-05
    Fe V         6091.51   2.118E+28   1.557E-05
    Fe V         5531.08   2.083E+28   1.531E-05
    Fe IV        7191.30   2.057E+28   1.512E-05
    Fe V        20883.11   2.052E+28   1.509E-05
    Fe V         3253.43   2.043E+28   1.502E-05
    Fe IV       27134.32   2.027E+28   1.490E-05
    Fe V        28333.20   2.011E+28   1.478E-05
    S  II        1250.60   1.999E+28   1.470E-05
    Fe V         4694.65   1.987E+28   1.461E-05
    Fe V         4671.37   1.962E+28   1.442E-05
    Fe V         4396.56   1.927E+28   1.417E-05
    Fe II       20152.61   1.912E+28   1.405E-05
    Fe V         4479.21   1.829E+28   1.344E-05
    Ar III       3006.10   1.792E+28   1.317E-05
    Fe II        6440.46   1.779E+28   1.308E-05
    Fe III       4008.38   1.777E+28   1.306E-05
    Fe IV        4152.38   1.777E+28   1.306E-05
    Fe II        5412.70   1.764E+28   1.297E-05
    Fe II        5111.67   1.754E+28   1.289E-05
    Fe V         5977.44   1.749E+28   1.286E-05
    Fe V        19609.60   1.741E+28   1.280E-05
    Fe V         3598.07   1.692E+28   1.244E-05
    Fe V        20462.93   1.674E+28   1.230E-05
    Fe II        7874.33   1.643E+28   1.208E-05
    Fe IV        4869.28   1.642E+28   1.207E-05
    Fe V         3973.08   1.631E+28   1.199E-05
    Fe II       20460.27   1.577E+28   1.159E-05
    Fe III       3322.57   1.550E+28   1.140E-05
    Fe II      601114.32   1.539E+28   1.131E-05
    Fe I       284585.44   1.504E+28   1.105E-05
    Fe II       19670.28   1.468E+28   1.079E-05
    Fe II        5433.20   1.435E+28   1.055E-05
    Fe IV       15443.05   1.391E+28   1.023E-05
    Ne III       4012.77   1.367E+28   1.005E-05
    Fe IV        6734.48   1.340E+28   9.850E-06
    Fe V         4869.28   1.330E+28   9.774E-06
    Na I         5889.00   1.314E+28   9.663E-06
    Fe V         4694.45   1.279E+28   9.402E-06
    Fe II       20067.16   1.275E+28   9.376E-06
    Fe IV        5032.50   1.273E+28   9.357E-06
    Fe V         4499.58   1.267E+28   9.313E-06
    Fe IV        7192.44   1.260E+28   9.266E-06
    Fe V         2570.17   1.245E+28   9.155E-06
    Fe V        28295.51   1.237E+28   9.097E-06
    Fe V         3185.16   1.221E+28   8.978E-06
    Ar III      63684.93   1.209E+28   8.888E-06
    Fe II        6558.56   1.207E+28   8.873E-06
    Fe V         7555.66   1.192E+28   8.765E-06
    Fe V         4902.03   1.177E+28   8.655E-06
    Fe III       9701.37   1.173E+28   8.621E-06
    Fe V         4479.84   1.168E+28   8.587E-06
    Fe IV        5798.81   1.168E+28   8.586E-06
    Fe II        4728.12   1.163E+28   8.549E-06
    Fe V         5785.86   1.162E+28   8.546E-06
    Fe IV        5800.33   1.151E+28   8.464E-06
    Fe III       3371.45   1.142E+28   8.394E-06
    Fe IV       15412.34   1.137E+28   8.361E-06
    Fe I        21851.42   1.117E+28   8.215E-06
    Fe II        4457.99   1.088E+28   7.996E-06
    Fe IV        4888.68   1.083E+28   7.960E-06
    Fe V        11877.16   1.060E+28   7.796E-06
    Fe V         3253.18   1.056E+28   7.764E-06
    Fe III      21451.28   1.010E+28   7.427E-06
    Fe I        20767.94   1.008E+28   7.412E-06
    Fe II        5220.11   9.970E+27   7.329E-06
    Fe III       3334.93   9.937E+27   7.305E-06
    Fe V         4868.21   9.840E+27   7.234E-06
    Mg I         8806.00   9.771E+27   7.183E-06
    Fe II        4905.39   9.729E+27   7.152E-06
    Fe I        14233.01   9.698E+27   7.130E-06
    Fe V         1974.28   9.587E+27   7.048E-06
    Fe V         7704.13   9.511E+27   6.992E-06
    Fe V         3326.00   9.325E+27   6.855E-06
    Fe II        5495.87   9.320E+27   6.851E-06
    S  III       3797.00   9.156E+27   6.731E-06
    Fe II        5158.06   9.037E+27   6.643E-06
    Fe V         8026.13   9.012E+27   6.625E-06
    Fe IV        5237.35   8.905E+27   6.546E-06
    Fe I        12918.51   8.882E+27   6.529E-06
    Fe IV        4866.22   8.735E+27   6.421E-06
    Fe II        4244.01   8.731E+27   6.418E-06
    O  I         6300.30   8.720E+27   6.410E-06
    Fe V         4551.18   8.691E+27   6.389E-06
    Fe V         5033.64   8.684E+27   6.384E-06
    Fe V         6193.98   8.518E+27   6.262E-06
    Fe III       3356.60   8.478E+27   6.232E-06
    Fe V         2997.13   8.347E+27   6.136E-06
    S  II        1204.34   8.150E+27   5.991E-06
    Fe V        19074.22   7.919E+27   5.821E-06
    Fe IV        6826.55   7.834E+27   5.759E-06
    Fe II       21327.90   7.793E+27   5.729E-06
    Fe V         5632.23   7.784E+27   5.723E-06
    Fe IV        7925.09   7.660E+27   5.631E-06
    Fe II        5296.89   7.600E+27   5.587E-06
    Fe II        4287.44   7.563E+27   5.559E-06
    Fe IV        4869.06   7.562E+27   5.559E-06
    Fe IV        7171.03   7.556E+27   5.555E-06
    Fe III       9942.28   7.491E+27   5.507E-06
    Fe V         4598.91   7.484E+27   5.502E-06
    Fe III      24521.98   7.399E+27   5.439E-06
    Fe III       2438.32   7.385E+27   5.429E-06
    Fe V        35876.59   7.182E+27   5.279E-06
    Fe V         3453.43   7.181E+27   5.279E-06
    Fe V         5990.51   7.004E+27   5.149E-06
    Fe III       3286.22   6.869E+27   5.050E-06
    Fe IV        6756.05   6.783E+27   4.987E-06
    Fe V         4921.15   6.602E+27   4.853E-06
