       37166          95          95           8           8         111           3  0.18124399999999999                0
       37167          96          96           8           8         331           2  0.18124399999999999                0
       37168          97          97           8           8         141           2  0.18138799999999999                0
       37169          98          98           8           8         121           5  0.18177399999999999                0
       37170          99          99           8           8         131           2  0.18185599999999999                0
       37171         100         100           8           8         340           1  0.18188299999999999                0
       37172         101         101           8           8         150           1  0.18188399999999999                0
       37173         102         102           8           8         140           1  0.18188499999999999                0
       37174         103         103           8           8         130           3  0.18188599999999999                0
       37175         104         104           8           8         110           4  0.18189800000000000                0
       37176         105         105           8           8         320           4  0.18190200000000001                0
       37177         106         106           8           8         120           5  0.18192500000000000                0
       37178         107         107           8           8         311           4  0.18411700000000000                0
       37179         108         108           8           8         320           5  0.18832599999999999                0
       37180         109         109           8           8         110           5  0.18888700000000000                0
       37181         110         110           8           8         130           4  0.18894800000000000                0
       37182         111         111           8           8         120           6  0.19306899999999999                0
       37183         112         112           8           8         100           2  0.19641400000000001                0
       37184         113         113           8           8         121           6  0.20176700000000000                0
       37185         114         114           8           8         111           4  0.20397899999999999                0
       37186         115         115           8           8         331           3  0.20401700000000000                0
       37187         116         116           8           8         101           3  0.20401800000000000                0
       37188         117         117           8           8         141           3  0.20410400000000001                0
       37189         118         118           8           8         121           7  0.20432200000000000                0
       37190         119         119           8           8         131           3  0.20437100000000000                0
       37191         120         120           8           8         340           2  0.20438500000000001                0
       37192         121         121           8           8         150           2  0.20438600000000001                0
       37193         122         122           8           8         140           2  0.20438700000000001                0
       37194         123         123           8           8         130           5  0.20438700000000001                0
       37195         124         124           8           8         110           6  0.20438999999999999                0
       37196         125         125           8           8         320           6  0.20439099999999999                0
       37197         126         126           8           8         120           7  0.20439199999999999                0
       37198         127         127           8           8         311           5  0.20505699999999999                0
       37199         128         128           8           8         320           7  0.20773500000000000                0
       37200         129         129           8           8         110           7  0.20785799999999999                0
       37201         130         130           8           8         130           6  0.20811199999999999                0
       37202         131         131           8           8         120           8  0.21021999999999999                0
       37203         132         132           8           8         121           8  0.21511600000000000                0
       37204         133         133           8           8         111           5  0.21634300000000001                0
       37205         134         134           8           8         331           4  0.21638299999999999                0
       37206         135         135           8           8         101           4  0.21638600000000000                0
       37207         136         136           8           8         141           4  0.21643799999999999                0
       37208         137         137           8           8         121           9  0.21657000000000001                0
       37209         138         138           8           8         131           4  0.21660099999999999                0
       37210         139         139           8           8         340           3  0.21660900000000000                0
       37211         140         140           8           8         150           3  0.21661000000000000                0
       37212         141         141           8           8         140           3  0.21661100000000000                0
       37213         142         142           8           8         130           7  0.21661100000000000                0
       37214         143         143           8           8         120           9  0.21661200000000000                0
       37215         144         144           8           8         110           8  0.21661200000000000                0
       37216         145         145           8           8         320           8  0.21661200000000000                0
       37217         146         146           8           8         311           6  0.21688600000000000                0
       37218         147         147           8           8         320           9  0.21857499999999999                0
       37219         148         148           8           8         110           9  0.21861600000000000                0
       37220         149         149           8           8         130           8  0.21880700000000000                0
       37221         150         150           8           8         120          10  0.22005000000000000                0
       37222         151         151           8           8         121          10  0.22304800000000000                0
       37223         152         152           8           8         111           6  0.22379800000000000                0
       37224         153         153           8           8         331           5  0.22383200000000000                0
       37225         154         154           8           8         101           5  0.22383500000000001                0
       37226         155         155           8           8         141           5  0.22386900000000001                0
       37227         156         156           8           8         121          11  0.22395399999999999                0
       37228         157         157           8           8         131           5  0.22397500000000001                0
       37229         158         158           8           8         340           4  0.22398000000000001                0
       37230         159         159           8           8         150           4  0.22398100000000001                0
       37231         160         160           8           8         110          10  0.22398199999999999                0
       37232         161         161           8           8         120          11  0.22398199999999999                0
       37233         162         162           8           8         140           4  0.22398199999999999                0
       37234         163         163           8           8         130           9  0.22398199999999999                0
       37235         164         164           8           8         320          10  0.22398199999999999                0
       37236         165         165           8           8         311           7  0.22410500000000000                0
       37237         166         166           8           8         320          11  0.22523099999999999                0
       37238         167         167           8           8         110          11  0.22524700000000000                0
       37239         168         168           8           8         130          10  0.22538200000000000                0
       37240         169         169           8           8         120          12  0.22617799999999999                0
       37241         170         170           8           8         121          12  0.22814400000000001                0
       37242         171         171           8           8         111           7  0.22863300000000000                0
       37243         172         172           8           8         331           6  0.22866300000000001                0
       37244         173         173           8           8         101           6  0.22866500000000001                0
       37245         174         174           8           8         141           6  0.22868900000000000                0
       37246         175         175           8           8         121          13  0.22874600000000000                0
       37247         176         176           8           8         131           6  0.22876099999999999                0
       37248         177         177           8           8         110          12  0.22876500000000000                0
       37249         178         178           8           8         150           5  0.22876500000000000                0
