Total line luminosity    1.938E+35
    Fe I       222909.34   2.257E+30   4.946E-05
    Fe II       12521.50   2.118E+30   4.642E-05
    Mg I         4572.00   1.885E+30   4.130E-05
    Ar III       3110.07   1.854E+30   4.062E-05
    Fe II        9052.04   1.771E+30   3.882E-05
    O  I       631679.02   1.737E+30   3.806E-05
    Si III       1892.00   1.677E+30   3.675E-05
    Fe II        7637.61   1.579E+30   3.460E-05
    Fe II       44337.23   1.502E+30   3.291E-05
    Fe II        9226.71   1.421E+30   3.113E-05
    Fe II       50610.97   1.357E+30   2.973E-05
    Ar IV        2868.99   1.261E+30   2.763E-05
    O  III       3762.00   1.119E+30   2.451E-05
    Fe I         5403.35   1.102E+30   2.414E-05
    Fe II      873590.76   1.069E+30   2.343E-05
    Fe VI        2570.17   1.051E+30   2.304E-05
    Fe III       4701.58   1.031E+30   2.260E-05
    Fe II      228961.97   1.023E+30   2.242E-05
    Fe VI       29010.68   1.013E+30   2.221E-05
    Si I         3006.74   1.008E+30   2.209E-05
    Fe II       40809.30   1.004E+30   2.199E-05
    Fe II        9267.65   9.724E+29   2.131E-05
    Fe II        7172.06   9.611E+29   2.106E-05
    O  IV        3027.00   9.403E+29   2.060E-05
    Fe I       284585.44   9.175E+29   2.010E-05
    Fe II        7687.01   9.003E+29   1.973E-05
    Fe V         2577.94   8.958E+29   1.963E-05
    Fe II        5158.84   8.602E+29   1.885E-05
    Fe VI        2567.63   8.517E+29   1.866E-05
    Fe I        21851.42   8.377E+29   1.836E-05
    Fe II        7452.42   8.308E+29   1.820E-05
    Fe I         5361.39   8.129E+29   1.781E-05
    Ar III      63684.93   8.069E+29   1.768E-05
    Fe VI        2835.77   7.888E+29   1.729E-05
    Fe I        20767.94   7.845E+29   1.719E-05
    O  III       4364.45   7.692E+29   1.686E-05
    C  I         8730.99   7.692E+29   1.685E-05
    Si I         2524.11   7.644E+29   1.675E-05
    Fe II        9033.58   7.541E+29   1.652E-05
    Fe III       5011.31   7.479E+29   1.639E-05
    Ar III       5193.26   7.354E+29   1.611E-05
    Fe VI       15432.32   7.242E+29   1.587E-05
    Fe II        7388.23   7.128E+29   1.562E-05
    Ne V       143210.36   6.915E+29   1.515E-05
    Fe VI       32971.77   6.700E+29   1.468E-05
    Fe VI        2829.39   6.391E+29   1.400E-05
    S  III     119998.32   6.137E+29   1.345E-05
    N  II        6559.79   6.098E+29   1.336E-05
    Fe I        14233.01   5.918E+29   1.297E-05
    Si I         2970.35   5.838E+29   1.279E-05
    Fe I        12918.51   5.596E+29   1.226E-05
    Si I         6589.61   5.286E+29   1.158E-05
    Fe I         5696.41   5.265E+29   1.154E-05
    Fe I         5565.73   5.248E+29   1.150E-05
    Ar IV        2854.48   5.104E+29   1.118E-05
    O  I         6300.30   4.943E+29   1.083E-05
    Fe III       4733.95   4.639E+29   1.016E-05
    Fe I         4843.39   4.621E+29   1.013E-05
    Fe I        19284.39   4.611E+29   1.010E-05
    Fe III       4754.73   4.569E+29   1.001E-05
    Fe I         8347.64   4.556E+29   9.984E-06
    Fe III       4987.26   4.415E+29   9.675E-06
    Fe VI       33859.55   4.394E+29   9.628E-06
    Fe V         1997.97   4.289E+29   9.398E-06
    Fe VII       2835.77   4.209E+29   9.224E-06
    Fe II        5261.66   4.181E+29   9.163E-06
    Fe I         5639.60   4.066E+29   8.910E-06
    Fe I        20686.14   4.045E+29   8.864E-06
    Si I         3905.52   3.995E+29   8.754E-06
    Si I         2987.64   3.944E+29   8.642E-06
    Fe I        23533.25   3.925E+29   8.601E-06
    Fe II        9471.03   3.916E+29   8.582E-06
    Fe I         5284.82   3.863E+29   8.464E-06
    Fe I         5834.69   3.855E+29   8.448E-06
    Fe I         5289.54   3.844E+29   8.422E-06
    Fe I         5205.55   3.832E+29   8.397E-06
    Fe V        15443.05   3.795E+29   8.316E-06
    Fe I         5247.10   3.774E+29   8.270E-06
    Fe VI       28644.94   3.622E+29   7.938E-06
    Fe I         5110.46   3.572E+29   7.827E-06
    Fe III       4769.48   3.533E+29   7.743E-06
    Fe II       46707.79   3.529E+29   7.733E-06
    Fe II        7665.38   3.439E+29   7.535E-06
    Fe VI       15412.34   3.385E+29   7.417E-06
    Fe IV        2835.77   3.314E+29   7.262E-06
    Fe II        9399.14   3.246E+29   7.113E-06
    Fe I         4457.12   3.194E+29   6.999E-06
    Fe II        5527.39   3.181E+29   6.971E-06
    Fe I         6358.76   3.088E+29   6.767E-06
    Fe II        5273.42   3.055E+29   6.695E-06
    Fe VI       33911.24   2.981E+29   6.533E-06
    Fe V         5795.99   2.961E+29   6.488E-06
    Fe III    1053463.93   2.856E+29   6.259E-06
    Fe I         6760.67   2.840E+29   6.223E-06
    Fe I        21735.85   2.750E+29   6.025E-06
    Fe I         5709.01   2.724E+29   5.969E-06
    Fe I         5314.84   2.694E+29   5.903E-06
    Mg I         4572.00   2.668E+29   5.846E-06
    Fe I        20063.85   2.655E+29   5.817E-06
    O  III       4932.59   2.596E+29   5.687E-06
    Fe III       5412.03   2.586E+29   5.666E-06
    Fe I         4886.61   2.554E+29   5.596E-06
    Fe I         8231.65   2.542E+29   5.569E-06
    Ca V        30528.74   2.541E+29   5.568E-06
    Fe I       387910.04   2.479E+29   5.432E-06
    Ca II        7305.00   2.445E+29   5.359E-06
    Fe II        4814.58   2.370E+29   5.194E-06
    Fe II        4416.31   2.369E+29   5.192E-06
    Fe I         3719.97   2.342E+29   5.133E-06
    Fe II        4889.68   2.341E+29   5.129E-06
    Fe VII       3094.56   2.268E+29   4.970E-06
    Fe V        27157.17   2.262E+29   4.957E-06
    Fe III       4777.73   2.237E+29   4.901E-06
    Fe II       18114.09   2.236E+29   4.899E-06
    Fe III       4930.59   2.160E+29   4.732E-06
    Fe I         4521.91   2.129E+29   4.664E-06
    Fe V         2829.39   2.120E+29   4.646E-06
    Fe V        27134.32   2.093E+29   4.587E-06
    Fe IV        2829.39   1.928E+29   4.224E-06
    Fe II        5333.70   1.847E+29   4.048E-06
    Ar IV        7333.42   1.845E+29   4.042E-06
    O  III       2321.67   1.812E+29   3.970E-06
    C  I         4622.67   1.811E+29   3.969E-06
    Si I         4102.93   1.810E+29   3.967E-06
    Fe III       4607.07   1.808E+29   3.962E-06
    Ne V       243174.52   1.775E+29   3.889E-06
    Fe II       22239.31   1.774E+29   3.887E-06
    Fe II      346510.17   1.760E+29   3.857E-06
    Fe V        32193.51   1.751E+29   3.838E-06
    Fe II        5376.51   1.747E+29   3.829E-06
    Fe I         5934.47   1.643E+29   3.599E-06
    Fe I         5804.50   1.590E+29   3.483E-06
    O  I         6363.77   1.588E+29   3.479E-06
    Si I         2216.67   1.572E+29   3.445E-06
    Fe I         5937.05   1.490E+29   3.265E-06
    Ne III       3869.85   1.445E+29   3.166E-06
    Fe I         4916.30   1.440E+29   3.155E-06
    Fe II        4244.01   1.419E+29   3.109E-06
    Ar IV        7264.74   1.411E+29   3.092E-06
    Ar IV        7239.39   1.408E+29   3.085E-06
    Fe III      22178.42   1.389E+29   3.044E-06
    Fe I         5441.36   1.381E+29   3.027E-06
    Fe I         5298.30   1.359E+29   2.977E-06
    S  I       174276.08   1.337E+29   2.929E-06
    Fe II       17484.38   1.308E+29   2.866E-06
    Fe I         6837.01   1.291E+29   2.828E-06
    Fe II        5111.67   1.288E+29   2.822E-06
    Fe III      22420.65   1.287E+29   2.820E-06
    Fe III       4667.06   1.287E+29   2.819E-06
    Fe II        5412.70   1.245E+29   2.728E-06
    Fe III       5084.82   1.237E+29   2.711E-06
    Fe II       20152.61   1.223E+29   2.679E-06
    Si I         2516.11   1.172E+29   2.568E-06
    Fe V         2017.88   1.148E+29   2.515E-06
    Fe I         4989.21   1.114E+29   2.441E-06
    Fe V        15063.08   1.094E+29   2.398E-06
    Fe I         5113.06   1.068E+29   2.341E-06
    Fe II        4457.99   1.061E+29   2.326E-06
    Fe II        7733.23   1.056E+29   2.314E-06
    Fe I         4188.10   1.047E+29   2.295E-06
    O  III       1664.00   1.040E+29   2.279E-06
    Fe VI        2577.94   9.933E+28   2.177E-06
    Si I         2506.90   9.909E+28   2.171E-06
    S  IV        1406.03   9.797E+28   2.147E-06
    Fe II        4114.51   9.697E+28   2.125E-06
    Fe II        6896.23   9.632E+28   2.111E-06
    Fe II        4905.39   9.494E+28   2.080E-06
    Fe I         5872.83   9.483E+28   2.078E-06
    Fe II        5433.20   9.329E+28   2.044E-06
    Fe III      23479.03   9.208E+28   2.018E-06
    Fe II        4728.12   9.205E+28   2.017E-06
    Fe V         9428.53   9.155E+28   2.006E-06
    Fe I         4956.40   8.686E+28   1.903E-06
    Si I         2218.06   8.649E+28   1.895E-06
    Fe I         4494.61   8.545E+28   1.872E-06
    S  IV        1416.90   8.465E+28   1.855E-06
    Fe I         4942.99   8.402E+28   1.841E-06
    Fe I         4216.22   8.390E+28   1.838E-06
    Fe I         4377.41   8.256E+28   1.809E-06
    Si I         2435.15   8.121E+28   1.779E-06
    Fe II        4287.44   7.901E+28   1.731E-06
    Fe I         4303.48   7.828E+28   1.715E-06
    Fe I         8151.41   7.687E+28   1.684E-06
    Fe II        5220.11   7.618E+28   1.669E-06
    Fe II        6440.46   7.247E+28   1.588E-06
    Si I         2210.89   7.208E+28   1.579E-06
    Fe II        5158.06   7.152E+28   1.567E-06
    Fe I         4961.22   6.978E+28   1.529E-06
    Fe III       3239.77   6.940E+28   1.521E-06
    O  I      1454952.27   6.814E+28   1.493E-06
    Si I         2514.31   6.638E+28   1.455E-06
    Fe I         5968.93   6.586E+28   1.443E-06
    Fe II        5495.87   6.578E+28   1.441E-06
    Si I         2207.98   6.574E+28   1.440E-06
    Fe I         4217.74   6.570E+28   1.440E-06
    Fe II       18134.55   6.439E+28   1.411E-06
    Fe II       20460.27   6.422E+28   1.407E-06
    Fe I         5269.59   6.385E+28   1.399E-06
    Fe III       4008.38   6.343E+28   1.390E-06
    Fe I         8647.98   6.283E+28   1.377E-06
    Fe I         8431.64   6.203E+28   1.359E-06
    Fe VII      33911.24   6.181E+28   1.354E-06
    Fe I         3922.95   6.125E+28   1.342E-06
    Al II        2670.00   6.025E+28   1.320E-06
    Fe II        5296.89   5.948E+28   1.303E-06
    Fe II        4874.53   5.846E+28   1.281E-06
    Fe I         6884.56   5.825E+28   1.276E-06
    Fe V         7925.09   5.816E+28   1.275E-06
    Fe I         3891.50   5.815E+28   1.274E-06
    Fe VI       27443.44   5.796E+28   1.270E-06
    Fe II        4359.38   5.785E+28   1.268E-06
    Fe I         6972.13   5.683E+28   1.245E-06
    Fe II       20067.16   5.646E+28   1.237E-06
    Fe I         4278.25   5.638E+28   1.235E-06
    Fe II        4774.77   5.634E+28   1.235E-06
    Fe II        4276.87   5.614E+28   1.230E-06
    Fe I         7005.31   5.598E+28   1.227E-06
    Fe I         3917.27   5.518E+28   1.209E-06
    Fe I         5716.00   5.394E+28   1.182E-06
    Fe V        27732.73   5.389E+28   1.181E-06
    Fe I         3927.96   5.353E+28   1.173E-06
    Fe VII       2823.53   5.332E+28   1.168E-06
    Si IV        1400.00   5.311E+28   1.164E-06
    Fe I         4269.63   5.270E+28   1.155E-06
    Fe III       3322.57   5.178E+28   1.135E-06
    Si I         2218.91   5.126E+28   1.123E-06
    Si I         2528.51   5.064E+28   1.110E-06
    Ar V        49290.19   4.959E+28   1.087E-06
    Fe II        6558.56   4.917E+28   1.077E-06
    Fe I         3859.95   4.636E+28   1.016E-06
    Fe II        4973.44   4.636E+28   1.016E-06
    Fe II        5268.93   4.558E+28   9.988E-07
    Fe I         7008.96   4.495E+28   9.850E-07
    Fe II        5020.28   4.488E+28   9.834E-07
    Ne III       3968.58   4.465E+28   9.785E-07
    Fe I         4789.24   4.438E+28   9.724E-07
    Fe V        15412.34   4.437E+28   9.722E-07
    Fe II        4950.79   4.356E+28   9.545E-07
    Fe VII      15412.34   4.327E+28   9.480E-07
    Fe II        4488.79   4.307E+28   9.437E-07
    Si I         2519.20   4.283E+28   9.385E-07
    Si I         2211.74   4.260E+28   9.335E-07
    Fe II        5164.00   4.259E+28   9.332E-07
    Fe VII      32971.77   4.233E+28   9.275E-07
    Fe VII      15432.32   4.229E+28   9.267E-07
    Fe II        4211.14   4.094E+28   8.970E-07
    Ar V         2692.02   4.063E+28   8.902E-07
    Fe II        4413.83   4.061E+28   8.899E-07
    Fe V         5798.81   4.013E+28   8.794E-07
    Fe I         4847.63   3.968E+28   8.694E-07
    Fe III       3371.45   3.814E+28   8.357E-07
    Fe I         5867.22   3.711E+28   8.131E-07
    Fe II        5747.02   3.653E+28   8.004E-07
    Fe III       9701.37   3.652E+28   8.002E-07
    Fe I         5362.84   3.650E+28   7.997E-07
    Fe I         3935.63   3.625E+28   7.943E-07
    Fe I         4435.19   3.586E+28   7.859E-07
    Fe II        4319.66   3.561E+28   7.804E-07
    Fe I         6000.05   3.541E+28   7.759E-07
    Fe II        5654.90   3.512E+28   7.696E-07
    Fe II       22534.67   3.478E+28   7.621E-07
    Fe III      21451.28   3.473E+28   7.610E-07
    Fe II        5005.57   3.462E+28   7.586E-07
    Mg I         2852.00   3.454E+28   7.568E-07
    Si I       447992.58   3.444E+28   7.546E-07
    Fe II        4947.43   3.342E+28   7.322E-07
    Fe II        4639.72   3.306E+28   7.245E-07
    Fe IV        2567.63   3.296E+28   7.222E-07
    Fe I         3886.32   3.276E+28   7.178E-07
    Fe II       21327.90   3.175E+28   6.956E-07
    Fe I         4389.29   3.159E+28   6.921E-07
    Fe II        4492.68   3.118E+28   6.833E-07
    Fe II        4346.89   3.083E+28   6.755E-07
    Fe I       591805.64   3.054E+28   6.691E-07
    Fe II        4358.41   3.006E+28   6.587E-07
    Fe V         8869.19   2.846E+28   6.237E-07
    Ar III       8038.72   2.814E+28   6.167E-07
    Fe II        7874.33   2.813E+28   6.165E-07
    Ar IV        7172.46   2.804E+28   6.144E-07
    Fe II        5182.01   2.770E+28   6.070E-07
    Fe III       3334.93   2.764E+28   6.057E-07
    Fe I         5775.10   2.723E+28   5.966E-07
    Fe III      24521.98   2.716E+28   5.951E-07
    Fe I         4331.65   2.691E+28   5.897E-07
    Fe II        4251.48   2.668E+28   5.845E-07
    Si I        12031.50   2.599E+28   5.695E-07
    Fe II        4452.15   2.582E+28   5.659E-07
    Fe I         5337.83   2.577E+28   5.647E-07
    Fe I         5012.12   2.560E+28   5.609E-07
    Fe II        4352.82   2.537E+28   5.560E-07
    Fe I         5290.80   2.515E+28   5.511E-07
    Fe II        4514.95   2.466E+28   5.403E-07
    Fe II       19670.28   2.447E+28   5.361E-07
    Fe II        5043.57   2.408E+28   5.276E-07
    Fe III       3356.60   2.358E+28   5.167E-07
    Fe III       9942.28   2.333E+28   5.112E-07
    Fe I         3930.33   2.224E+28   4.873E-07
    C  II     1580000.00   2.216E+28   4.856E-07
    Fe II        4382.79   2.176E+28   4.768E-07
    Si I        11984.19   2.173E+28   4.762E-07
    Fe I         4203.43   2.154E+28   4.719E-07
    Fe II        4178.99   2.110E+28   4.623E-07
    Fe I         3958.99   2.088E+28   4.576E-07
    Fe VII      28055.71   2.081E+28   4.560E-07
    Ar III       3006.10   2.045E+28   4.482E-07
    Fe II        5108.00   2.013E+28   4.411E-07
    Fe I         3959.79   2.006E+28   4.395E-07
    Fe I         5094.97   1.995E+28   4.372E-07
    Fe I        23244.59   1.963E+28   4.302E-07
    Fe III       3286.22   1.961E+28   4.297E-07
    Fe I         4529.05   1.907E+28   4.179E-07
    Fe II        4244.85   1.905E+28   4.174E-07
    Fe I         4427.35   1.891E+28   4.144E-07
    N  III     573300.00   1.890E+28   4.142E-07
    Fe I         4544.40   1.888E+28   4.136E-07
    Fe I         5497.57   1.860E+28   4.076E-07
    Fe I         9974.51   1.843E+28   4.038E-07
    Fe II        5556.36   1.818E+28   3.984E-07
    Fe II        5006.69   1.810E+28   3.966E-07
    Fe III       4079.74   1.806E+28   3.956E-07
    Fe III      32284.97   1.803E+28   3.950E-07
    Fe II        4372.47   1.803E+28   3.950E-07
    Si I         1979.20   1.797E+28   3.938E-07
    Fe I         4291.50   1.782E+28   3.905E-07
    Fe I         4466.61   1.746E+28   3.826E-07
    Fe I         5411.88   1.745E+28   3.823E-07
    Fe III      29041.02   1.695E+28   3.714E-07
    Fe V         6224.64   1.691E+28   3.706E-07
    Fe II        5199.23   1.669E+28   3.658E-07
    Fe I        10318.78   1.666E+28   3.650E-07
    Fe III       3406.22   1.657E+28   3.631E-07
    Fe I        19077.12   1.642E+28   3.599E-07
    Fe I        10264.74   1.633E+28   3.578E-07
    Fe II        3376.23   1.597E+28   3.500E-07
    Si I        11991.56   1.581E+28   3.463E-07
    Fe II        4432.49   1.577E+28   3.455E-07
    Si I        10585.13   1.558E+28   3.415E-07
    S  III       3797.00   1.556E+28   3.410E-07
    Fe III       3355.52   1.556E+28   3.409E-07
    Fe II        5745.75   1.541E+28   3.377E-07
    Fe II       10013.97   1.540E+28   3.374E-07
    S  IV        1423.85   1.532E+28   3.358E-07
    Si I         2631.28   1.509E+28   3.306E-07
    Fe II        5072.44   1.480E+28   3.243E-07
    Fe II        4965.83   1.477E+28   3.238E-07
    Fe VII      27443.44   1.475E+28   3.232E-07
    Fe V         7266.99   1.436E+28   3.146E-07
    Fe VI       32193.51   1.421E+28   3.113E-07
    Fe II        4177.24   1.410E+28   3.090E-07
    Fe III       4046.46   1.400E+28   3.069E-07
    Si I        10827.08   1.399E+28   3.066E-07
    Fe III       3319.25   1.391E+28   3.048E-07
    Si I        10786.84   1.380E+28   3.023E-07
    Fe II        4305.94   1.379E+28   3.021E-07
    Fe III       3366.24   1.379E+28   3.021E-07
    Si I        15888.40   1.377E+28   3.017E-07
    Fe II       22436.65   1.375E+28   3.013E-07
    Fe II       10028.74   1.366E+28   2.994E-07
    Fe II        5347.71   1.360E+28   2.980E-07
    Fe V         8024.13   1.356E+28   2.972E-07
    Fe I        17718.61   1.352E+28   2.962E-07
    Fe II        4798.32   1.351E+28   2.961E-07
    Fe III       4985.92   1.348E+28   2.954E-07
    Fe I         3829.50   1.343E+28   2.943E-07
    Fe I         5397.18   1.338E+28   2.931E-07
    Fe II        7764.80   1.331E+28   2.917E-07
    Ar V         4626.82   1.321E+28   2.895E-07
    Fe I        23422.01   1.314E+28   2.879E-07
    Fe II        5184.85   1.308E+28   2.867E-07
    Fe I         5481.22   1.305E+28   2.860E-07
    Fe II        9514.22   1.304E+28   2.857E-07
    Fe I         6633.54   1.293E+28   2.834E-07
    Fe II        5280.29   1.271E+28   2.784E-07
    Fe II        5477.30   1.263E+28   2.768E-07
    Si I        10869.53   1.260E+28   2.761E-07
    Fe II      601114.32   1.259E+28   2.759E-07
