Total line luminosity    1.938E+35
    Ar II       69850.00   4.564E+34   1.000E+00
    S  IV      105077.33   3.921E+34   8.592E-01
    Si I        16454.52   2.216E+34   4.855E-01
    S  III     186992.46   1.433E+34   3.141E-01
    Si II      348100.00   1.431E+34   3.135E-01
    Ar III      89913.84   1.001E+34   2.194E-01
    Si I        16068.29   8.048E+33   1.763E-01
    S  III       9529.76   7.170E+33   1.571E-01
    S  III     334936.50   4.038E+33   8.849E-02
    S  II        6730.88   3.440E+33   7.538E-02
    C  I         9824.09   2.464E+33   5.398E-02
    O  IV      258800.00   2.359E+33   5.170E-02
    Ca IV       32068.49   1.995E+33   4.372E-02
    O  III       5008.23   1.828E+33   4.007E-02
    Si I       684547.46   1.574E+33   3.450E-02
    S  II        6716.49   1.494E+33   3.273E-02
    O  III     518134.34   1.285E+33   2.816E-02
    S  III       9067.64   1.262E+33   2.766E-02
    Ca V        41585.20   1.127E+33   2.470E-02
    S  I       252402.29   7.584E+32   1.662E-02
    Fe I       240360.17   7.043E+32   1.543E-02
    S  II        4068.64   6.371E+32   1.396E-02
    O  III       4960.29   6.349E+32   1.391E-02
    Ar V        79140.79   6.334E+32   1.388E-02
    Ar III     218314.71   5.128E+32   1.124E-02
    Ar VI       45292.20   5.004E+32   1.097E-02
    Ar III       7137.75   4.502E+32   9.864E-03
    Si I      1296410.30   4.332E+32   9.493E-03
    Si I        10991.41   4.089E+32   8.959E-03
    Ar V       130679.57   3.022E+32   6.621E-03
    Fe II      259813.73   2.868E+32   6.284E-03
    O  II        3734.34   2.854E+32   6.255E-03
    S  II        4076.38   2.158E+32   4.729E-03
    Fe III     229192.40   1.943E+32   4.257E-03
    Fe II      179315.42   1.878E+32   4.116E-03
    S  I       563033.63   1.861E+32   4.077E-03
    S  II       10320.67   1.824E+32   3.996E-03
    Fe I       347046.64   1.784E+32   3.909E-03
    O  III     883391.59   1.635E+32   3.584E-03
    Fe II       53388.60   1.592E+32   3.489E-03
    S  II       10286.87   1.552E+32   3.401E-03
    S  II       10336.48   1.433E+32   3.141E-03
    Ar III       7753.24   1.087E+32   2.381E-03
    Fe II       12566.92   8.793E+31   1.927E-03
    Fe II       16435.65   8.482E+31   1.859E-03
    Fe VI        3095.80   7.989E+31   1.751E-03
    Fe II      353397.67   7.459E+31   1.634E-03
    Fe I        14429.79   7.305E+31   1.601E-03
    Fe V         2835.77   6.360E+31   1.394E-03
    Ca V       114823.66   6.280E+31   1.376E-03
    Fe VI        3094.99   6.267E+31   1.373E-03
    S  II       10370.60   5.918E+31   1.297E-03
    Ar IV        4712.69   5.612E+31   1.230E-03
    Fe III     330273.30   4.762E+31   1.043E-03
    Fe II      245121.96   4.463E+31   9.780E-04
    Fe V         3094.99   4.259E+31   9.332E-04
    Ne III     155545.07   3.904E+31   8.554E-04
    Fe V        33911.24   3.851E+31   8.439E-04
    Ar V         7007.65   3.638E+31   7.972E-04
    Fe I       542954.81   3.293E+31   7.216E-04
    Fe VI        3094.56   3.193E+31   6.997E-04
    Ca V         5310.59   2.542E+31   5.570E-04
    Fe II       13205.67   2.313E+31   5.067E-04
    Fe II       48879.57   2.172E+31   4.759E-04
    S  III       6311.96   2.024E+31   4.436E-04
    Si I         6526.78   1.887E+31   4.134E-04
    Fe II       15334.86   1.862E+31   4.080E-04
    Ne II      128140.00   1.838E+31   4.028E-04
    Fe I        15351.40   1.717E+31   3.762E-04
    Fe II       18094.12   1.701E+31   3.727E-04
    Ar V         6437.62   1.698E+31   3.721E-04
    Fe II       13718.29   1.653E+31   3.623E-04
    Fe I        13552.49   1.547E+31   3.390E-04
    O  II        7336.09   1.534E+31   3.362E-04
    Si II        2335.00   1.478E+31   3.238E-04
    Fe II       12942.82   1.400E+31   3.068E-04
    Fe II      512869.89   1.390E+31   3.046E-04
    Fe II       16768.93   1.359E+31   2.978E-04
    Ar IV        4741.49   1.260E+31   2.761E-04
    Fe VII       3095.80   1.200E+31   2.629E-04
    O  II        2474.65   1.191E+31   2.609E-04
    Fe II       15994.87   1.172E+31   2.568E-04
    S  III       3721.43   1.145E+31   2.510E-04
    S  III       8828.62   1.073E+31   2.351E-04
    Fe I        13672.29   1.047E+31   2.295E-04
    Fe II       18000.34   9.254E+30   2.028E-04
    Fe II       12787.88   8.592E+30   1.883E-04
    Fe II       13277.90   8.065E+30   1.767E-04
    Fe II        8617.04   7.503E+30   1.644E-04
    Fe I        14982.33   7.463E+30   1.635E-04
    Fe III     516660.09   7.458E+30   1.634E-04
    Fe II       12485.55   7.133E+30   1.563E-04
    Fe I        14362.29   6.812E+30   1.493E-04
    Fe I        13729.26   6.592E+30   1.444E-04
    Fe II      357673.68   6.563E+30   1.438E-04
    Fe II       46065.17   6.120E+30   1.341E-04
    Fe II       16637.83   5.825E+30   1.276E-04
    Fe II       12703.59   5.332E+30   1.168E-04
    Fe II       17971.20   5.291E+30   1.159E-04
    Fe I        14616.16   5.186E+30   1.136E-04
    Fe II       12476.79   5.032E+30   1.103E-04
    Fe I        13757.98   4.992E+30   1.094E-04
    Ca V         6088.05   4.941E+30   1.083E-04
    Fe VII       3094.99   4.763E+30   1.044E-04
    Fe I        13206.80   4.711E+30   1.032E-04
    Si I        15871.57   4.530E+30   9.927E-05
    Fe V         3095.80   4.061E+30   8.898E-05
    Fe I        13417.98   4.041E+30   8.854E-05
    Fe II       12977.86   3.732E+30   8.178E-05
    Fe II       56725.45   3.489E+30   7.645E-05
    Fe I        12936.43   3.255E+30   7.134E-05
    Fe I        14266.21   3.172E+30   6.951E-05
    Fe II       17111.44   3.093E+30   6.777E-05
    Fe III       5270.45   2.907E+30   6.371E-05
    Fe II       17449.52   2.888E+30   6.329E-05
    Fe II        7155.05   2.648E+30   5.803E-05
    Fe I        19804.69   2.579E+30   5.651E-05
    O  III       3266.00   2.563E+30   5.616E-05
    Fe II        8892.00   2.526E+30   5.534E-05
    Fe III       4658.10   2.505E+30   5.489E-05
    Fe III       4881.04   2.393E+30   5.243E-05
    Fe II       40753.04   2.349E+30   5.148E-05
    Si I         3020.00   2.338E+30   5.124E-05
    Ne III     360360.10   2.306E+30   5.052E-05
