Total line luminosity    1.376E+36
    Ar II       69850.00   2.816E+35   1.000E+00
    S  IV      105077.33   2.408E+35   8.553E-01
    Si II      348100.00   2.286E+35   8.117E-01
    S  III     186992.46   1.782E+35   6.329E-01
    Ar III      89913.84   1.586E+35   5.631E-01
    S  III       9529.76   7.369E+34   2.617E-01
    S  III     334936.50   4.359E+34   1.548E-01
    C  I         9824.09   3.117E+34   1.107E-01
    O  IV      258800.00   2.856E+34   1.014E-01
    O  III       5008.23   2.314E+34   8.217E-02
    Ca IV       32068.49   1.556E+34   5.526E-02
    S  III       9067.64   1.298E+34   4.611E-02
    O  III       4960.29   8.034E+33   2.853E-02
    Fe II      259813.73   6.686E+33   2.375E-02
    Ar III     218314.71   5.810E+33   2.063E-02
    Ar V        79140.79   4.973E+33   1.766E-02
    O  III     518134.34   4.024E+33   1.429E-02
    Ar III       7137.75   3.710E+33   1.318E-02
    Ar VI       45292.20   3.652E+33   1.297E-02
    Ar IV        4712.69   2.256E+33   8.012E-03
    Ar V       130679.57   2.037E+33   7.234E-03
    Fe III     229192.40   1.932E+33   6.862E-03
    Ca V        41585.20   1.563E+33   5.551E-03
    Fe II      353397.67   1.300E+33   4.615E-03
    Ar V         7007.65   8.986E+32   3.191E-03
    Ar III       7753.24   8.957E+32   3.181E-03
    S  II        6730.88   8.828E+32   3.135E-03
    S  II        4068.64   6.959E+32   2.471E-03
    S  III       6311.96   6.139E+32   2.180E-03
    O  III     883391.59   4.796E+32   1.703E-03
    Fe VI        3094.99   4.622E+32   1.641E-03
    Ar V         6437.62   4.195E+32   1.490E-03
    Fe VI        3095.80   4.118E+32   1.462E-03
    Fe III     330273.30   4.074E+32   1.447E-03
    Ne III     155545.07   3.903E+32   1.386E-03
    Fe II      179315.42   3.707E+32   1.317E-03
    S  II        6716.49   3.675E+32   1.305E-03
    Ar IV        4741.49   3.591E+32   1.275E-03
    S  III       3721.43   3.473E+32   1.233E-03
    Fe II       53388.60   3.284E+32   1.166E-03
    Fe VI        3094.56   2.637E+32   9.367E-04
