Total line luminosity    4.391E+34
    Fe II       12703.59   5.721E+24   2.838E-08
    Fe V        33859.55   4.505E+24   2.235E-08
    Fe II       12977.86   4.438E+24   2.201E-08
    Fe II       17111.44   3.677E+24   1.824E-08
    Ar V         6437.62   3.348E+24   1.661E-08
    Fe II       17449.52   3.098E+24   1.537E-08
    Fe I        14429.79   2.867E+24   1.422E-08
    Si I       447992.58   2.538E+24   1.259E-08
    Fe II       12521.50   2.273E+24   1.127E-08
    Ne III     108630.63   2.005E+24   9.949E-09
    Fe II      228961.97   1.557E+24   7.726E-09
    C  I      6107389.40   1.406E+24   6.974E-09
    Ar IV        4712.69   1.302E+24   6.461E-09
    Ca II        7305.00   1.113E+24   5.521E-09
    Si I        10991.41   1.020E+24   5.061E-09
    Fe I        15351.40   6.738E+23   3.343E-09
    Ar IV        4741.49   6.656E+23   3.302E-09
    C  I      3703106.47   6.357E+23   3.154E-09
    Fe I        13552.49   4.562E+23   2.263E-09
    Ca V         5310.59   3.350E+23   1.662E-09
    Fe II        8617.04   2.992E+23   1.484E-09
    Fe I        13672.29   2.530E+23   1.255E-09
    Fe I        14982.33   2.201E+23   1.092E-09
    Fe II      346510.17   2.093E+23   1.038E-09
    Fe I        14362.29   2.009E+23   9.967E-10
    Fe I        13729.26   1.353E+23   6.712E-10
    Fe VI        2835.77   1.288E+23   6.390E-10
    Fe I        14616.16   1.253E+23   6.215E-10
    Ar III       8038.72   1.234E+23   6.124E-10
    N  II        6559.79   1.047E+23   5.192E-10
    Fe I        13206.80   9.669E+22   4.797E-10
    Fe I        13757.98   9.254E+22   4.591E-10
    Fe VI       32971.77   8.850E+22   4.391E-10
    Fe VI        2829.39   8.443E+22   4.188E-10
    Fe II        8892.00   8.341E+22   4.138E-10
    Fe I        12936.43   7.864E+22   3.901E-10
    Fe I        13417.98   7.491E+22   3.716E-10
    Fe VI       33859.55   7.174E+22   3.559E-10
    Fe II        9052.04   7.064E+22   3.505E-10
    Ne V        90130.62   6.694E+22   3.321E-10
    Fe I       222909.34   6.657E+22   3.303E-10
    Ca V         6088.05   6.511E+22   3.230E-10
    Fe I        14266.21   6.510E+22   3.230E-10
    Fe II        7637.61   6.296E+22   3.123E-10
    O  I         6300.30   5.919E+22   2.936E-10
    Fe VII       2835.77   5.815E+22   2.885E-10
    O  II        3734.34   5.714E+22   2.834E-10
    Fe VI       15432.32   5.708E+22   2.832E-10
    Si I         6526.78   4.707E+22   2.335E-10
    Fe II        9226.71   4.692E+22   2.328E-10
    S  II        4068.64   4.521E+22   2.243E-10
    Fe VI        2570.17   4.299E+22   2.133E-10
    Fe VI       29010.68   4.144E+22   2.056E-10
    Fe VI       33911.24   3.938E+22   1.954E-10
    Fe III       5270.45   3.850E+22   1.910E-10
    O  III       4932.59   3.147E+22   1.561E-10
    Fe VII       3094.56   3.133E+22   1.555E-10
    Fe II        7687.01   2.973E+22   1.475E-10
    Fe VI       15412.34   2.668E+22   1.323E-10
    Fe II        9267.65   2.219E+22   1.101E-10
    Fe I       284585.44   2.216E+22   1.099E-10
    O  I         6363.77   1.901E+22   9.431E-11
    Fe II        9033.58   1.721E+22   8.537E-11
    Fe VI        2567.63   1.573E+22   7.806E-11
    S  II        4076.38   1.535E+22   7.617E-11
    Fe II        7155.05   1.433E+22   7.109E-11
    Fe I        14233.01   1.429E+22   7.092E-11
    Fe II      601114.32   1.351E+22   6.702E-11
    Fe II        9399.14   1.294E+22   6.422E-11
    S  II       10320.67   1.294E+22   6.419E-11
    Fe II        9471.03   1.293E+22   6.416E-11
    S  II       10286.87   1.101E+22   5.463E-11
    Fe I        12918.51   1.037E+22   5.147E-11
    S  II       10336.48   1.020E+22   5.059E-11
    Fe III       4658.10   9.520E+21   4.723E-11
    Fe III       4881.04   9.181E+21   4.555E-11
    Fe II       18114.09   8.915E+21   4.423E-11
    Fe II        7665.38   7.847E+21   3.893E-11
    Fe VI        2577.94   7.828E+21   3.884E-11
    Fe VI       28644.94   6.693E+21   3.320E-11
    Fe I       387910.04   5.088E+21   2.524E-11
    Fe I        19804.69   4.879E+21   2.420E-11
    Fe II        7172.06   4.509E+21   2.237E-11
    Fe II        7452.42   4.495E+21   2.230E-11
    Fe II       17484.38   4.319E+21   2.142E-11
    S  II       10370.60   4.210E+21   2.089E-11
    Fe III       5011.31   4.170E+21   2.069E-11
    Fe V         2577.94   3.981E+21   1.975E-11
    Fe III       5412.03   3.425E+21   1.699E-11
    Fe II        7388.23   3.344E+21   1.659E-11
    S  III       6311.96   2.538E+21   1.259E-11
    Fe III       4701.58   2.474E+21   1.227E-11
    Fe II        7733.23   2.410E+21   1.195E-11
    Fe VI       27443.44   2.370E+21   1.176E-11
    Fe III       4754.73   1.736E+21   8.614E-12
    Fe III       4987.26   1.694E+21   8.406E-12
    Fe V         2829.39   1.568E+21   7.778E-12
    Fe II       18134.55   1.469E+21   7.290E-12
    S  III       3721.43   1.436E+21   7.126E-12
    Fe VII      33911.24   1.389E+21   6.893E-12
    Fe V        15443.05   1.366E+21   6.775E-12
    Si I         6589.61   1.319E+21   6.542E-12
    Fe I        21851.42   1.158E+21   5.744E-12
    Fe VI       32193.51   1.120E+21   5.554E-12
    Fe II       19670.28   9.756E+20   4.840E-12
    Fe II        7874.33   9.291E+20   4.609E-12
    Fe VII       2823.53   8.960E+20   4.445E-12
    Fe I         8347.64   8.619E+20   4.276E-12
    Fe III       4769.48   8.475E+20   4.204E-12
    Fe I        20767.94   8.462E+20   4.198E-12
    Fe III       4733.95   8.223E+20   4.079E-12
    S  II     3141473.36   8.186E+20   4.061E-12
    Fe V        32193.51   7.783E+20   3.861E-12
    Ar V         6135.38   7.718E+20   3.829E-12
    Fe III       4930.59   7.675E+20   3.807E-12
    Fe I        23533.25   7.425E+20   3.684E-12
    Fe VII      32971.77   7.113E+20   3.529E-12
    Fe III       5084.82   6.898E+20   3.422E-12
    Fe I        19284.39   6.372E+20   3.161E-12
    Fe I       591805.64   5.662E+20   2.809E-12
    Fe I        20686.14   5.591E+20   2.774E-12
    Fe I        21735.85   5.202E+20   2.581E-12
    Fe II        6896.23   4.519E+20   2.242E-12
    Fe III       4607.07   4.337E+20   2.152E-12
    Fe III       4777.73   3.965E+20   1.967E-12
    Fe VII      15412.34   3.943E+20   1.956E-12
    Fe VII      15432.32   3.854E+20   1.912E-12
    Fe III       4985.92   3.622E+20   1.797E-12
    Fe I         8231.65   3.513E+20   1.743E-12
    Fe VII      33859.55   3.044E+20   1.510E-12
    Fe I        20063.85   2.863E+20   1.421E-12
    Fe II       20023.85   2.698E+20   1.339E-12
    Fe II       20854.11   2.677E+20   1.328E-12
    Fe II       20713.85   2.479E+20   1.230E-12
    Fe III       4667.06   2.281E+20   1.131E-12
    Fe V        27157.17   2.139E+20   1.061E-12
    Fe V         1997.97   2.014E+20   9.989E-13
    Fe V         5795.99   1.938E+20   9.613E-13
    Fe VI       15443.05   1.930E+20   9.573E-13
    Fe V        27134.32   1.631E+20   8.091E-13
    Fe V        15412.34   1.596E+20   7.920E-13
    Fe II        5158.84   1.526E+20   7.570E-13
    Fe III       4924.59   1.513E+20   7.504E-13
    Fe II       18929.94   1.367E+20   6.781E-13
    Fe VII      32193.51   1.362E+20   6.757E-13
    Mg I         4572.00   1.329E+20   6.594E-13
    Fe I         8647.98   1.189E+20   5.896E-13
    Fe VII      15443.05   1.098E+20   5.448E-13
    Fe VII      28356.51   9.125E+19   4.527E-13
    Fe II        6440.46   8.707E+19   4.319E-13
    Fe II        5527.39   8.662E+19   4.297E-13
    Fe I         8431.64   8.573E+19   4.253E-13
    Fe V        15063.08   8.527E+19   4.230E-13
    Fe I         8151.41   8.292E+19   4.114E-13
    Fe III     400373.75   8.274E+19   4.105E-13
    Fe II       19136.03   7.720E+19   3.830E-13
    Fe II       20460.27   7.716E+19   3.828E-13
    Fe V         2017.88   7.511E+19   3.726E-13
    Fe II        5273.42   6.530E+19   3.240E-13
    Fe II       22239.31   6.433E+19   3.192E-13
    Fe II        6558.56   5.908E+19   2.931E-13
    Fe II        5261.66   5.797E+19   2.876E-13
    Fe III      22178.42   5.197E+19   2.578E-13
    Fe III       5032.73   5.188E+19   2.574E-13
    Ne III       3869.85   5.014E+19   2.488E-13
    Fe II        4889.68   5.003E+19   2.482E-13
    Fe II       20067.16   4.880E+19   2.421E-13
    Fe V         9428.53   4.298E+19   2.132E-13
    Fe V        27732.73   4.198E+19   2.083E-13
    Fe II       21327.90   3.814E+19   1.892E-13
    Fe III      23479.03   3.445E+19   1.709E-13
    Fe III      22420.65   3.393E+19   1.683E-13
    Fe II       20152.61   2.822E+19   1.400E-13
    Fe V         5798.81   2.626E+19   1.303E-13
    Fe I         5696.41   2.561E+19   1.270E-13
    Fe V        27443.44   2.330E+19   1.156E-13
    Fe III      77885.48   2.273E+19   1.128E-13
    Fe II        5433.20   1.994E+19   9.891E-14
    Fe II        5412.70   1.944E+19   9.642E-14
    Fe II        5333.70   1.927E+19   9.561E-14
    Fe I         5834.69   1.875E+19   9.303E-14
    Fe II        5111.67   1.786E+19   8.859E-14
    Fe I        19077.12   1.772E+19   8.788E-14
    Fe I         5639.60   1.767E+19   8.767E-14
    Fe III       4008.38   1.673E+19   8.298E-14
    Fe II       22436.65   1.652E+19   8.195E-14
    Fe II       10028.74   1.641E+19   8.143E-14
    Fe I         5403.35   1.641E+19   8.141E-14
    Ne III       3968.58   1.550E+19   7.688E-14
    Fe II        4814.58   1.528E+19   7.578E-14
    Fe II        4416.31   1.527E+19   7.575E-14
    Fe I         5565.73   1.522E+19   7.550E-14
    Fe II        5376.51   1.514E+19   7.513E-14
    Fe V        28055.71   1.494E+19   7.414E-14
    Fe V        28644.94   1.441E+19   7.150E-14
    Fe I         5361.39   1.239E+19   6.147E-14
    Fe II      502951.73   1.234E+19   6.124E-14
    Fe II      431592.81   1.228E+19   6.093E-14
    Fe II        6275.57   1.212E+19   6.012E-14
    Ca V         6428.92   1.130E+19   5.608E-14
    Fe V        15070.12   1.098E+19   5.449E-14
    Fe II        5495.87   1.027E+19   5.095E-14
    Fe III      24521.98   1.016E+19   5.042E-14
    Fe II        5654.90   9.563E+18   4.744E-14
    Ar III       3110.07   9.351E+18   4.639E-14
    O  I         6391.73   9.276E+18   4.602E-14
    Fe I         5709.01   9.210E+18   4.569E-14
    Fe II        4728.12   8.617E+18   4.275E-14
    Ar IV      775794.63   8.159E+18   4.048E-14
    Fe II        9795.25   8.034E+18   3.986E-14
    Fe II       22534.67   8.028E+18   3.983E-14
    Fe I         5934.47   7.989E+18   3.963E-14
    Fe II        5220.11   7.947E+18   3.943E-14
    Fe III      21451.28   6.768E+18   3.357E-14
    Fe III      32284.97   6.746E+18   3.347E-14
    Fe II        5158.06   6.696E+18   3.322E-14
    Fe V         2567.63   6.592E+18   3.270E-14
    Fe II      190647.66   6.588E+18   3.268E-14
    Fe I         5937.05   6.475E+18   3.212E-14
    Fe I         5804.50   5.374E+18   2.666E-14
    Fe II        4457.99   5.348E+18   2.653E-14
    Fe I         5284.82   5.170E+18   2.565E-14
    Fe II        5296.89   5.155E+18   2.557E-14
    Fe I         5205.55   5.128E+18   2.544E-14
    Fe VI        2823.53   4.893E+18   2.427E-14
    Fe II        4905.39   4.784E+18   2.373E-14
    Fe III       4079.74   4.761E+18   2.362E-14
    Fe I         5247.10   4.483E+18   2.224E-14
    Fe I         5289.54   4.441E+18   2.203E-14
    Fe II        5268.93   4.268E+18   2.117E-14
    Fe II        5745.75   4.196E+18   2.082E-14
    Fe I         5872.83   4.121E+18   2.045E-14
    Fe V         2570.17   4.052E+18   2.010E-14
    Fe II        4965.83   4.023E+18   1.996E-14
    Fe VI       28356.51   3.958E+18   1.963E-14
    Fe II        5556.36   3.886E+18   1.928E-14
    Fe II        5006.69   3.869E+18   1.919E-14
    Fe V         7925.09   3.766E+18   1.868E-14
    Ar III       5193.26   3.709E+18   1.840E-14
    Fe III      29041.02   3.303E+18   1.639E-14
    Fe II        6229.32   3.296E+18   1.635E-14
    Fe I         5314.84   3.114E+18   1.545E-14
    Fe II        4287.44   3.085E+18   1.531E-14
    Fe I         4843.39   3.015E+18   1.496E-14
    Fe I         5110.46   2.993E+18   1.485E-14
    Fe III       5355.93   2.973E+18   1.475E-14
    Fe II        5280.29   2.933E+18   1.455E-14
    Fe II        5362.10   2.910E+18   1.444E-14
    Fe III       4070.75   2.904E+18   1.441E-14
    Fe I         5968.93   2.862E+18   1.420E-14
    Fe V         8869.19   2.851E+18   1.414E-14
    Fe II        7764.80   2.846E+18   1.412E-14
    Fe II        4774.77   2.839E+18   1.409E-14
    Fe III       4046.46   2.729E+18   1.354E-14
    Fe II        4874.53   2.437E+18   1.209E-14
    Fe II       14195.62   2.414E+18   1.198E-14
    Fe II        9957.52   2.346E+18   1.164E-14
    Fe III       5439.98   2.271E+18   1.127E-14
    Fe II        4359.38   2.259E+18   1.121E-14
    Fe II        4947.43   2.153E+18   1.068E-14
    Fe I         5441.36   2.106E+18   1.045E-14
    Fe III      28738.80   2.103E+18   1.043E-14
    Fe II        4492.68   2.010E+18   9.970E-15
    Fe III      30431.54   1.993E+18   9.889E-15
    S  III       3797.00   1.951E+18   9.680E-15
    Fe II        4973.44   1.932E+18   9.586E-15
    Fe II        4488.79   1.795E+18   8.906E-15
    Fe II        4639.72   1.752E+18   8.690E-15
    Fe II        5005.57   1.745E+18   8.655E-15
    Fe I         6000.05   1.722E+18   8.544E-15
    Fe II        5020.28   1.631E+18   8.093E-15
    Fe I         5298.30   1.613E+18   8.002E-15
    Fe II        4413.83   1.586E+18   7.868E-15
    Fe II        4950.79   1.583E+18   7.855E-15
    Fe I         5716.00   1.564E+18   7.760E-15
    Fe II        5072.44   1.544E+18   7.661E-15
    Fe II        5182.01   1.468E+18   7.281E-15
    Ar IV        2868.99   1.443E+18   7.157E-15
    Fe I         4886.61   1.430E+18   7.093E-15
    Fe III      27165.28   1.346E+18   6.675E-15
    Fe II        4244.01   1.284E+18   6.369E-15
    Fe II        5347.71   1.273E+18   6.316E-15
    Fe II        4798.32   1.265E+18   6.277E-15
    Fe I         5867.22   1.255E+18   6.224E-15
    Fe II        4514.95   1.243E+18   6.164E-15
    Fe V         6826.55   1.221E+18   6.060E-15
    Fe I         5775.10   1.183E+18   5.871E-15
    Fe V         8993.42   1.181E+18   5.857E-15
    Fe II        5184.85   1.134E+18   5.625E-15
    Fe III       4096.66   1.126E+18   5.588E-15
    Fe II        4382.79   1.097E+18   5.440E-15
    Fe V         6224.64   1.095E+18   5.433E-15
    Fe II        5108.00   1.066E+18   5.290E-15
    Fe II        4452.15   1.008E+18   5.003E-15
    Fe II        5043.57   1.004E+18   4.979E-15
    Fe VII      29010.68   9.306E+17   4.617E-15
    Fe II        8037.37   9.104E+17   4.517E-15
    Fe I         5113.06   8.974E+17   4.452E-15
    Fe III       5060.39   8.875E+17   4.403E-15
    Fe V         8024.13   8.780E+17   4.356E-15
    Fe II       14607.93   8.359E+17   4.147E-15
    Fe I         6760.67   8.072E+17   4.004E-15
    Fe V        28333.20   7.955E+17   3.947E-15
    Fe II        8228.23   7.385E+17   3.664E-15
    Fe I         4916.30   7.321E+17   3.632E-15
    Fe II        4958.28   7.234E+17   3.589E-15
    Fe V         5236.12   6.776E+17   3.362E-15
    Fe VII      28055.71   6.648E+17   3.298E-15
    Fe V        29010.68   6.581E+17   3.265E-15
    Fe II        4432.49   6.571E+17   3.260E-15
    Fe II       33918.90   5.773E+17   2.864E-15
    Fe V         5233.81   5.610E+17   2.783E-15
    Fe I         4989.21   5.551E+17   2.754E-15
    Fe II        4664.49   5.484E+17   2.721E-15
    Fe I         4942.99   5.482E+17   2.720E-15
    Fe II        6809.30   5.412E+17   2.685E-15
    Fe V        32971.77   5.296E+17   2.627E-15
    Fe II        4528.43   5.246E+17   2.603E-15
    Fe I         6358.76   5.167E+17   2.564E-15
    Ar IV        2854.48   5.109E+17   2.534E-15
    Fe II        4114.51   5.082E+17   2.521E-15
    Fe II        4474.95   4.898E+17   2.430E-15
    Fe I         4956.40   4.863E+17   2.412E-15
    Fe I         4457.12   4.831E+17   2.397E-15
    Fe V         7557.43   4.829E+17   2.396E-15
    Fe VII      27443.44   4.713E+17   2.338E-15
    Fe V        38082.32   4.547E+17   2.256E-15
    Fe V         5911.07   4.491E+17   2.228E-15
    Fe II        4509.65   4.488E+17   2.227E-15
    Fe II        5644.04   4.347E+17   2.157E-15
    Fe II        4772.11   4.335E+17   2.151E-15
    Fe III       3976.26   4.225E+17   2.096E-15
    Fe V         8962.46   4.010E+17   1.990E-15
    Fe II        4276.87   3.812E+17   1.891E-15
    Fe V        15432.32   3.719E+17   1.845E-15
    Fe I         4961.22   3.549E+17   1.760E-15
    Fe III       4883.98   3.454E+17   1.714E-15
    Fe III       4936.41   3.391E+17   1.682E-15
    Fe I         6837.01   3.346E+17   1.660E-15
    Fe I         4521.91   2.957E+17   1.467E-15
    Ca II        3945.58   2.854E+17   1.416E-15
    Fe II       13094.30   2.841E+17   1.409E-15
    Fe III     552039.09   2.838E+17   1.408E-15
    Fe II        4346.89   2.789E+17   1.384E-15
    Fe V         1900.41   2.725E+17   1.352E-15
    Fe II       46362.82   2.663E+17   1.321E-15
    N  I         5163.68   2.557E+17   1.269E-15
    Fe III       9701.37   2.543E+17   1.261E-15
    Fe II        5747.02   2.488E+17   1.234E-15
    Fe I         4789.24   2.484E+17   1.232E-15
    C  I      2305318.05   2.403E+17   1.192E-15
    Fe III       3322.57   2.362E+17   1.172E-15
    Fe I         5439.77   2.293E+17   1.137E-15
    Fe III       4824.19   2.267E+17   1.125E-15
    Fe IV        2835.77   2.255E+17   1.119E-15
    Fe II        4470.34   2.190E+17   1.086E-15
    Fe II        4211.14   2.145E+17   1.064E-15
    Ar IV        7333.42   2.111E+17   1.047E-15
    Fe II        4852.78   2.049E+17   1.017E-15
    Fe III     192220.20   2.033E+17   1.009E-15
    Fe III       3239.77   2.020E+17   1.002E-15
    Fe I         4847.63   2.018E+17   1.001E-15
    Fe II        6729.93   1.987E+17   9.856E-16
    Fe VI       28055.71   1.887E+17   9.360E-16
    Fe II        6872.25   1.841E+17   9.135E-16
    Fe II        4745.53   1.824E+17   9.048E-16
    Fe II        4319.66   1.776E+17   8.810E-16
    Fe III       3371.45   1.740E+17   8.633E-16
    Fe II        4352.82   1.723E+17   8.547E-16
    Fe III       9942.28   1.624E+17   8.058E-16
    Fe I         6972.13   1.615E+17   8.012E-16
    Ar IV        7264.74   1.615E+17   8.011E-16
    Fe III       4144.36   1.609E+17   7.981E-16
    Si I         3020.00   1.579E+17   7.833E-16
    Fe IV        3094.99   1.547E+17   7.677E-16
    Fe II      190015.71   1.527E+17   7.578E-16
    Fe II        7613.21   1.500E+17   7.443E-16
    Fe IV        2829.39   1.452E+17   7.203E-16
    Fe I         7005.31   1.451E+17   7.200E-16
    Ar IV        7239.39   1.409E+17   6.991E-16
    Fe II       13504.01   1.373E+17   6.813E-16
    Fe V         2823.53   1.369E+17   6.789E-16
    Fe II        4632.32   1.343E+17   6.665E-16
    Fe VII       2577.94   1.333E+17   6.612E-16
    Fe I         6884.56   1.327E+17   6.584E-16
    Fe II       13968.00   1.299E+17   6.446E-16
    Fe II        6966.38   1.265E+17   6.277E-16
    Fe II        4251.48   1.255E+17   6.228E-16
    Fe II        4533.05   1.247E+17   6.189E-16
    Fe II        4358.41   1.243E+17   6.166E-16
    Fe III       4813.92   1.234E+17   6.124E-16
    Fe V         5632.23   1.222E+17   6.062E-16
    Fe I         4494.61   1.196E+17   5.934E-16
    Fe III      21545.60   1.114E+17   5.529E-16
    Fe III       4799.50   1.086E+17   5.389E-16
    Fe I         8164.93   1.084E+17   5.378E-16
    Ar III       3006.10   1.032E+17   5.119E-16
    Fe I         7008.96   1.024E+17   5.082E-16
    Fe I         5094.97   9.944E+16   4.933E-16
    Fe II        4178.99   9.928E+16   4.925E-16
    Fe II        7449.53   9.659E+16   4.792E-16
