Total line luminosity    4.391E+34
    Si II      348100.00   1.713E+34   8.497E+01
    S  III     186992.46   1.026E+34   5.089E+01
    S  IV      105077.33   6.920E+33   3.433E+01
    S  III     334936.50   6.102E+33   3.027E+01
    Ar III      89913.84   1.566E+33   7.769E+00
    O  III     518134.34   9.113E+32   4.521E+00
    O  IV      258800.00   4.217E+32   2.092E+00
    Ar II       69850.00   2.016E+32   1.000E+00
    O  III     883391.59   1.429E+32   7.089E-01
    Fe II      259813.73   7.086E+31   3.515E-01
    Ar III     218314.71   5.614E+31   2.785E-01
    Fe III     229192.40   2.928E+31   1.452E-01
    Ca IV       32068.49   1.999E+31   9.916E-02
    Fe V         3094.99   1.329E+31   6.594E-02
    Fe V         2835.77   1.123E+31   5.573E-02
    Fe VI        3095.80   8.621E+30   4.277E-02
    Ar V        79140.79   7.302E+30   3.623E-02
    Fe II      353397.67   4.384E+30   2.175E-02
    Ar V       130679.57   4.367E+30   2.166E-02
    Fe III     330273.30   4.176E+30   2.072E-02
    Ar VI       45292.20   4.065E+30   2.017E-02
    Fe V        33911.24   4.044E+30   2.006E-02
    Ca V        41585.20   3.714E+30   1.842E-02
    Fe VI        3094.99   3.155E+30   1.565E-02
    Fe V         3095.80   2.207E+30   1.095E-02
    O  I       631679.02   1.821E+30   9.035E-03
    Ne II      128140.00   1.558E+30   7.728E-03
    Fe VI        3094.56   1.010E+30   5.012E-03
    Mg I         4572.00   7.380E+29   3.661E-03
    Fe I       240360.17   5.901E+29   2.927E-03
    Ne III     155550.88   5.485E+29   2.721E-03
    Fe III     516660.09   4.987E+29   2.474E-03
    Fe II      512869.89   4.472E+29   2.219E-03
    S  III     119998.32   4.359E+29   2.163E-03
    Fe II       53388.60   4.219E+29   2.093E-03
    Fe VII       3095.80   2.477E+29   1.229E-03
    Si I       684547.46   2.003E+29   9.936E-04
    Si I      1296410.30   1.509E+29   7.488E-04
    Fe II      179315.42   1.238E+29   6.140E-04
    Ca V       114823.66   9.697E+28   4.811E-04
    C  II     1580000.00   9.396E+28   4.661E-04
    Ar III      63684.93   8.823E+28   4.377E-04
    S  III       9529.76   7.976E+28   3.957E-04
    N  III     573300.00   5.729E+28   2.842E-04
    Fe VII       3094.99   4.104E+28   2.036E-04
    Fe I       347046.64   3.998E+28   1.983E-04
    O  I      1454952.27   3.920E+28   1.945E-04
    Ne V       143210.36   3.807E+28   1.888E-04
    S  I       252402.29   3.450E+28   1.712E-04
    Ne III     360134.29   3.191E+28   1.583E-04
    Si I        16454.52   2.953E+28   1.465E-04
    Fe II      873590.76   2.605E+28   1.292E-04
    Ne V       243174.52   2.225E+28   1.104E-04
    Fe III    1053463.93   1.767E+28   8.765E-05
    Fe II       48879.57   1.431E+28   7.097E-05
    S  III       9067.64   1.404E+28   6.963E-05
    Fe II      245121.96   1.399E+28   6.941E-05
    Si I        16068.29   1.072E+28   5.320E-05
    S  I       563033.63   8.267E+27   4.101E-05
    Fe I       542954.81   4.210E+27   2.088E-05
    Fe II       56725.45   2.298E+27   1.140E-05
    Ar III       7137.75   1.975E+27   9.798E-06
    Fe II       46065.17   1.918E+27   9.517E-06
    Fe II      357673.68   1.372E+27   6.806E-06
    S  II        6730.88   7.920E+26   3.929E-06
    Fe II       40753.04   7.364E+26   3.653E-06
    Ar V        49290.19   5.712E+26   2.834E-06
    O  III     326583.70   5.243E+26   2.601E-06
    Ar III       7753.24   4.766E+26   2.365E-06
    Fe II       50610.97   4.253E+26   2.110E-06
    Ca V        30528.74   3.924E+26   1.946E-06
    S  II        6716.49   3.703E+26   1.837E-06
    Fe II       44337.23   3.140E+26   1.558E-06
    Fe II       12566.92   2.286E+26   1.134E-06
    O  III       5008.23   2.217E+26   1.100E-06
    Fe II       16435.65   2.205E+26   1.094E-06
    Fe II       40809.30   2.098E+26   1.041E-06
    C  I         9824.09   1.286E+26   6.378E-07
    S  III       8828.62   1.192E+26   5.916E-07
    O  III       4960.29   7.697E+25   3.819E-07
    Fe II       46707.79   7.377E+25   3.660E-07
    Fe II       13205.67   6.012E+25   2.983E-07
    Fe II       18094.12   4.421E+25   2.193E-07
    Fe II       13718.29   4.299E+25   2.133E-07
    Fe II       15334.86   2.834E+25   1.406E-07
    Fe II       12942.82   2.131E+25   1.057E-07
    Fe II       16768.93   2.068E+25   1.026E-07
    Fe II       18000.34   1.408E+25   6.987E-08
    Fe II       15994.87   1.394E+25   6.913E-08
    Fe II       13277.90   1.227E+25   6.089E-08
    Fe II       12485.55   1.086E+25   5.385E-08
    Fe II       12787.88   1.022E+25   5.068E-08
    Fe V         3094.56   7.265E+24   3.604E-08
    Ar V         7007.65   7.171E+24   3.558E-08
    Fe II       17971.20   6.290E+24   3.121E-08
    Fe II       16637.83   6.249E+24   3.100E-08
    Si I        15871.57   6.037E+24   2.995E-08
    Fe II       12476.79   5.983E+24   2.968E-08
    S  I       174276.08   5.934E+24   2.944E-08
