Total line luminosity    6.360E+34
    Ca V       114823.66   6.184E+30   6.835E-04
    Fe I       240360.17   5.153E+30   5.696E-04
    Si I       684547.46   5.069E+30   5.603E-04
    Ar IV        2854.48   4.899E+30   5.415E-04
    Fe VII       3095.80   4.452E+30   4.920E-04
    Fe V         3094.99   3.437E+30   3.798E-04
    Fe VI        2567.63   3.432E+30   3.793E-04
    O  III       2321.67   3.147E+30   3.478E-04
    Fe VI        2570.17   3.080E+30   3.404E-04
    C  I         4622.67   3.013E+30   3.330E-04
    Fe VI       29010.68   2.969E+30   3.282E-04
    Ar III       5193.26   2.860E+30   3.161E-04
    Si I        16454.52   2.841E+30   3.140E-04
    Fe II      245121.96   2.748E+30   3.037E-04
    Fe VII       3094.99   2.484E+30   2.746E-04
    Si I      1296410.30   2.211E+30   2.443E-04
    Fe VI       15432.32   2.071E+30   2.289E-04
    S  IV        1423.85   1.848E+30   2.042E-04
    Fe VI        2835.77   1.843E+30   2.037E-04
    Fe II       48879.57   1.832E+30   2.025E-04
    Al II        2670.00   1.783E+30   1.971E-04
    Ar IV        7333.42   1.719E+30   1.900E-04
    Fe VI       32971.77   1.680E+30   1.857E-04
    Fe VI        2829.39   1.603E+30   1.772E-04
    Fe III     516660.09   1.553E+30   1.716E-04
    Fe VI       28644.94   1.460E+30   1.613E-04
    O  III       3266.00   1.456E+30   1.610E-04
    Fe V         1997.97   1.442E+30   1.594E-04
    Fe V         2577.94   1.393E+30   1.540E-04
    Ar IV        7239.39   1.351E+30   1.494E-04
    Ar IV        7264.74   1.315E+30   1.454E-04
    Ca V         6088.05   1.274E+30   1.408E-04
    S  IV        1404.82   1.265E+30   1.399E-04
    O  IV        3027.00   1.250E+30   1.381E-04
    Fe VII       2835.77   1.247E+30   1.378E-04
    Fe I       347046.64   1.067E+30   1.180E-04
    Ne III     155550.88   1.058E+30   1.169E-04
    C  I         8730.99   1.043E+30   1.153E-04
    Si I        16068.29   1.032E+30   1.140E-04
    Fe VI       33859.55   1.027E+30   1.135E-04
    S  I       252402.29   1.009E+30   1.116E-04
    Fe VI       15412.34   9.680E+29   1.070E-04
    S  IV        1398.05   9.317E+29   1.030E-04
    Fe V         5795.99   8.731E+29   9.650E-05
    Mg I         4572.00   8.282E+29   9.153E-05
    Fe V        15443.05   8.259E+29   9.128E-05
    Fe VI       33911.24   7.477E+29   8.264E-05
    O  III       3762.00   6.963E+29   7.696E-05
    Fe VII       3094.56   6.719E+29   7.427E-05
    Fe V        27157.17   6.621E+29   7.318E-05
    O  III       4932.59   6.337E+29   7.004E-05
    O  IV        1400.00   6.099E+29   6.740E-05
    Fe V        27134.32   5.765E+29   6.372E-05
    Fe II      873590.76   5.389E+29   5.956E-05
    Fe IV        2835.77   5.349E+29   5.911E-05
    Ar III      63684.93   4.976E+29   5.499E-05
    Fe V         2829.39   4.068E+29   4.496E-05
    Fe II       46065.17   3.768E+29   4.164E-05
    S  III     119998.32   3.503E+29   3.871E-05
    Fe V         2017.88   3.384E+29   3.741E-05
    Fe II       12566.92   3.240E+29   3.581E-05
    Fe II       16435.65   3.125E+29   3.454E-05
    Fe V         9428.53   3.078E+29   3.402E-05
    Fe IV        2829.39   3.036E+29   3.356E-05
    Ar V         2692.02   3.034E+29   3.354E-05
    Fe V        15063.08   3.014E+29   3.331E-05
    Fe II      357673.68   3.013E+29   3.330E-05
    Fe II       56725.45   2.943E+29   3.253E-05
    Fe VI        2577.94   2.841E+29   3.140E-05
    Ne V       143210.36   2.752E+29   3.042E-05
    Fe V        32193.51   2.723E+29   3.010E-05
    Ar IV        7172.46   2.692E+29   2.975E-05
    Si I        10991.41   2.496E+29   2.758E-05
    Fe VII      33911.24   2.312E+29   2.555E-05
    S  I       563033.63   2.271E+29   2.509E-05
    Fe V         7925.09   2.240E+29   2.476E-05
    Fe VII      28055.71   2.136E+29   2.360E-05
    Fe VII       2823.53   2.128E+29   2.352E-05
    Fe VII      15412.34   1.953E+29   2.158E-05
    Fe VII      15432.32   1.909E+29   2.109E-05
    Fe V         3095.80   1.904E+29   2.105E-05
    Fe III       5270.45   1.896E+29   2.096E-05
    Fe VI       27443.44   1.698E+29   1.877E-05
    Fe VII      32971.77   1.689E+29   1.867E-05
    Fe III       4658.10   1.678E+29   1.854E-05
    Fe III       4881.04   1.675E+29   1.851E-05
    Ne III       3869.85   1.637E+29   1.809E-05
    Fe VII      27443.44   1.514E+29   1.673E-05
    Fe V        27732.73   1.484E+29   1.640E-05
    Fe I       542954.81   1.447E+29   1.599E-05
    Fe II       40753.04   1.446E+29   1.598E-05
    O  V         1216.00   1.247E+29   1.378E-05
    Fe V         5798.81   1.183E+29   1.308E-05
    Fe V         7266.99   1.010E+29   1.116E-05
    Ar V         4626.82   9.866E+28   1.090E-05
    Fe V         8869.19   9.747E+28   1.077E-05
    Fe V        15412.34   9.655E+28   1.067E-05
    Fe II       13205.67   8.521E+28   9.418E-06
    Fe II       50610.97   8.352E+28   9.231E-06
    Ar III       3006.10   7.954E+28   8.791E-06
    Fe II       15334.86   7.725E+28   8.538E-06
    Fe III       4701.58   7.516E+28   8.307E-06
    Al III       1858.00   7.082E+28   7.828E-06
    Fe II       44337.23   6.896E+28   7.621E-06
    Fe V         6224.64   6.514E+28   7.200E-06
    Fe II       18094.12   6.267E+28   6.926E-06
    Fe II       13718.29   6.093E+28   6.734E-06
    Fe IV        2567.63   6.035E+28   6.670E-06
    Fe II       12942.82   5.808E+28   6.420E-06
    S  III       3797.00   5.750E+28   6.355E-06
    Fe II       16768.93   5.638E+28   6.231E-06
    Al II        1671.00   5.553E+28   6.137E-06
    Fe III       5011.31   5.441E+28   6.014E-06
    Fe VII      15443.05   5.439E+28   6.011E-06
    Fe V         7557.43   5.314E+28   5.873E-06
    Ne III     360134.29   5.271E+28   5.826E-06
    Fe V         8024.13   5.223E+28   5.772E-06
    Ne III       3968.58   5.059E+28   5.592E-06
    Fe V         7191.30   5.016E+28   5.544E-06
    Fe V        38082.32   5.004E+28   5.530E-06
    Fe III    1053463.93   4.999E+28   5.525E-06
    Fe II       15994.87   4.878E+28   5.391E-06
    S  II        1259.53   4.721E+28   5.218E-06
    Fe II       40809.30   4.607E+28   5.092E-06
    Ne IV        2421.48   4.564E+28   5.044E-06
    O  VI        1034.00   4.546E+28   5.024E-06
    Fe VII      28356.51   4.519E+28   4.994E-06
    O  I       631679.02   4.516E+28   4.991E-06
    Ne V       243174.52   4.476E+28   4.947E-06
    S  IV        1072.98   4.222E+28   4.666E-06
    Fe V         6826.55   4.176E+28   4.615E-06
    Fe V         7192.90   4.074E+28   4.503E-06
    Fe VI       32193.51   4.062E+28   4.490E-06
    Fe V         8993.42   4.036E+28   4.461E-06
    Fe II       18000.34   3.839E+28   4.243E-06
    Fe III       4733.95   3.583E+28   3.960E-06
    Fe V         4144.24   3.582E+28   3.959E-06
    Fe II       12787.88   3.576E+28   3.952E-06
    Fe V        15070.12   3.400E+28   3.758E-06
    Fe II       13277.90   3.346E+28   3.698E-06
    Fe VII      32193.51   3.235E+28   3.575E-06
    Ne V         3426.86   3.168E+28   3.501E-06
    Fe III       4987.26   3.091E+28   3.416E-06
    Fe III       4754.73   3.060E+28   3.382E-06
    Fe V         1900.41   2.999E+28   3.314E-06
    Fe II       12485.55   2.959E+28   3.270E-06
    Fe V         7192.44   2.916E+28   3.223E-06
    Ar III       8038.72   2.886E+28   3.190E-06
    S  II        1253.82   2.856E+28   3.156E-06
    Fe V        29728.42   2.803E+28   3.098E-06
    Fe V         5911.07   2.671E+28   2.953E-06
    Fe V         7184.06   2.649E+28   2.927E-06
    Fe V        30335.51   2.639E+28   2.917E-06
    Fe V        30327.23   2.591E+28   2.864E-06
    Fe III       4769.48   2.575E+28   2.846E-06
    C  II     1580000.00   2.533E+28   2.800E-06
    Ca V        30528.74   2.502E+28   2.766E-06
    Fe V         7265.35   2.472E+28   2.733E-06
    C  III       1909.00   2.449E+28   2.706E-06
    Fe II       16637.83   2.332E+28   2.578E-06
    Fe V         5236.12   2.317E+28   2.560E-06
    Fe II       17971.20   2.202E+28   2.434E-06
    Fe II       12703.59   2.135E+28   2.360E-06
    C  IV        1550.00   2.133E+28   2.357E-06
    Fe II       12476.79   2.094E+28   2.315E-06
    S  V         1199.15   2.071E+28   2.289E-06
    Fe V         5233.81   1.918E+28   2.120E-06
    S  IV        1073.53   1.903E+28   2.103E-06
    N  III     573300.00   1.859E+28   2.054E-06
    Ca V         2413.60   1.806E+28   1.996E-06
    Fe IV       28356.51   1.790E+28   1.978E-06
    Fe III       4777.73   1.727E+28   1.909E-06
    Fe III       4930.59   1.687E+28   1.865E-06
    Fe III       5412.03   1.687E+28   1.864E-06
    Fe II       46707.79   1.620E+28   1.791E-06
    Fe II        8617.04   1.618E+28   1.788E-06
    S  V         1188.29   1.575E+28   1.741E-06
    Fe II       12977.86   1.553E+28   1.717E-06
    Ar V        49290.19   1.511E+28   1.670E-06
    Fe V         8962.46   1.371E+28   1.515E-06
    Fe III       4607.07   1.318E+28   1.456E-06
    Fe II       17111.44   1.287E+28   1.423E-06
    S  II        1250.60   1.263E+28   1.396E-06
    S  IV        1062.67   1.190E+28   1.316E-06
    Ne V         3346.78   1.164E+28   1.287E-06
    Fe II       17449.52   1.156E+28   1.278E-06
    Si I         6526.78   1.152E+28   1.273E-06
    Fe IV        2567.43   1.108E+28   1.224E-06
    O  III       2332.12   1.103E+28   1.219E-06
    O  V         6488.00   1.065E+28   1.177E-06
    Fe III       4667.06   9.937E+27   1.098E-06
    Fe III      22420.65   9.640E+27   1.065E-06
    Fe III      22178.42   9.580E+27   1.059E-06
    N  II        6559.79   9.251E+27   1.022E-06
    Fe III       5084.82   9.001E+27   9.948E-07
    Fe IV        6739.88   8.809E+27   9.736E-07
    Fe II       12521.50   8.481E+27   9.374E-07
    Fe IV       28644.94   8.351E+27   9.230E-07
    Fe V         4900.02   8.177E+27   9.037E-07
    Fe V        28644.94   7.759E+27   8.575E-07
    Fe V         7222.84   7.602E+27   8.402E-07
    Fe III       3239.77   7.032E+27   7.772E-07
    Fe VI       15443.05   7.002E+27   7.739E-07
    Fe VII      33859.55   6.528E+27   7.215E-07
    Fe V        27443.44   6.375E+27   7.046E-07
    Fe III      23479.03   6.351E+27   7.019E-07
    Fe IV        2577.94   5.955E+27   6.582E-07
    S  II        1550.15   5.870E+27   6.487E-07
    Fe II        7155.05   5.815E+27   6.427E-07
    Fe II        8892.00   5.704E+27   6.304E-07
    Fe V         7533.79   5.450E+27   6.024E-07
    Fe V         5756.54   5.353E+27   5.917E-07
    Fe IV       28055.71   5.225E+27   5.774E-07
    Fe V         4206.64   4.919E+27   5.437E-07
    Fe III       4008.38   4.751E+27   5.251E-07
    Si I         3020.00   4.664E+27   5.155E-07
    Fe IV       27157.17   4.616E+27   5.102E-07
    Fe IV        4906.61   4.563E+27   5.043E-07
    Ar V         6135.38   4.380E+27   4.841E-07
    Fe II      228961.97   4.245E+27   4.692E-07
    Fe V         1892.63   4.187E+27   4.627E-07
    Fe V        28055.71   4.089E+27   4.519E-07
    Fe V         4869.06   3.874E+27   4.282E-07
    S  II        1541.51   3.855E+27   4.261E-07
    Fe II        9052.04   3.820E+27   4.223E-07
    Fe V         4888.68   3.702E+27   4.092E-07
    Fe V         2567.63   3.549E+27   3.922E-07
    Ca II        7305.00   3.538E+27   3.910E-07
    Fe III       3322.57   3.508E+27   3.877E-07
    Ar V         2786.82   3.491E+27   3.859E-07
    Fe II        7637.61   3.405E+27   3.763E-07
    Fe III       9701.37   3.345E+27   3.697E-07
    Fe I        14429.79   3.256E+27   3.599E-07
    Fe II        9226.71   3.209E+27   3.546E-07
    S  II        1805.36   3.162E+27   3.495E-07
    Fe IV        3094.99   2.986E+27   3.301E-07
    Fe III       3334.93   2.984E+27   3.298E-07
    Fe IV       27732.73   2.966E+27   3.278E-07
    Fe III      21451.28   2.884E+27   3.188E-07
    Mg I         4572.00   2.850E+27   3.150E-07
    Fe IV        5233.81   2.822E+27   3.119E-07
    S  II        1540.75   2.800E+27   3.095E-07
    Fe IV        6761.45   2.779E+27   3.071E-07
    Si I         2524.11   2.758E+27   3.048E-07
    Fe III       3371.45   2.584E+27   2.856E-07
    Fe III       3356.60   2.546E+27   2.814E-07
    Fe V        28333.20   2.462E+27   2.721E-07
    Fe II        9267.65   2.350E+27   2.598E-07
    O  I      1454952.27   2.342E+27   2.589E-07
    C  II        2326.00   2.275E+27   2.515E-07
    Fe IV        4903.12   2.256E+27   2.494E-07
    Fe V         4198.28   2.243E+27   2.479E-07
    Fe III       2438.32   2.224E+27   2.458E-07
    Fe IV        4900.02   2.156E+27   2.382E-07
    Fe II        7172.06   2.143E+27   2.368E-07
    Fe III       9942.28   2.137E+27   2.362E-07
    Fe II        7687.01   2.033E+27   2.247E-07
    Fe II        5158.84   2.002E+27   2.212E-07
    Fe III       3286.22   1.987E+27   2.196E-07
    Si I         2506.90   1.970E+27   2.177E-07
    Fe IV        6997.17   1.941E+27   2.145E-07
    Si I         2516.11   1.916E+27   2.117E-07
    Fe III      24521.98   1.873E+27   2.070E-07
    Fe II        7452.42   1.824E+27   2.016E-07
    Fe II        9033.58   1.823E+27   2.014E-07
    Fe III       3355.52   1.745E+27   1.929E-07
    Ca V         3999.01   1.718E+27   1.899E-07
    Fe IV        4868.21   1.656E+27   1.830E-07
    Si I         2881.58   1.619E+27   1.790E-07
    Fe III       2464.54   1.599E+27   1.768E-07
    Fe II        7388.23   1.589E+27   1.757E-07
    Si I         3006.74   1.562E+27   1.727E-07
    Fe III       3366.24   1.546E+27   1.709E-07
    Fe IV        7222.84   1.501E+27   1.659E-07
    Fe IV        4144.24   1.480E+27   1.636E-07
    Fe IV        4206.64   1.467E+27   1.621E-07
    Fe IV        4868.00   1.441E+27   1.593E-07
    Si I         2514.31   1.419E+27   1.568E-07
    Fe IV        4918.02   1.415E+27   1.564E-07
    Fe III       3319.25   1.409E+27   1.558E-07
    Fe IV       27134.32   1.409E+27   1.557E-07
    Fe III      29041.02   1.408E+27   1.556E-07
    Fe IV        5033.64   1.402E+27   1.549E-07
    Fe IV        4208.92   1.361E+27   1.504E-07
    Fe III       4079.74   1.353E+27   1.495E-07
    Fe IV        6792.55   1.320E+27   1.459E-07
    Fe III      32284.97   1.243E+27   1.374E-07
    Fe V        21871.77   1.192E+27   1.318E-07
    Fe V         4208.92   1.169E+27   1.292E-07
    Fe III       4046.46   1.163E+27   1.286E-07
    Fe III       3406.22   1.123E+27   1.241E-07
    Fe V         7555.66   1.119E+27   1.236E-07
    Fe V         2570.17   1.109E+27   1.225E-07
    Fe III       2483.07   1.084E+27   1.198E-07
    Fe V         5685.40   1.078E+27   1.192E-07
    Fe II        5261.66   1.064E+27   1.176E-07
    Si I         2519.20   1.053E+27   1.164E-07
    Si I         2528.51   1.033E+27   1.142E-07
    Fe IV        7184.06   1.011E+27   1.117E-07
    Fe IV       15443.05   9.440E+26   1.043E-07
    Fe IV        7191.30   9.357E+26   1.034E-07
    Fe III       9608.68   9.060E+26   1.001E-07
    Fe II        9471.03   8.845E+26   9.776E-08
    Fe V         5632.23   8.750E+26   9.671E-08
    Fe III      30431.54   8.496E+26   9.390E-08
    Ar IV      775794.63   8.480E+26   9.373E-08
    S  II        1363.39   8.315E+26   9.190E-08
    Fe II        7665.38   8.312E+26   9.187E-08
    Fe V         8026.13   8.201E+26   9.064E-08
    Si I         2216.67   8.060E+26   8.908E-08
    Fe III       3301.59   8.050E+26   8.898E-08
    S  II        1549.38   7.933E+26   8.768E-08
    Fe I        13552.49   7.904E+26   8.735E-08
    Fe V         5033.64   7.902E+26   8.733E-08
    Fe II        5273.42   7.883E+26   8.713E-08
    Fe II        5527.39   7.879E+26   8.709E-08
    Fe V         6193.98   7.750E+26   8.566E-08
    Fe IV       15412.34   7.718E+26   8.531E-08
    Fe I        15351.40   7.652E+26   8.458E-08
    Fe III       9444.30   7.647E+26   8.451E-08
    Fe IV        4869.28   7.469E+26   8.255E-08
    Fe IV        4152.38   7.393E+26   8.171E-08
    Fe II      346510.17   7.326E+26   8.097E-08
    Fe V         4902.03   7.255E+26   8.019E-08
    S  II        1803.84   7.150E+26   7.902E-08
    Fe II        9399.14   7.000E+26   7.737E-08
    Fe V        25991.50   6.936E+26   7.666E-08
    S  II        1824.04   6.934E+26   7.663E-08
    Fe V         3973.08   6.743E+26   7.453E-08
    Fe V         4869.28   6.650E+26   7.350E-08
    Fe V         3871.43   6.532E+26   7.219E-08
    Fe IV        5798.81   6.485E+26   7.167E-08
    Fe IV        5800.33   6.393E+26   7.065E-08
    Fe III       2495.06   6.265E+26   6.924E-08
    S  II        1812.09   6.200E+26   6.853E-08
    Fe V         7467.78   6.090E+26   6.731E-08
    Fe V        21214.13   6.085E+26   6.726E-08
    Fe II        4889.68   6.040E+26   6.675E-08
    Fe IV        5032.50   5.991E+26   6.621E-08
    Ne IV        1599.74   5.981E+26   6.610E-08
    Fe III      28738.80   5.974E+26   6.603E-08
    Si I        15871.57   5.807E+26   6.419E-08
    Fe IV        6734.48   5.762E+26   6.369E-08
    Fe III      27165.28   5.735E+26   6.338E-08
    Fe II        4814.58   5.695E+26   6.295E-08
    Fe II        4416.31   5.693E+26   6.292E-08
    Fe IV        7192.44   5.664E+26   6.260E-08
    Fe V         5785.86   5.518E+26   6.099E-08
    Fe II        5333.70   5.512E+26   6.093E-08
    S  II        1535.88   5.499E+26   6.078E-08
    O  I         6300.30   5.488E+26   6.065E-08
    Fe V        20883.11   5.445E+26   6.018E-08
    Fe V         4647.23   5.369E+26   5.934E-08
    Fe III       4070.75   5.353E+26   5.917E-08
    Fe II        5376.51   5.201E+26   5.748E-08
    Fe III       8729.02   5.150E+26   5.692E-08
    Si I         3905.52   5.053E+26   5.585E-08
    Fe III       8838.30   4.958E+26   5.480E-08
    Si I         2435.15   4.938E+26   5.457E-08
    Fe V         4868.21   4.922E+26   5.440E-08
    Fe IV        4888.68   4.888E+26   5.402E-08
    Fe I        13672.29   4.878E+26   5.391E-08
    Fe V         3859.54   4.843E+26   5.352E-08
    Fe II       18114.09   4.822E+26   5.329E-08
    Fe III       4096.66   4.801E+26   5.306E-08
    Si I         2210.89   4.700E+26   5.195E-08
    Fe VII      29010.68   4.608E+26   5.093E-08
    Si I         2207.98   4.542E+26   5.020E-08
    Fe V         4498.95   4.520E+26   4.996E-08
    Fe IV        5237.35   4.305E+26   4.759E-08
    Fe IV        6826.55   4.226E+26   4.671E-08
    Fe IV       27756.60   4.209E+26   4.653E-08
    Fe V         4921.15   4.068E+26   4.496E-08
    Fe V         4071.36   4.049E+26   4.475E-08
    Fe V         5731.89   4.032E+26   4.457E-08
    Fe V        29010.68   3.980E+26   4.399E-08
    Fe IV        4866.22   3.973E+26   4.391E-08
    Fe II        4244.01   3.940E+26   4.355E-08
    S  II        1363.04   3.930E+26   4.344E-08
    Fe I        14982.33   3.813E+26   4.214E-08
    Fe IV        7925.09   3.704E+26   4.093E-08
    Fe IV        6756.05   3.659E+26   4.044E-08
    Fe III       4985.92   3.644E+26   4.028E-08
    Fe IV        7036.32   3.643E+26   4.027E-08
    Fe I        14362.29   3.480E+26   3.847E-08
    N  IV        1486.00   3.448E+26   3.811E-08
    Fe V        35876.59   3.409E+26   3.768E-08
    Si I         2218.06   3.407E+26   3.765E-08
    Fe IV        4869.06   3.398E+26   3.756E-08
    Fe IV        7171.03   3.396E+26   3.753E-08
    Fe II       22239.31   3.375E+26   3.730E-08
    Fe V         6792.55   3.300E+26   3.648E-08
    Si I         1979.20   3.283E+26   3.629E-08
    Fe II        5111.67   3.277E+26   3.622E-08
    Si I         2211.74   3.257E+26   3.599E-08
    Si I         6589.61   3.226E+26   3.566E-08
    N  III       1750.00   3.195E+26   3.531E-08
    Fe II        5412.70   3.190E+26   3.525E-08
    Fe IV       15070.12   3.161E+26   3.494E-08
    Fe III       4924.59   3.125E+26   3.454E-08
    Fe III      77885.48   2.966E+26   3.278E-08
    Fe II       17484.38   2.953E+26   3.264E-08
    Fe III      10882.66   2.932E+26   3.241E-08
    Si I         2987.64   2.868E+26   3.170E-08
    Fe VI       28356.51   2.836E+26   3.134E-08
    Ne III       1814.56   2.835E+26   3.133E-08
    Fe II        4457.99   2.834E+26   3.132E-08
    Fe II       20152.61   2.816E+26   3.113E-08
    Fe II        4114.51   2.802E+26   3.097E-08
    Fe I        13729.26   2.756E+26   3.046E-08
    Fe IV       11133.29   2.742E+26   3.030E-08
    Fe II        4728.12   2.705E+26   2.990E-08
    Fe V         3598.47   2.642E+26   2.920E-08
    Fe II        7733.23   2.552E+26   2.821E-08
    Fe II        4905.39   2.535E+26   2.802E-08
    Fe III       3428.83   2.468E+26   2.728E-08
    Fe I        14616.16   2.415E+26   2.670E-08
    Fe II        5433.20   2.407E+26   2.660E-08
    Fe IV       10761.19   2.388E+26   2.639E-08
    Fe V         5711.22   2.370E+26   2.620E-08
    Fe IV        2570.17   2.348E+26   2.595E-08
    S  II        1203.87   2.338E+26   2.585E-08
    Fe V         3192.62   2.321E+26   2.565E-08
    Fe V        29101.89   2.306E+26   2.549E-08
    Fe III       9960.11   2.291E+26   2.532E-08
    Fe II        5220.11   2.273E+26   2.513E-08
    Fe III      10608.18   2.259E+26   2.496E-08
    Fe V        15432.32   2.249E+26   2.486E-08
    Fe IV        3933.53   2.229E+26   2.464E-08
    Ca V         6428.92   2.212E+26   2.445E-08
    Fe IV        4902.03   2.175E+26   2.404E-08
    Fe IV        5911.07   2.174E+26   2.403E-08
    Fe II        6896.23   2.148E+26   2.374E-08
    Fe V         5800.33   2.130E+26   2.354E-08
    Fe II        4287.44   2.109E+26   2.331E-08
    Fe II        5158.06   2.102E+26   2.323E-08
    Fe V        19074.22   2.101E+26   2.322E-08
