Total line luminosity    6.360E+34
    Ar II       69850.00   9.048E+33   1.000E+00
    S  III       9529.76   8.672E+33   9.584E-01
    Ar III      89913.84   8.555E+33   9.455E-01
    Si II      348100.00   8.514E+33   9.410E-01
    S  III     186992.46   6.631E+33   7.328E-01
    S  IV      105077.33   6.622E+33   7.319E-01
    O  III       5008.23   4.464E+33   4.933E-01
    C  I         9824.09   2.212E+33   2.444E-01
    O  III       4960.29   1.550E+33   1.713E-01
    S  III       9067.64   1.531E+33   1.693E-01
    S  III     334936.50   1.448E+33   1.601E-01
    Ca IV       32068.49   8.745E+32   9.665E-02
    Ar III       7137.75   4.613E+32   5.098E-02
    Ar III     218314.71   3.130E+32   3.460E-02
    Fe II      259813.73   3.109E+32   3.437E-02
    O  IV      258800.00   2.704E+32   2.989E-02
    Ar V        79140.79   1.925E+32   2.128E-02
    S  II        6730.88   1.458E+32   1.612E-02
    S  II        4068.64   1.424E+32   1.574E-02
    Ar IV        4712.69   1.354E+32   1.496E-02
    Ca V        41585.20   1.229E+32   1.358E-02
    Ar VI       45292.20   1.190E+32   1.315E-02
    Ar III       7753.24   1.114E+32   1.232E-02
    O  III     518134.34   7.669E+31   8.476E-03
    S  III       6311.96   7.480E+31   8.267E-03
    Ar V       130679.57   7.321E+31   8.091E-03
    Fe II      353397.67   6.114E+31   6.757E-03
    S  II        6716.49   6.021E+31   6.654E-03
    Fe III     229192.40   5.188E+31   5.734E-03
    S  II        4076.38   4.759E+31   5.260E-03
    O  II        3734.34   4.711E+31   5.207E-03
    S  III       3721.43   4.230E+31   4.675E-03
    Si III       1892.00   4.213E+31   4.656E-03
    S  II       10320.67   4.076E+31   4.505E-03
    Ar V         7007.65   4.069E+31   4.498E-03
    S  II       10286.87   3.469E+31   3.834E-03
    S  II       10336.48   3.160E+31   3.493E-03
    Fe VI        3094.99   2.044E+31   2.259E-03
    Ar V         6437.62   1.900E+31   2.100E-03
    Ar IV        4741.49   1.801E+31   1.990E-03
    Si II        2335.00   1.607E+31   1.776E-03
    Fe VI        3095.80   1.591E+31   1.759E-03
    Fe II      179315.42   1.585E+31   1.751E-03
    O  II        7336.09   1.537E+31   1.698E-03
    Fe II       53388.60   1.444E+31   1.596E-03
    O  III       4364.45   1.336E+31   1.477E-03
    S  II       10370.60   1.305E+31   1.442E-03
    S  III       8828.62   1.302E+31   1.439E-03
    Fe VI        3094.56   1.243E+31   1.374E-03
    O  II        2474.65   1.193E+31   1.318E-03
    Fe III     330273.30   1.179E+31   1.303E-03
    Ar IV        2868.99   1.175E+31   1.299E-03
    S  IV        1406.03   1.080E+31   1.194E-03
    O  III     883391.59   9.431E+30   1.042E-03
    Fe V         2835.77   8.630E+30   9.538E-04
    Fe II      512869.89   8.627E+30   9.534E-04
    S  IV        1416.90   8.192E+30   9.054E-04
    Fe V        33911.24   7.680E+30   8.488E-04
    Si IV        1400.00   7.482E+30   8.270E-04
    Ar III       3110.07   7.208E+30   7.967E-04
    Ne II      128140.00   7.165E+30   7.920E-04
    O  III       1664.00   6.893E+30   7.618E-04
    Ca V         5310.59   6.554E+30   7.244E-04
