Total line luminosity    2.651E+36
    Ar II       69850.00   5.267E+35   1.000E+00
    S  IV      105077.33   4.752E+35   9.021E-01
    Si II      348100.00   4.377E+35   8.310E-01
    S  III     186992.46   3.459E+35   6.567E-01
    Ar III      89913.84   3.048E+35   5.787E-01
    S  III       9529.76   1.438E+35   2.730E-01
    S  III     334936.50   8.509E+34   1.615E-01
    C  I         9824.09   6.059E+34   1.150E-01
    O  IV      258800.00   5.664E+34   1.075E-01
    O  III       5008.23   4.498E+34   8.540E-02
    Ca IV       32068.49   3.058E+34   5.806E-02
    S  III       9067.64   2.534E+34   4.810E-02
    O  III       4960.29   1.562E+34   2.965E-02
    Fe II      259813.73   1.181E+34   2.242E-02
    Ar III     218314.71   1.105E+34   2.097E-02
    Ar V        79140.79   9.809E+33   1.862E-02
    O  III     518134.34   7.868E+33   1.494E-02
    Ar III       7137.75   7.247E+33   1.376E-02
    Ar VI       45292.20   7.175E+33   1.362E-02
    Ar IV        4712.69   4.392E+33   8.338E-03
    Ar V       130679.57   4.015E+33   7.623E-03
    Fe III     229192.40   3.770E+33   7.158E-03
    Ca V        41585.20   3.005E+33   5.706E-03
    Fe II      353397.67   2.428E+33   4.610E-03
    Ar V         7007.65   1.753E+33   3.328E-03
    Ar III       7753.24   1.749E+33   3.321E-03
    S  II        6730.88   1.718E+33   3.262E-03
    S  II        4068.64   1.352E+33   2.567E-03
    S  III       6311.96   1.186E+33   2.252E-03
    O  III     883391.59   9.361E+32   1.777E-03
    Fe VI        3094.99   9.132E+32   1.734E-03
    Ar V         6437.62   8.184E+32   1.554E-03
    Fe VI        3095.80   8.113E+32   1.540E-03
    Fe III     330273.30   7.890E+32   1.498E-03
    Ne III     155545.07   7.527E+32   1.429E-03
    S  II        6716.49   7.153E+32   1.358E-03
    Ar IV        4741.49   6.985E+32   1.326E-03
    S  III       3721.43   6.711E+32   1.274E-03
    Fe II      179315.42   6.622E+32   1.257E-03
    Fe II       53388.60   5.953E+32   1.130E-03
    Fe VI        3094.56   5.215E+32   9.901E-04
    S  II        4076.38   4.550E+32   8.639E-04
    S  II       10320.67   3.870E+32   7.346E-04
    Fe V         2835.77   3.754E+32   7.127E-04
    Ne II      128140.00   3.518E+32   6.678E-04
    Fe II      512869.89   3.466E+32   6.581E-04
    S  II       10286.87   3.293E+32   6.252E-04
    Ar IV        2868.99   3.156E+32   5.991E-04
    Fe V        33911.24   3.030E+32   5.753E-04
    S  II       10336.48   3.022E+32   5.737E-04
    Fe VII       3095.80   2.758E+32   5.237E-04
    S  IV        1406.03   2.452E+32   4.655E-04
    S  III       8828.62   2.153E+32   4.087E-04
    S  IV        1416.90   1.932E+32   3.668E-04
    Si III       1892.00   1.886E+32   3.580E-04
    Si I       684547.46   1.855E+32   3.522E-04
    O  III       3266.00   1.795E+32   3.408E-04
    Fe I       240360.17   1.677E+32   3.185E-04
    Fe V         3094.99   1.627E+32   3.088E-04
    Ca V       114823.66   1.440E+32   2.733E-04
    Fe VII       3094.99   1.401E+32   2.660E-04
    Ar IV        2854.48   1.306E+32   2.480E-04
    Ca V         5310.59   1.270E+32   2.412E-04
    S  II       10370.60   1.248E+32   2.369E-04
    Ar III       3110.07   1.152E+32   2.187E-04
    Fe II      245121.96   1.101E+32   2.091E-04
    O  III       4364.45   1.016E+32   1.929E-04
    C  I         8730.99   1.016E+32   1.929E-04
    Fe III     516660.09   1.011E+32   1.918E-04
    O  IV        3027.00   9.877E+31   1.875E-04
    Fe VI        2567.63   9.389E+31   1.783E-04
    Fe VI        2570.17   9.119E+31   1.731E-04
    Fe VI       29010.68   8.791E+31   1.669E-04
    O  III       3762.00   8.257E+31   1.568E-04
    Si II        2335.00   7.874E+31   1.495E-04
    Si I      1296410.30   7.835E+31   1.488E-04
