Total line luminosity    1.281E+36
    Ar II       69850.00   1.906E+35   1.000E+00
    Ar III      89913.84   1.755E+35   9.209E-01
    S  III       9529.76   1.685E+35   8.841E-01
    Si II      348100.00   1.684E+35   8.834E-01
    S  III     186992.46   1.365E+35   7.160E-01
    S  IV      105077.33   1.355E+35   7.110E-01
    O  III       5008.23   8.676E+34   4.552E-01
    C  I         9824.09   4.268E+34   2.239E-01
    O  III       4960.29   3.013E+34   1.581E-01
    S  III       9067.64   2.976E+34   1.561E-01
    S  III     334936.50   2.966E+34   1.556E-01
    Ca IV       32068.49   1.773E+34   9.301E-02
    Ar III       7137.75   8.998E+33   4.721E-02
    Ar III     218314.71   6.471E+33   3.395E-02
    Fe II      259813.73   6.172E+33   3.238E-02
    O  IV      258800.00   5.564E+33   2.919E-02
    Ar V        79140.79   3.939E+33   2.067E-02
    S  II        6730.88   2.729E+33   1.432E-02
    S  II        4068.64   2.685E+33   1.409E-02
    Ar IV        4712.69   2.674E+33   1.403E-02
    Ca V        41585.20   2.531E+33   1.328E-02
    Ar VI       45292.20   2.454E+33   1.288E-02
    Ar III       7753.24   2.174E+33   1.140E-02
    O  III     518134.34   1.545E+33   8.106E-03
    Ar V       130679.57   1.497E+33   7.853E-03
    S  III       6311.96   1.435E+33   7.529E-03
    Fe II      353397.67   1.228E+33   6.443E-03
    S  II        6716.49   1.126E+33   5.910E-03
    Fe III     229192.40   1.062E+33   5.572E-03
    S  II        4076.38   8.969E+32   4.706E-03
    O  II        3734.34   8.618E+32   4.522E-03
    Si III       1892.00   8.118E+32   4.260E-03
    S  III       3721.43   8.114E+32   4.257E-03
    Ar V         7007.65   8.069E+32   4.234E-03
    S  II       10320.67   7.684E+32   4.032E-03
    S  II       10286.87   6.540E+32   3.432E-03
    S  II       10336.48   5.957E+32   3.125E-03
    Fe VI        3094.99   4.217E+32   2.212E-03
    Ar V         6437.62   3.767E+32   1.976E-03
    Ar IV        4741.49   3.547E+32   1.861E-03
    Fe II      179315.42   3.321E+32   1.742E-03
    Fe VI        3095.80   3.276E+32   1.719E-03
    Si II        2335.00   3.020E+32   1.585E-03
    Fe II       53388.60   2.990E+32   1.569E-03
    O  II        7336.09   2.905E+32   1.524E-03
    O  III       4364.45   2.599E+32   1.364E-03
    Fe VI        3094.56   2.563E+32   1.345E-03
    S  III       8828.62   2.529E+32   1.327E-03
    S  II       10370.60   2.459E+32   1.290E-03
    Fe III     330273.30   2.433E+32   1.276E-03
    Ar IV        2868.99   2.309E+32   1.212E-03
    O  II        2474.65   2.255E+32   1.183E-03
    S  IV        1406.03   2.116E+32   1.110E-03
    O  III     883391.59   1.864E+32   9.779E-04
    Fe V         2835.77   1.756E+32   9.212E-04
    Fe II      512869.89   1.742E+32   9.140E-04
    S  IV        1416.90   1.605E+32   8.423E-04
    Fe V        33911.24   1.567E+32   8.220E-04
    Ne II      128140.00   1.490E+32   7.817E-04
    Si IV        1400.00   1.469E+32   7.709E-04
    Ar III       3110.07   1.391E+32   7.296E-04
    O  III       1664.00   1.348E+32   7.073E-04
    Ca V       114823.66   1.267E+32   6.646E-04
    Ca V         5310.59   1.263E+32   6.628E-04
    Ar IV        2854.48   9.626E+31   5.051E-04
    Fe VII       3095.80   9.149E+31   4.800E-04
    Fe V         3094.99   6.957E+31   3.650E-04
    Fe VI        2567.63   6.787E+31   3.561E-04
    Si I       684547.46   6.521E+31   3.421E-04
    Fe I       240360.17   6.319E+31   3.315E-04
    O  III       2321.67   6.120E+31   3.211E-04
    Fe VI        2570.17   6.093E+31   3.197E-04
    Fe VI       29010.68   5.873E+31   3.082E-04
    C  I         4622.67   5.832E+31   3.060E-04
    Fe II      245121.96   5.803E+31   3.045E-04
    Ar III       5193.26   5.517E+31   2.895E-04
    Si I        16454.52   5.343E+31   2.803E-04
    Fe VII       3094.99   5.103E+31   2.678E-04
    Fe VI       15432.32   4.103E+31   2.153E-04
    Fe II       48879.57   3.840E+31   2.015E-04
    Fe VI        2835.77   3.650E+31   1.915E-04
    S  IV        1423.85   3.622E+31   1.901E-04
    Al II        2670.00   3.465E+31   1.818E-04
    Ar IV        7333.42   3.378E+31   1.773E-04
    Fe VI       32971.77   3.329E+31   1.747E-04
    Fe III     516660.09   3.221E+31   1.690E-04
    Fe VI        2829.39   3.176E+31   1.666E-04
    O  III       3266.00   2.975E+31   1.561E-04
    Fe VI       28644.94   2.887E+31   1.515E-04
    Si I      1296410.30   2.847E+31   1.494E-04
    Fe V         1997.97   2.800E+31   1.469E-04
    Fe V         2577.94   2.692E+31   1.413E-04
    Ar IV        7239.39   2.655E+31   1.393E-04
    O  IV        3027.00   2.599E+31   1.364E-04
    Ar IV        7264.74   2.585E+31   1.356E-04
    Fe VII       2835.77   2.484E+31   1.303E-04
    S  IV        1404.82   2.479E+31   1.301E-04
    Ca V         6088.05   2.455E+31   1.288E-04
    Ne III     155550.88   2.177E+31   1.142E-04
    Fe VI       33859.55   2.033E+31   1.067E-04
    C  I         8730.99   2.025E+31   1.062E-04
    Si I        16068.29   1.940E+31   1.018E-04
    Fe VI       15412.34   1.918E+31   1.006E-04
    S  IV        1398.05   1.825E+31   9.578E-05
    Fe V         5795.99   1.694E+31   8.890E-05
    Fe V        15443.05   1.603E+31   8.412E-05
    Mg I         4572.00   1.554E+31   8.154E-05
    Fe VI       33911.24   1.482E+31   7.774E-05
    O  III       3762.00   1.418E+31   7.442E-05
    S  I       252402.29   1.415E+31   7.426E-05
    Fe VII       3094.56   1.338E+31   7.023E-05
    Fe I       347046.64   1.324E+31   6.947E-05
    Fe V        27157.17   1.286E+31   6.746E-05
    O  III       4932.59   1.232E+31   6.464E-05
    O  IV        1400.00   1.192E+31   6.257E-05
    Fe V        27134.32   1.118E+31   5.867E-05
    Fe II      873590.76   1.091E+31   5.726E-05
    Ar III      63684.93   1.029E+31   5.398E-05
    Fe IV        2835.77   9.879E+30   5.183E-05
    Fe II       46065.17   7.957E+30   4.175E-05
    Fe V         2829.39   7.896E+30   4.143E-05
    Fe II       12566.92   7.442E+30   3.905E-05
    S  III     119998.32   7.227E+30   3.792E-05
    Fe II       16435.65   7.179E+30   3.767E-05
    Fe V         2017.88   6.568E+30   3.446E-05
    Fe II      357673.68   6.398E+30   3.357E-05
    Fe II       56725.45   6.168E+30   3.236E-05
    Fe V         9428.53   5.976E+30   3.136E-05
    Ar V         2692.02   5.949E+30   3.121E-05
    Fe V        15063.08   5.847E+30   3.068E-05
    Fe VI        2577.94   5.628E+30   2.953E-05
    Ne V       143210.36   5.624E+30   2.951E-05
    Fe IV        2829.39   5.605E+30   2.941E-05
    Ar IV        7172.46   5.289E+30   2.775E-05
    Fe V        32193.51   5.264E+30   2.762E-05
    Fe VII      33911.24   4.592E+30   2.410E-05
    Si I        10991.41   4.566E+30   2.396E-05
    Fe V         7925.09   4.346E+30   2.280E-05
    Fe VII       2823.53   4.227E+30   2.218E-05
    Fe VII      28055.71   4.216E+30   2.212E-05
    Fe VII      15412.34   3.877E+30   2.034E-05
    Fe V         3095.80   3.832E+30   2.010E-05
    Fe VII      15432.32   3.790E+30   1.988E-05
    Fe III       5270.45   3.393E+30   1.780E-05
    Fe VI       27443.44   3.359E+30   1.762E-05
    Fe VII      32971.77   3.355E+30   1.761E-05
    Ne III       3869.85   3.180E+30   1.668E-05
    S  I       563033.63   3.166E+30   1.661E-05
    Fe II       40753.04   3.054E+30   1.603E-05
    Fe VII      27443.44   2.989E+30   1.568E-05
    Fe III       4658.10   2.965E+30   1.556E-05
    Fe III       4881.04   2.955E+30   1.551E-05
    Fe V        27732.73   2.879E+30   1.510E-05
    O  V         1216.00   2.404E+30   1.262E-05
    Fe V         5798.81   2.297E+30   1.205E-05
    Fe V         7266.99   1.963E+30   1.030E-05
    Fe II       13205.67   1.957E+30   1.027E-05
    Ar V         4626.82   1.934E+30   1.015E-05
    Fe V         8869.19   1.890E+30   9.917E-06
    Fe V        15412.34   1.874E+30   9.834E-06
    Fe I       542954.81   1.803E+30   9.459E-06
    Fe II       15334.86   1.772E+30   9.296E-06
    Fe II       50610.97   1.764E+30   9.255E-06
    Ar III       3006.10   1.534E+30   8.051E-06
    Fe II       44337.23   1.464E+30   7.683E-06
    Fe II       18094.12   1.439E+30   7.552E-06
    Fe II       13718.29   1.399E+30   7.343E-06
