Total line luminosity    6.719E+34
    Ar II       69850.00   1.316E+34   1.000E+00
    Si II      348100.00   1.216E+34   9.239E-01
    S  IV      105077.33   1.168E+34   8.877E-01
    S  III     186992.46   8.433E+33   6.408E-01
    Ar III      89913.84   7.673E+33   5.831E-01
    S  III       9529.76   3.627E+33   2.756E-01
    S  III     334936.50   2.098E+33   1.595E-01
    C  I         9824.09   1.510E+33   1.148E-01
    O  IV      258800.00   1.422E+33   1.081E-01
    O  III       5008.23   1.121E+33   8.520E-02
    Ca IV       32068.49   7.587E+32   5.765E-02
    S  III       9067.64   6.390E+32   4.856E-02
    O  III       4960.29   3.893E+32   2.958E-02
    Fe II      259813.73   3.488E+32   2.650E-02
    Ar III     218314.71   2.715E+32   2.063E-02
    Ar V        79140.79   2.393E+32   1.819E-02
    O  III     518134.34   2.063E+32   1.568E-02
    Ar III       7137.75   1.820E+32   1.383E-02
    Ar VI       45292.20   1.734E+32   1.318E-02
    Ar IV        4712.69   1.074E+32   8.161E-03
    Ar V       130679.57   9.805E+31   7.451E-03
    Fe III     229192.40   9.612E+31   7.304E-03
    Ca V        41585.20   7.348E+31   5.584E-03
    Fe II      353397.67   6.709E+31   5.098E-03
    S  II        6730.88   4.467E+31   3.394E-03
    Ar III       7753.24   4.393E+31   3.338E-03
    Ar V         7007.65   4.273E+31   3.247E-03
    S  II        4068.64   3.415E+31   2.595E-03
    S  III       6311.96   2.927E+31   2.224E-03
    O  III     883391.59   2.481E+31   1.885E-03
    Fe VI        3094.99   2.250E+31   1.710E-03
    Fe VI        3095.80   2.003E+31   1.522E-03
    Ar V         6437.62   1.995E+31   1.516E-03
    Fe III     330273.30   1.950E+31   1.482E-03
    Ne III     155545.07   1.943E+31   1.476E-03
    S  II        6716.49   1.860E+31   1.414E-03
    Fe II      179315.42   1.762E+31   1.339E-03
    Ar IV        4741.49   1.709E+31   1.299E-03
    S  III       3721.43   1.656E+31   1.258E-03
    Fe II       53388.60   1.613E+31   1.225E-03
    Fe VI        3094.56   1.285E+31   9.765E-04
    S  II        4076.38   1.149E+31   8.732E-04
    Fe I       240360.17   1.079E+31   8.199E-04
    Si I       684547.46   1.024E+31   7.784E-04
    S  II       10320.67   9.773E+30   7.426E-04
    Fe V         2835.77   9.518E+30   7.233E-04
    Fe II      512869.89   9.492E+30   7.213E-04
    Ne II      128140.00   8.916E+30   6.775E-04
    S  II       10286.87   8.317E+30   6.320E-04
    Ar IV        2868.99   7.724E+30   5.870E-04
    Fe V        33911.24   7.650E+30   5.813E-04
    S  II       10336.48   7.632E+30   5.799E-04
    Fe VII       3095.80   6.733E+30   5.116E-04
    S  IV        1406.03   6.137E+30   4.663E-04
    S  III       8828.62   5.429E+30   4.126E-04
    S  IV        1416.90   4.832E+30   3.672E-04
    Si III       1892.00   4.667E+30   3.546E-04
    O  III       3266.00   4.469E+30   3.396E-04
    Si I      1296410.30   4.348E+30   3.304E-04
    Fe V         3094.99   4.154E+30   3.156E-04
    Ca V       114823.66   3.530E+30   2.682E-04
    Fe VII       3094.99   3.420E+30   2.599E-04
    Ar IV        2854.48   3.197E+30   2.430E-04
    S  II       10370.60   3.151E+30   2.394E-04
    Ca V         5310.59   3.127E+30   2.376E-04
    Fe II      245121.96   2.880E+30   2.189E-04
    Ar III       3110.07   2.838E+30   2.156E-04
    O  III       4364.45   2.505E+30   1.904E-04
    C  I         8730.99   2.505E+30   1.904E-04
    Fe III     516660.09   2.444E+30   1.857E-04
    O  IV        3027.00   2.420E+30   1.839E-04
    Fe VI        2567.63   2.302E+30   1.749E-04
    Fe VI        2570.17   2.237E+30   1.700E-04
    Fe VI       29010.68   2.156E+30   1.639E-04
    Fe I       347046.64   2.054E+30   1.561E-04
    O  III       3762.00   2.054E+30   1.561E-04
    Fe II       48879.57   2.036E+30   1.547E-04
    Mg I         4572.00   2.004E+30   1.523E-04
    Si II        2335.00   1.973E+30   1.499E-04
    Ne V       143210.36   1.906E+30   1.448E-04
    O  II        3734.34   1.861E+30   1.414E-04
    S  I       252402.29   1.498E+30   1.139E-04
    Fe VI       15432.32   1.470E+30   1.117E-04
    Fe VII       2835.77   1.434E+30   1.090E-04
    Fe VI        2835.77   1.402E+30   1.065E-04
    Fe VI       32971.77   1.239E+30   9.413E-05
    O  III       1664.00   1.208E+30   9.181E-05
    Fe VI        2829.39   1.182E+30   8.979E-05
    Si IV        1400.00   1.160E+30   8.814E-05
    Ar IV        7333.42   1.130E+30   8.587E-05
    Ar III       5193.26   1.126E+30   8.554E-05
    S  IV        1423.85   1.013E+30   7.700E-05
    Fe VI       28644.94   9.791E+29   7.440E-05
    Ar IV        7239.39   8.820E+29   6.702E-05
