Total line luminosity    4.784E+35
    O  III       5008.23   1.387E+35   2.715E+02
    Ne II      128140.00   1.183E+35   2.317E+02
    C  I         9824.09   9.691E+34   1.897E+02
    O  III       4960.29   4.816E+34   9.430E+01
    O  II        3734.34   1.715E+34   3.357E+01
    Ne III     155550.88   1.116E+34   2.185E+01
    Si II      348100.00   9.216E+33   1.805E+01
    Ne III       3869.85   5.405E+33   1.058E+01
    O  II        7336.09   4.458E+33   8.729E+00
    O  II        2474.65   3.460E+33   6.775E+00
    S  III       9529.76   3.019E+33   5.912E+00
    O  IV      258800.00   2.219E+33   4.345E+00
    Ne III       3968.58   1.671E+33   3.271E+00
    S  IV      105077.33   1.484E+33   2.907E+00
    S  III     186992.46   1.448E+33   2.835E+00
    Al II        2670.00   1.401E+33   2.742E+00
    O  III     518134.34   1.156E+33   2.263E+00
    Fe II      259813.73   9.449E+32   1.850E+00
    Ne IV        2421.48   8.935E+32   1.749E+00
    Ar III      89913.84   8.894E+32   1.741E+00
    Ne V       143210.36   7.662E+32   1.500E+00
    O  III       4364.45   7.424E+32   1.454E+00
    Ne III     360134.29   6.539E+32   1.280E+00
    C  III       1909.00   6.234E+32   1.221E+00
    Mg I         4572.00   6.134E+32   1.201E+00
    O  III       1664.00   5.444E+32   1.066E+00
    S  III       9067.64   5.312E+32   1.040E+00
    Ar II       69850.00   5.107E+32   1.000E+00
    S  III     334936.50   3.264E+32   6.391E-01
    C  II     1580000.00   3.006E+32   5.886E-01
    C  I         4622.67   2.424E+32   4.745E-01
    Fe III     229192.40   2.319E+32   4.541E-01
    C  IV        1550.00   2.207E+32   4.320E-01
    Fe II      179315.42   1.916E+32   3.752E-01
    O  III       2321.67   1.748E+32   3.423E-01
    Ne V         3426.86   1.616E+32   3.164E-01
    S  II        6730.88   1.421E+32   2.783E-01
    Fe II       53388.60   1.421E+32   2.782E-01
    O  III     883391.59   1.398E+32   2.737E-01
    Si III       1892.00   1.363E+32   2.668E-01
    Fe II      353397.67   1.324E+32   2.592E-01
    Ne V       243174.52   1.269E+32   2.485E-01
    S  II        4068.64   1.250E+32   2.448E-01
    C  II        2326.00   1.246E+32   2.439E-01
    Ar III       7137.75   1.067E+32   2.090E-01
    Si II        2335.00   1.031E+32   2.020E-01
    Mg I         4572.00   8.680E+31   1.699E-01
    Fe II       12566.92   7.627E+31   1.493E-01
    Fe VI        3094.99   7.597E+31   1.488E-01
    C  I         8730.99   7.388E+31   1.447E-01
    Fe II       16435.65   7.357E+31   1.440E-01
    Ca IV       32068.49   6.767E+31   1.325E-01
    Al III       1858.00   6.562E+31   1.285E-01
    Fe VI        3095.80   6.446E+31   1.262E-01
    Ne V         3346.78   5.938E+31   1.163E-01
    S  II        6716.49   5.931E+31   1.161E-01
    Fe III     330273.30   5.774E+31   1.131E-01
    Al II        1671.00   5.502E+31   1.077E-01
    Fe V         2835.77   4.920E+31   9.632E-02
    Fe II      245121.96   4.681E+31   9.164E-02
    Fe VI        3094.56   4.520E+31   8.849E-02
    S  II        4076.38   4.205E+31   8.233E-02
    Fe V        33911.24   4.184E+31   8.192E-02
    Ar III     218314.71   3.604E+31   7.057E-02
    S  II       10320.67   3.577E+31   7.004E-02
    S  III       6311.96   3.360E+31   6.579E-02
    S  II       10286.87   3.044E+31   5.961E-02
    S  II       10336.48   2.793E+31   5.468E-02
    Ar III       7753.24   2.575E+31   5.042E-02
    Fe IV        2835.77   2.359E+31   4.618E-02
    Fe II       48879.57   2.217E+31   4.340E-02
    O  IV        1400.00   2.213E+31   4.334E-02
    Fe V         3094.99   2.160E+31   4.230E-02
    Fe II      512869.89   2.033E+31   3.981E-02
    Fe II       13205.67   2.006E+31   3.927E-02
    O  III       4932.59   1.969E+31   3.856E-02
    Ar V        79140.79   1.955E+31   3.828E-02
    Fe III       4881.04   1.942E+31   3.803E-02
    Fe III       4658.10   1.908E+31   3.735E-02
    S  III       3721.43   1.902E+31   3.723E-02
    Fe III       5270.45   1.870E+31   3.661E-02
    Fe VI        2567.63   1.839E+31   3.600E-02
    Ne III       1814.56   1.810E+31   3.544E-02
    Fe II       15334.86   1.797E+31   3.518E-02
