Total line luminosity    1.449E+35
    Ca V       114823.66   5.495E+31   1.568E-03
    Fe II       12566.92   5.214E+31   1.488E-03
    Fe II       16435.65   5.030E+31   1.435E-03
    Ar IV        4712.69   4.476E+31   1.277E-03
    Fe V         3094.99   4.132E+31   1.179E-03
    Fe III     330273.30   4.010E+31   1.144E-03
    S  II       10370.60   3.792E+31   1.082E-03
    Fe V        33911.24   3.589E+31   1.024E-03
    Fe VI        3094.56   3.062E+31   8.738E-04
    Ar V         7007.65   3.005E+31   8.576E-04
    Fe II      245121.96   2.926E+31   8.350E-04
    Fe I        14429.79   2.925E+31   8.348E-04
    Ca V         5310.59   1.936E+31   5.525E-04
    S  III       6311.96   1.470E+31   4.196E-04
    Fe II       48879.57   1.444E+31   4.121E-04
    Ar V         6437.62   1.403E+31   4.004E-04
    Fe II       13205.67   1.371E+31   3.913E-04
    Si I         6526.78   1.318E+31   3.762E-04
    Fe I       542954.81   1.171E+31   3.342E-04
    Fe VII       3095.80   1.162E+31   3.317E-04
    Fe II       15334.86   1.132E+31   3.230E-04
    Fe II      512869.89   1.077E+31   3.074E-04
    Ne II      128140.00   1.056E+31   3.014E-04
    Si II        2335.00   1.056E+31   3.012E-04
    O  II        7336.09   1.049E+31   2.994E-04
    Fe II       18094.12   1.008E+31   2.878E-04
    Fe II       13718.29   9.805E+30   2.798E-04
    Ar IV        4741.49   8.581E+30   2.449E-04
    Fe II       12942.82   8.510E+30   2.428E-04
    S  III       3721.43   8.316E+30   2.373E-04
    S  III       8828.62   8.265E+30   2.359E-04
    Fe II       16768.93   8.260E+30   2.357E-04
    O  II        2474.65   8.142E+30   2.324E-04
    Fe II       15994.87   7.199E+30   2.054E-04
    Fe I        15351.40   6.874E+30   1.962E-04
    Fe I        13552.49   6.386E+30   1.822E-04
    Fe III     516660.09   6.281E+30   1.792E-04
    Fe II       18000.34   5.624E+30   1.605E-04
    Fe II       12787.88   5.278E+30   1.506E-04
    Fe II       13277.90   4.901E+30   1.399E-04
    Fe V         3095.80   4.702E+30   1.342E-04
    Fe II        8617.04   4.595E+30   1.311E-04
    Fe VII       3094.99   4.588E+30   1.309E-04
    Fe I        13672.29   4.359E+30   1.244E-04
    Fe II       12485.55   4.335E+30   1.237E-04
    Fe II      357673.68   4.275E+30   1.220E-04
    Fe II       46065.17   4.012E+30   1.145E-04
    Ca V         6088.05   3.764E+30   1.074E-04
    Fe II       16637.83   3.579E+30   1.021E-04
    Fe II       12703.59   3.277E+30   9.351E-05
    Fe II       17971.20   3.250E+30   9.274E-05
    Fe II       12476.79   3.091E+30   8.821E-05
    Fe I        14982.33   3.081E+30   8.791E-05
    Fe I        14362.29   2.812E+30   8.024E-05
    Fe I        13729.26   2.755E+30   7.861E-05
    Si I        15871.57   2.563E+30   7.314E-05
    Fe II       56725.45   2.319E+30   6.619E-05
    Fe II       12977.86   2.292E+30   6.542E-05
    Fe I        14616.16   2.159E+30   6.160E-05
    Si III       1892.00   2.109E+30   6.018E-05
    Fe I        13757.98   2.084E+30   5.946E-05
    Fe III       5270.45   2.045E+30   5.836E-05
    Fe I        13206.80   1.969E+30   5.618E-05
    Fe II       17111.44   1.900E+30   5.421E-05
    Fe II       17449.52   1.775E+30   5.065E-05
    Fe III       4658.10   1.735E+30   4.951E-05
    Fe I        13417.98   1.687E+30   4.813E-05
    Fe III       4881.04   1.686E+30   4.813E-05
    Fe II        7155.05   1.643E+30   4.688E-05
    Fe II        8892.00   1.570E+30   4.480E-05
    Si I         3020.00   1.562E+30   4.459E-05
    Fe II       40753.04   1.540E+30   4.396E-05
    Ar III       3110.07   1.363E+30   3.889E-05
    Fe I        12936.43   1.355E+30   3.867E-05
    Fe I        14266.21   1.326E+30   3.783E-05
    Fe II       12521.50   1.302E+30   3.715E-05
    Mg I         4572.00   1.237E+30   3.530E-05
    Fe I        19804.69   1.177E+30   3.360E-05
    Fe II        9052.04   1.085E+30   3.096E-05
    Ar IV        2868.99   9.978E+29   2.847E-05
    Fe II       44337.23   9.784E+29   2.792E-05
    Fe II        7637.61   9.669E+29   2.759E-05
    Fe I       222909.34   9.317E+29   2.659E-05
    Fe II       50610.97   8.895E+29   2.538E-05
    Fe II        9226.71   8.832E+29   2.520E-05
    Fe II      873590.76   8.436E+29   2.407E-05
    Si I         3006.74   8.318E+29   2.374E-05
    Fe VI        2570.17   8.071E+29   2.303E-05
    O  IV        3027.00   7.844E+29   2.238E-05
    Fe VI       29010.68   7.780E+29   2.220E-05
    Ne III     155550.88   7.615E+29   2.173E-05
    Fe III       4701.58   7.309E+29   2.086E-05
    Ar III      63684.93   6.957E+29   1.985E-05
    Fe VI        2567.63   6.806E+29   1.942E-05
    Fe II       40809.30   6.537E+29   1.866E-05
    Fe II      228961.97   6.219E+29   1.775E-05
    Fe II        9267.65   6.184E+29   1.765E-05
    Fe V         2577.94   6.051E+29   1.727E-05
    Fe II        7172.06   5.997E+29   1.711E-05
    Fe VI        2835.77   5.987E+29   1.709E-05
    Fe I         5403.35   5.764E+29   1.645E-05
    Fe VI       15432.32   5.736E+29   1.637E-05
    Fe II        7687.01   5.596E+29   1.597E-05
    Si I         2524.11   5.577E+29   1.592E-05
    S  III     119998.32   5.464E+29   1.559E-05
    Ar III       5193.26   5.406E+29   1.543E-05
    Fe III       5011.31   5.401E+29   1.541E-05
    Fe II        5158.84   5.315E+29   1.517E-05
    Fe VI       32971.77   5.219E+29   1.489E-05
    Fe II        7452.42   5.153E+29   1.470E-05
    Fe VI        2829.39   4.979E+29   1.421E-05
    O  I         6300.30   4.834E+29   1.379E-05
    Fe II        9033.58   4.795E+29   1.368E-05
    Si I         2970.35   4.463E+29   1.273E-05
    Fe II        7388.23   4.448E+29   1.269E-05
    Fe I         5361.39   4.252E+29   1.213E-05
    Ar IV        2854.48   4.044E+29   1.154E-05
    O  I       631679.02   3.975E+29   1.134E-05
    N  II        6559.79   3.856E+29   1.100E-05
    Fe I       284585.44   3.819E+29   1.090E-05
    Fe I        21851.42   3.784E+29   1.080E-05
    Si I         6589.61   3.693E+29   1.054E-05
    Fe I        20767.94   3.557E+29   1.015E-05
    Fe V         1997.97   3.444E+29   9.827E-06
    Fe III       4733.95   3.355E+29   9.574E-06
    Fe VI       33859.55   3.335E+29   9.517E-06
    Fe VII       2835.77   3.275E+29   9.346E-06
    Fe III       4754.73   3.165E+29   9.031E-06
    Fe III       4987.26   3.112E+29   8.882E-06
    Si I         3905.52   2.938E+29   8.385E-06
    Fe VI       28644.94   2.895E+29   8.260E-06
    Fe V        15443.05   2.892E+29   8.253E-06
    Fe I         5565.73   2.710E+29   7.733E-06
    Fe I         5696.41   2.690E+29   7.677E-06
    Fe VI       15412.34   2.681E+29   7.651E-06
    Fe II        5261.66   2.665E+29   7.606E-06
    O  III       3266.00   2.588E+29   7.385E-06
    Fe III       4769.48   2.504E+29   7.146E-06
    Fe III    1053463.93   2.468E+29   7.043E-06
    Fe I        14233.01   2.463E+29   7.029E-06
    Fe I         4843.39   2.455E+29   7.005E-06
    O  III       4364.45   2.435E+29   6.948E-06
    Fe II        9471.03   2.434E+29   6.947E-06
    Fe IV        2835.77   2.400E+29   6.848E-06
    Fe I        12918.51   2.336E+29   6.666E-06
    Fe VI       33911.24   2.323E+29   6.628E-06
    Fe II       46707.79   2.299E+29   6.560E-06
    Fe V         5795.99   2.289E+29   6.532E-06
    Ca V        30528.74   2.223E+29   6.345E-06
    Fe II        7665.38   2.187E+29   6.240E-06
    Si I         4102.93   2.110E+29   6.021E-06
    Fe I         5110.46   2.085E+29   5.950E-06
    Fe I        19284.39   2.082E+29   5.943E-06
    Fe I         5639.60   2.082E+29   5.941E-06
    Fe I         8347.64   2.080E+29   5.936E-06
    Fe I         5289.54   2.023E+29   5.773E-06
    Fe II        5527.39   2.023E+29   5.772E-06
    Fe I         5284.82   2.007E+29   5.727E-06
    Si I         2987.64   1.995E+29   5.694E-06
    Fe I         5205.55   1.991E+29   5.682E-06
    Fe II        9399.14   1.988E+29   5.673E-06
    Fe I         5247.10   1.980E+29   5.651E-06
    Fe I         5834.69   1.970E+29   5.621E-06
    Fe II        5273.42   1.955E+29   5.578E-06
    Fe I        20686.14   1.827E+29   5.214E-06
    Fe III       5412.03   1.819E+29   5.191E-06
    Fe V        27157.17   1.797E+29   5.129E-06
    Fe I        23533.25   1.792E+29   5.114E-06
    Fe VII       3094.56   1.765E+29   5.036E-06
    Fe I         4457.12   1.740E+29   4.965E-06
    Fe I         6358.76   1.690E+29   4.822E-06
    Fe III       4777.73   1.618E+29   4.616E-06
    Fe III       4930.59   1.592E+29   4.542E-06
    Fe V         2829.39   1.588E+29   4.531E-06
    Fe V        27134.32   1.583E+29   4.518E-06
    Mg I         4572.00   1.567E+29   4.471E-06
    O  I         6363.77   1.553E+29   4.431E-06
    Fe I         6760.67   1.499E+29   4.278E-06
    Fe II        4889.68   1.498E+29   4.274E-06
    Fe II        4814.58   1.467E+29   4.186E-06
    Fe II        4416.31   1.466E+29   4.184E-06
    Ar IV        7333.42   1.460E+29   4.166E-06
    Fe I         5314.84   1.418E+29   4.046E-06
    Fe I         5709.01   1.400E+29   3.995E-06
    Fe IV        2829.39   1.397E+29   3.986E-06
    Fe II       18114.09   1.369E+29   3.907E-06
    Fe I         4886.61   1.358E+29   3.875E-06
    Al II        2670.00   1.333E+29   3.804E-06
    Fe III       4607.07   1.281E+29   3.657E-06
    Fe I        21735.85   1.255E+29   3.583E-06
    Fe II        5333.70   1.241E+29   3.540E-06
    Fe I         3719.97   1.213E+29   3.460E-06
    Fe I        20063.85   1.204E+29   3.435E-06
    Fe V        32193.51   1.183E+29   3.376E-06
    Fe II        5376.51   1.180E+29   3.368E-06
    Fe I         4521.91   1.158E+29   3.305E-06
    Si I         2216.67   1.152E+29   3.287E-06
    Fe I         8231.65   1.148E+29   3.276E-06
    C  I         4622.67   1.146E+29   3.270E-06
    O  III       3762.00   1.130E+29   3.224E-06
    Ar IV        7264.74   1.117E+29   3.187E-06
    Ar IV        7239.39   1.116E+29   3.183E-06
    Fe II      346510.17   1.081E+29   3.085E-06
    Fe II       22239.31   1.057E+29   3.016E-06
    Fe I       387910.04   1.036E+29   2.956E-06
    Fe III      22178.42   9.448E+28   2.696E-06
    Fe III       4667.06   9.305E+28   2.655E-06
    Fe II        4244.01   8.987E+28   2.565E-06
    Fe III      22420.65   8.981E+28   2.563E-06
    Fe III       5084.82   8.935E+28   2.550E-06
    Fe V         2017.88   8.872E+28   2.532E-06
    O  III       4932.59   8.615E+28   2.459E-06
    Fe I         5934.47   8.392E+28   2.395E-06
    Fe V        15063.08   8.278E+28   2.362E-06
    Fe II        5111.67   8.210E+28   2.343E-06
    Fe I         5804.50   8.170E+28   2.331E-06
    Fe II       17484.38   8.129E+28   2.320E-06
    Ca II        7305.00   8.017E+28   2.288E-06
    Fe II        5412.70   7.957E+28   2.271E-06
    Fe VI        2577.94   7.867E+28   2.245E-06
    Fe I         5937.05   7.628E+28   2.177E-06
    Fe II       20152.61   7.627E+28   2.177E-06
    Fe I         4916.30   7.617E+28   2.174E-06
    Fe V         9428.53   7.350E+28   2.098E-06
    Si I         2516.11   7.298E+28   2.083E-06
    Fe I         5441.36   7.226E+28   2.062E-06
    Fe I         5298.30   7.131E+28   2.035E-06
    Fe I         6837.01   6.874E+28   1.962E-06
    Fe II        4457.99   6.813E+28   1.944E-06
    Fe II        7733.23   6.715E+28   1.916E-06
    Si I         2506.90   6.619E+28   1.889E-06
    Fe III      23479.03   6.263E+28   1.787E-06
    Fe I         5113.06   6.239E+28   1.780E-06
    Fe II        4114.51   6.218E+28   1.775E-06
    S  IV        1406.03   6.165E+28   1.759E-06
    Fe II        4728.12   6.128E+28   1.749E-06
    Si I         2218.06   6.121E+28   1.747E-06
    Fe II        4905.39   6.095E+28   1.739E-06
    S  I       174276.08   6.039E+28   1.723E-06
    Fe II        6896.23   6.011E+28   1.715E-06
    Fe II        5433.20   5.968E+28   1.703E-06
    Si I         2435.15   5.959E+28   1.700E-06
    O  III       2321.67   5.734E+28   1.636E-06
    Si I         2210.89   5.500E+28   1.570E-06
    Fe I         4188.10   5.234E+28   1.494E-06
    S  IV        1416.90   5.230E+28   1.492E-06
    Fe I         4989.21   5.145E+28   1.468E-06
    Fe I         4216.22   5.135E+28   1.465E-06
    Fe II        5220.11   5.116E+28   1.460E-06
    Fe II        4287.44   5.055E+28   1.442E-06
    Fe I         4377.41   4.997E+28   1.426E-06
    Fe I         5872.83   4.855E+28   1.386E-06
    Fe III       3239.77   4.848E+28   1.384E-06
    Si I         2207.98   4.812E+28   1.373E-06
    Fe II        5158.06   4.762E+28   1.359E-06
    Fe VII      33911.24   4.701E+28   1.342E-06
    Si IV        1400.00   4.689E+28   1.338E-06
    Fe I         4494.61   4.671E+28   1.333E-06
    Ne III     360134.29   4.652E+28   1.328E-06
    Fe I         4956.40   4.618E+28   1.318E-06
    Fe II        6440.46   4.547E+28   1.298E-06
    Ar V        49290.19   4.537E+28   1.295E-06
    Fe V         7925.09   4.529E+28   1.292E-06
    Fe I         4942.99   4.463E+28   1.274E-06
    Fe VI       27443.44   4.450E+28   1.270E-06
    Fe III       4008.38   4.427E+28   1.263E-06
    Fe I         4303.48   4.362E+28   1.245E-06
    Fe II        5495.87   4.204E+28   1.200E-06
    Fe VII       2823.53   4.098E+28   1.169E-06
    Fe II       18134.55   4.095E+28   1.169E-06
    Fe V        27732.73   4.076E+28   1.163E-06
    Fe II       20460.27   4.030E+28   1.150E-06
    Fe II        5296.89   4.017E+28   1.146E-06
    Si I         2514.31   3.957E+28   1.129E-06
    Fe II        4874.53   3.863E+28   1.103E-06
    Fe II        4359.38   3.701E+28   1.056E-06
    Fe I         4961.22   3.692E+28   1.054E-06
    Fe I         4217.74   3.661E+28   1.045E-06
    Fe II        4276.87   3.629E+28   1.036E-06
    Si I         2218.91   3.628E+28   1.035E-06
    Fe II        4774.77   3.617E+28   1.032E-06
    Fe II       20067.16   3.537E+28   1.009E-06
    Fe I         5269.59   3.527E+28   1.006E-06
    Fe I         8151.41   3.486E+28   9.947E-07
    Fe I         4278.25   3.468E+28   9.897E-07
    Fe V        15412.34   3.381E+28   9.649E-07
    Fe I         5968.93   3.372E+28   9.623E-07
    Fe VII      15412.34   3.360E+28   9.588E-07
    Fe VII      15432.32   3.284E+28   9.372E-07
    Fe III       3322.57   3.266E+28   9.321E-07
    Si I         2211.74   3.256E+28   9.293E-07
    Fe VII      32971.77   3.253E+28   9.284E-07
    Fe I         3922.95   3.244E+28   9.258E-07
    Fe V         5798.81   3.102E+28   8.853E-07
    Fe II        6558.56   3.085E+28   8.804E-07
    Fe I         6884.56   3.075E+28   8.776E-07
    Ar V         2692.02   3.067E+28   8.753E-07
    Fe II        4973.44   3.064E+28   8.742E-07
    Fe II        5268.93   3.035E+28   8.661E-07
    Fe II        5020.28   3.020E+28   8.620E-07
    O  III       1664.00   3.002E+28   8.566E-07
    Fe I         6972.13   3.000E+28   8.560E-07
    Fe I         7005.31   2.982E+28   8.509E-07
    Fe I         3891.50   2.982E+28   8.509E-07
    Si I         2528.51   2.948E+28   8.412E-07
    Fe I         4269.63   2.936E+28   8.380E-07
    Fe II        4950.79   2.932E+28   8.366E-07
    Fe I         3927.96   2.894E+28   8.260E-07
    Fe I         8647.98   2.868E+28   8.186E-07
    Fe II        4488.79   2.846E+28   8.122E-07
    Fe I         3917.27   2.844E+28   8.116E-07
    Fe I         8431.64   2.802E+28   7.995E-07
    Fe I         5716.00   2.785E+28   7.948E-07
    Fe II        5164.00   2.770E+28   7.905E-07
    Si I         2519.20   2.673E+28   7.629E-07
    C  II     1580000.00   2.637E+28   7.524E-07
    Fe II        4211.14   2.625E+28   7.491E-07
    Fe II        4413.83   2.598E+28   7.415E-07
    C  I         8730.99   2.549E+28   7.273E-07
    Fe III       9701.37   2.527E+28   7.211E-07
    Fe III      21451.28   2.507E+28   7.156E-07
    Fe III       3371.45   2.406E+28   6.866E-07
    Fe II        4319.66   2.390E+28   6.820E-07
    Fe IV        2567.63   2.379E+28   6.789E-07
    Fe I         7008.96   2.373E+28   6.773E-07
    Fe II        5747.02   2.360E+28   6.735E-07
    Fe I         4789.24   2.360E+28   6.733E-07
    Ar III       8038.72   2.292E+28   6.540E-07
    Fe II        4639.72   2.265E+28   6.463E-07
    Fe II        5654.90   2.233E+28   6.373E-07
    Mg I         2852.00   2.230E+28   6.365E-07
    Fe II        5005.57   2.223E+28   6.343E-07
    Ar IV        7172.46   2.222E+28   6.341E-07
    Ne V       143210.36   2.195E+28   6.263E-07
    Fe II       22534.67   2.170E+28   6.192E-07
    Fe I         3859.95   2.155E+28   6.150E-07
    Fe V         8869.19   2.142E+28   6.112E-07
    Fe I         4847.63   2.099E+28   5.991E-07
    Fe I         3935.63   2.084E+28   5.947E-07
    Fe II        4358.41   2.074E+28   5.920E-07
    Fe I         5362.84   2.068E+28   5.901E-07
    Fe II        4947.43   2.068E+28   5.901E-07
    O  I      1454952.27   2.004E+28   5.719E-07
    Fe II       21327.90   1.992E+28   5.684E-07
    Fe III       3334.93   1.983E+28   5.658E-07
    Fe II        4346.89   1.953E+28   5.573E-07
    Si I       447992.58   1.944E+28   5.548E-07
    Fe II        4492.68   1.930E+28   5.507E-07
    Fe I         4435.19   1.926E+28   5.497E-07
    Si I        12031.50   1.916E+28   5.467E-07
    Fe I         5867.22   1.907E+28   5.442E-07
    N  III     573300.00   1.904E+28   5.433E-07
    Fe II        5182.01   1.898E+28   5.415E-07
    Fe III      24521.98   1.847E+28   5.272E-07
    Fe I         6000.05   1.809E+28   5.163E-07
    Fe I         3886.32   1.767E+28   5.042E-07
    Fe II        7874.33   1.749E+28   4.991E-07
    Fe I         4389.29   1.706E+28   4.870E-07
    Fe III       3356.60   1.692E+28   4.827E-07
    Fe II        4251.48   1.684E+28   4.807E-07
    Fe I         5337.83   1.678E+28   4.789E-07
    Fe I         4331.65   1.656E+28   4.726E-07
    Fe II        4452.15   1.652E+28   4.715E-07
    Fe II        4352.82   1.640E+28   4.681E-07
    Fe III       9942.28   1.614E+28   4.607E-07
    Si I        11984.19   1.606E+28   4.584E-07
    Fe II        5043.57   1.591E+28   4.541E-07
    Fe II        4514.95   1.583E+28   4.517E-07
    Fe VII      28055.71   1.566E+28   4.469E-07
    Ar III       3006.10   1.504E+28   4.291E-07
    Fe II       19670.28   1.498E+28   4.276E-07
    Fe I         5012.12   1.467E+28   4.186E-07
    Fe I         5290.80   1.426E+28   4.069E-07
    Fe II        4382.79   1.397E+28   3.986E-07
    Fe I         5775.10   1.394E+28   3.979E-07
    Fe II        5108.00   1.379E+28   3.935E-07
    Fe III       3286.22   1.370E+28   3.910E-07
    Fe II        4178.99   1.332E+28   3.802E-07
    Fe I         4203.43   1.325E+28   3.781E-07
    Fe V         6224.64   1.317E+28   3.758E-07
    Fe II        4244.85   1.278E+28   3.648E-07
    Fe I         3930.33   1.275E+28   3.639E-07
    Fe I       591805.64   1.275E+28   3.638E-07
    Fe III       4079.74   1.260E+28   3.596E-07
    Fe I         5497.57   1.232E+28   3.517E-07
    Si I        10585.13   1.228E+28   3.504E-07
    Fe III      32284.97   1.226E+28   3.500E-07
    Fe III      29041.02   1.224E+28   3.492E-07
    Fe II        4372.47   1.210E+28   3.452E-07
    Fe I         3959.79   1.200E+28   3.424E-07
    Fe I         3958.99   1.174E+28   3.350E-07
    Si I        11991.56   1.172E+28   3.343E-07
    Fe II        5556.36   1.163E+28   3.320E-07
    Fe II        5006.69   1.158E+28   3.305E-07
    Fe III       3355.52   1.133E+28   3.234E-07
    S  III       3797.00   1.130E+28   3.225E-07
    Fe VI       32193.51   1.125E+28   3.211E-07
    Fe VII      27443.44   1.110E+28   3.168E-07
    Fe V         7266.99   1.101E+28   3.143E-07
    S  IV        1423.85   1.101E+28   3.142E-07
    Fe I         4291.50   1.093E+28   3.120E-07
    Si I         2631.28   1.089E+28   3.109E-07
    Fe II        5199.23   1.083E+28   3.091E-07
    Fe II        3376.23   1.068E+28   3.047E-07
    Ne III       3869.85   1.061E+28   3.029E-07
    Fe V         8024.13   1.056E+28   3.013E-07
    Si I        10827.08   1.054E+28   3.008E-07
    Fe I         4529.05   1.045E+28   2.983E-07
    Fe III       3406.22   1.045E+28   2.983E-07
    Fe II        4432.49   1.042E+28   2.973E-07
    Si I        10786.84   1.032E+28   2.946E-07
    Fe I         4427.35   1.032E+28   2.944E-07
    Fe I        23244.59   1.018E+28   2.906E-07
    Si I        15888.40   1.016E+28   2.898E-07
    Fe III       4046.46   1.011E+28   2.886E-07
    Fe I         4544.40   1.006E+28   2.869E-07
    Fe III       3366.24   1.004E+28   2.866E-07
    Ar V         4626.82   9.972E+27   2.846E-07
    Fe II        5072.44   9.940E+27   2.837E-07
    Fe I         5411.88   9.884E+27   2.821E-07
    Fe I         9974.51   9.817E+27   2.801E-07
    Fe II        5745.75   9.799E+27   2.796E-07
    Fe II       10013.97   9.722E+27   2.774E-07
    Fe III       3319.25   9.718E+27   2.773E-07
    Fe V         7557.43   9.655E+27   2.755E-07
    Fe II        4305.94   9.513E+27   2.715E-07
    Fe I         4466.61   9.452E+27   2.697E-07
    Fe II        4965.83   9.395E+27   2.681E-07
    Fe VII      15443.05   9.359E+27   2.671E-07
    Si I        10869.53   9.350E+27   2.668E-07
    Fe V        15070.12   9.229E+27   2.634E-07
    Fe I         5094.97   9.217E+27   2.630E-07
    Fe V         6826.55   9.175E+27   2.618E-07
    Fe II        4177.24   9.117E+27   2.602E-07
    Fe V        38082.32   9.092E+27   2.594E-07
    Fe II        5347.71   9.054E+27   2.584E-07
    Fe II        4798.32   8.998E+27   2.568E-07
    Fe V         8993.42   8.869E+27   2.531E-07
    Fe II        5184.85   8.836E+27   2.522E-07
    Si I         1979.20   8.812E+27   2.515E-07
    Fe I        10318.78   8.793E+27   2.509E-07
    Fe II       22436.65   8.626E+27   2.462E-07
    Fe I        10264.74   8.620E+27   2.460E-07
    Fe II       10028.74   8.572E+27   2.446E-07
    Fe II        7764.80   8.518E+27   2.431E-07
    Fe I         5481.22   8.501E+27   2.426E-07
    Fe II        4134.04   8.370E+27   2.389E-07
    Fe II        4528.43   8.317E+27   2.374E-07
    Fe II        4509.65   8.310E+27   2.371E-07
    Fe II        9514.22   8.233E+27   2.349E-07
    Fe II        5477.30   8.188E+27   2.337E-07
    Fe II        4474.95   8.024E+27   2.290E-07
    Fe II        6874.07   8.011E+27   2.286E-07
