Total line luminosity    1.449E+35
    Ar II       69850.00   3.504E+34   1.000E+00
    S  IV      105077.33   3.308E+34   9.439E-01
    Si II      348100.00   1.308E+34   3.734E-01
    Si I        16454.52   1.253E+34   3.577E-01
    S  III     186992.46   1.251E+34   3.570E-01
    Ar III      89913.84   8.926E+33   2.547E-01
    S  III       9529.76   5.520E+33   1.575E-01
    Si I        16068.29   4.552E+33   1.299E-01
    S  III     334936.50   4.218E+33   1.204E-01
    S  II        6730.88   1.800E+33   5.136E-02
    Ca IV       32068.49   1.722E+33   4.914E-02
    Ca V        41585.20   1.019E+33   2.908E-02
    S  III       9067.64   9.727E+32   2.776E-02
    S  II        6716.49   7.713E+32   2.201E-02
    Si I       684547.46   6.502E+32   1.856E-02
    O  III     518134.34   6.199E+32   1.769E-02
    O  III       5008.23   6.069E+32   1.732E-02
    C  I         9824.09   6.058E+32   1.729E-02
    Ar V        79140.79   5.790E+32   1.652E-02
    Ar VI       45292.20   4.697E+32   1.340E-02
    Ar III     218314.71   4.413E+32   1.259E-02
    S  II        4068.64   4.096E+32   1.169E-02
    Ar III       7137.75   3.664E+32   1.046E-02
    S  I       252402.29   3.466E+32   9.890E-03
    Si I        10991.41   2.857E+32   8.152E-03
    Ar V       130679.57   2.671E+32   7.624E-03
    Fe II      259813.73   2.398E+32   6.843E-03
    Fe I       240360.17   2.190E+32   6.250E-03
    O  III       4960.29   2.107E+32   6.014E-03
    O  IV      258800.00   1.894E+32   5.406E-03
    Fe III     229192.40   1.663E+32   4.747E-03
    Si I      1296410.30   1.622E+32   4.628E-03
    O  II        3734.34   1.416E+32   4.040E-03
    S  II        4076.38   1.383E+32   3.945E-03
    Fe II      179315.42   1.248E+32   3.563E-03
    S  II       10320.67   1.173E+32   3.347E-03
    Fe II       53388.60   1.172E+32   3.345E-03
    S  II       10286.87   9.982E+31   2.849E-03
    S  II       10336.48   9.184E+31   2.621E-03
    Ar III       7753.24   8.848E+31   2.525E-03
    O  III     883391.59   8.740E+31   2.494E-03
    S  I       563033.63   8.398E+31   2.397E-03
    Fe VI        3095.80   7.706E+31   2.199E-03
    Fe I       347046.64   6.094E+31   1.739E-03
    Fe VI        3094.99   6.048E+31   1.726E-03
    Fe V         2835.77   5.948E+31   1.697E-03
    Fe II      353397.67   5.796E+31   1.654E-03
